# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776916154184,2024378635237119,-9.404425,1.3694834,2.7868507,NaN,NaN,NaN,TONIC,21ddefa16bfc
1776916154192,2024378643325025,-9.26556,1.5921441,3.229778,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154200,2024378651320470,-9.251195,1.6184803,3.2249897,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154208,2024378659316760,-9.26556,1.6089035,3.2249897,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154216,2024378667311436,-9.260772,1.5993267,3.241749,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154224,2024378675306573,-9.270349,1.6112977,3.2513258,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154232,2024378683333941,-9.244013,1.6112977,3.2489316,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154240,2024378691328924,-9.279925,1.6017209,3.241749,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154248,2024378699325215,-9.275137,1.6065093,3.2728736,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154256,2024378707319659,-9.251195,1.6136919,3.2752678,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154264,2024378715315104,-9.263166,1.6232687,3.2561142,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154272,2024378723312625,-9.279925,1.6065093,3.2680852,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154280,2024378731307916,-9.251195,1.6208745,3.2944214,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154288,2024378739331977,-9.25359,1.6232687,3.2704794,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154296,2024378747327960,-9.260772,1.5921441,3.2465374,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154304,2024378755323943,-9.270349,1.6112977,3.2704794,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154312,2024378763320234,-9.248801,1.6304513,3.2680852,-0.005497787,0.014660766,-0.01038471,TONIC,21ddefa16bfc
1776916154320,2024378771315525,-9.28232,1.6112977,3.265691,0.0012217305,0.01160644,-0.004276057,TONIC,21ddefa16bfc
1776916154328,2024378779310661,-9.255983,1.6017209,3.277662,0.0012217305,0.008552114,-0.0067195175,TONIC,21ddefa16bfc
1776916154336,2024378787305337,-9.246407,1.6136919,3.2800562,-0.0012217305,0.009773844,-0.01038471,TONIC,21ddefa16bfc
1776916154344,2024378795301013,-9.246407,1.6184803,3.2704794,-0.0012217305,0.01282817,-0.0061086523,TONIC,21ddefa16bfc
1776916154352,2024378803328073,-9.267955,1.5993267,3.2441432,6.1086525E-4,0.016493361,-0.007330383,TONIC,21ddefa16bfc
1776916154360,2024378811323210,-9.26556,1.6017209,3.277662,-0.0012217305,0.021991149,-0.007941248,TONIC,21ddefa16bfc
1776916154368,2024378819319193,-9.23683,1.6256629,3.2680852,-0.0012217305,0.022602014,-0.009162978,TONIC,21ddefa16bfc
1776916154376,2024378827314791,-9.25359,1.6065093,3.2465374,0.0,0.018936822,-0.007941248,TONIC,21ddefa16bfc
1776916154384,2024378835309928,-9.270349,1.6065093,3.265691,-0.0018325958,0.020158553,-0.009773844,TONIC,21ddefa16bfc
1776916154392,2024378843306527,-9.255983,1.6280571,3.2345665,-0.0030543262,0.02321288,-0.007941248,TONIC,21ddefa16bfc
1776916154400,2024378851332279,-9.244013,1.6065093,3.2273839,-0.0030543262,0.02443461,-0.0067195175,TONIC,21ddefa16bfc
1776916154408,2024378859327647,-9.255983,1.5777789,3.2321723,-0.002443461,0.023823744,-0.008552114,TONIC,21ddefa16bfc
1776916154416,2024378867323015,-9.251195,1.5897499,3.2321723,-0.0036651916,0.02321288,-0.007941248,TONIC,21ddefa16bfc
1776916154424,2024378875318767,-9.227253,1.5945383,3.2321723,-0.0018325958,0.021991149,-0.007941248,TONIC,21ddefa16bfc
1776916154432,2024378883313212,-9.255983,1.5969325,3.2154129,-0.0018325958,0.017715093,-0.0067195175,TONIC,21ddefa16bfc
1776916154440,2024378891310426,-9.270349,1.5753847,3.2369606,-0.0030543262,0.017715093,-0.0067195175,TONIC,21ddefa16bfc
1776916154448,2024378899305486,-9.260772,1.5945383,3.241749,-0.0036651916,0.017104227,-0.004276057,TONIC,21ddefa16bfc
1776916154456,2024378907332469,-9.258378,1.5897499,3.2082303,-0.0036651916,0.014049901,-0.002443461,TONIC,21ddefa16bfc
1776916154464,2024378915327222,-9.260772,1.5777789,3.217807,-6.1086525E-4,0.012217305,-0.002443461,TONIC,21ddefa16bfc
1776916154472,2024378923323205,-9.272743,1.5993267,3.241749,-0.0012217305,0.012217305,-0.002443461,TONIC,21ddefa16bfc
1776916154480,2024378931317649,-9.255983,1.6065093,3.2249897,0.0,0.012217305,-0.0012217305,TONIC,21ddefa16bfc
1776916154488,2024378939314863,-9.255983,1.5969325,3.217807,6.1086525E-4,0.007941248,0.0012217305,TONIC,21ddefa16bfc
1776916154496,2024378947308462,-9.26556,1.6017209,3.229778,0.0012217305,0.004276057,-0.0030543262,TONIC,21ddefa16bfc
1776916154504,2024378955304752,-9.260772,1.6065093,3.2345665,0.0012217305,6.1086525E-4,-0.002443461,TONIC,21ddefa16bfc
1776916154512,2024378963332658,-9.260772,1.6089035,3.2130187,0.0018325958,-0.0012217305,-0.0030543262,TONIC,21ddefa16bfc
1776916154520,2024378971326489,-9.263166,1.5969325,3.2202013,0.0018325958,-0.0036651916,-0.0036651916,TONIC,21ddefa16bfc
1776916154528,2024378979323164,-9.28232,1.6065093,3.2393548,0.0018325958,-0.0012217305,-0.002443461,TONIC,21ddefa16bfc
1776916154536,2024378987317224,-9.244013,1.6112977,3.2273839,0.0030543262,-0.0036651916,-0.0036651916,TONIC,21ddefa16bfc
1776916154544,2024378995313822,-9.25359,1.6065093,3.2345665,0.002443461,-0.009162978,-0.005497787,TONIC,21ddefa16bfc
1776916154552,2024379003308882,-9.260772,1.6136919,3.2369606,0.002443461,-0.007330383,-0.0018325958,TONIC,21ddefa16bfc
1776916154560,2024379011306096,-9.26556,1.6089035,3.2441432,0.0018325958,-0.0067195175,-0.004886922,TONIC,21ddefa16bfc
1776916154568,2024379019329848,-9.263166,1.6208745,3.2010477,0.0030543262,-0.0030543262,-0.0036651916,TONIC,21ddefa16bfc
1776916154576,2024379027326677,-9.251195,1.6112977,3.2225955,6.1086525E-4,-0.0018325958,-0.0061086523,TONIC,21ddefa16bfc
1776916154584,2024379035322123,-9.277532,1.6256629,3.2393548,0.0012217305,-0.004886922,-0.004276057,TONIC,21ddefa16bfc
1776916154592,2024379043317414,-9.258378,1.6256629,3.2321723,0.002443461,-0.009162978,-0.004276057,TONIC,21ddefa16bfc
1776916154600,2024379051315243,-9.263166,1.5825673,3.241749,0.002443461,-0.009162978,-0.007330383,TONIC,21ddefa16bfc
1776916154608,2024379059310072,-9.260772,1.5945383,3.2249897,0.0018325958,-0.005497787,-0.005497787,TONIC,21ddefa16bfc
1776916154616,2024379067304747,-9.251195,1.6089035,3.2465374,6.1086525E-4,-6.1086525E-4,-0.0061086523,TONIC,21ddefa16bfc
1776916154624,2024379075329654,-9.25359,1.6089035,3.2369606,6.1086525E-4,-0.0018325958,-0.005497787,TONIC,21ddefa16bfc
1776916154632,2024379083327560,-9.255983,1.6041151,3.2393548,0.0,6.1086525E-4,-0.004886922,TONIC,21ddefa16bfc
1776916154640,2024379091321697,-9.267955,1.6041151,3.2561142,-0.0012217305,0.0,-0.004276057,TONIC,21ddefa16bfc
1776916154648,2024379099317065,-9.267955,1.6136919,3.2393548,-6.1086525E-4,0.0012217305,-0.0061086523,TONIC,21ddefa16bfc
