# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776793805895,1902030345228936,1.8674773,-9.631873,0.93134445,NaN,NaN,NaN,FALLS,2d90f6a3fc54
1776793805903,1902030353956246,1.9393034,-9.615114,0.91219085,0.07147124,-0.048258353,-0.017104227,FALLS,2d90f6a3fc54
1776793805911,1902030361952555,1.9800048,-9.615114,0.8499416,0.07147124,-0.048258353,-0.017104227,FALLS,2d90f6a3fc54
1776793805919,1902030369948556,1.9895816,-9.610326,0.82599956,0.07147124,-0.048258353,-0.017104227,FALLS,2d90f6a3fc54
1776793805927,1902030377945558,1.9728222,-9.617508,0.85473,0.07147124,-0.048258353,-0.017104227,FALLS,2d90f6a3fc54
1776793805935,1902030385940330,1.9201498,-9.610326,0.91219085,0.07147124,-0.048258353,-0.017104227,FALLS,2d90f6a3fc54
1776793805943,1902030393934485,1.8842367,-9.603143,0.94092125,0.07147124,-0.048258353,-0.017104227,FALLS,2d90f6a3fc54
1776793805951,1902030401929872,1.8219875,-9.603143,0.9983821,0.07147124,-0.048258353,-0.017104227,FALLS,2d90f6a3fc54
1776793805959,1902030409958797,1.7788919,-9.598354,1.0366893,0.07147124,-0.048258353,-0.017104227,FALLS,2d90f6a3fc54
1776793805967,1902030417951107,1.7621324,-9.636662,1.1109096,0.07147124,-0.048258353,-0.017104227,FALLS,2d90f6a3fc54
1776793805975,1902030425946723,1.7238252,-9.624691,1.0989386,0.07147124,-0.048258353,-0.017104227,FALLS,2d90f6a3fc54
1776793805983,1902030433942418,1.7166426,-9.617508,1.1300632,0.07147124,-0.048258353,-0.017104227,FALLS,2d90f6a3fc54
1776793805991,1902030441938497,1.7501614,-9.615114,1.1133038,0.07147124,-0.048258353,-0.017104227,FALLS,2d90f6a3fc54
1776793805999,1902030449934729,1.7812861,-9.617508,1.1133038,0.07147124,-0.048258353,-0.017104227,FALLS,2d90f6a3fc54
1776793806007,1902030457930501,1.8555063,-9.61272,1.1061212,-0.0012217305,0.018325957,0.0,FALLS,2d90f6a3fc54
1776793806015,1902030465955041,1.9129672,-9.581595,1.0510546,0.0012217305,0.017715093,0.0012217305,FALLS,2d90f6a3fc54
1776793806023,1902030473951043,1.9632454,-9.591172,1.0079589,0.0036651916,0.016493361,0.0036651916,FALLS,2d90f6a3fc54
1776793806031,1902030481947660,2.018312,-9.591172,0.9959879,6.1086525E-4,0.019547688,0.0036651916,FALLS,2d90f6a3fc54
