# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777255277067,2363501518483026,-0.5482722,-9.868899,1.9177556,NaN,NaN,NaN,JERKING,59a7de8c5a5a
1777255277075,2363501526569177,1.5705963,-9.677363,0.10295067,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277083,2363501534565482,1.6472107,-9.651027,0.1388637,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277091,2363501542561403,1.7525556,-9.662998,0.22026655,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277099,2363501550557092,1.7980455,-9.67018,0.2633622,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277107,2363501558553089,1.8243817,-9.68694,0.35434186,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277115,2363501566550009,1.8531121,-9.720459,0.40462008,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277123,2363501574574930,1.8602947,-9.7324295,0.5626374,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277131,2363501582570620,1.8818425,-9.730036,0.6871359,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277139,2363501590566002,1.8650831,-9.696517,0.8283938,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277147,2363501598560537,1.8004397,-9.667787,0.90021986,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277155,2363501606555303,1.7717092,-9.667787,0.9768343,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277163,2363501614553454,1.721431,-9.662998,0.9935937,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277171,2363501622547837,1.7501614,-9.667787,0.9576807,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277179,2363501630573988,1.7501614,-9.646238,0.89543146,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277187,2363501638569138,1.6184803,-9.586384,0.81642276,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277195,2363501646565136,1.4772224,-9.55047,0.7445967,0.08735373,0.0061086523,0.118507855,JERKING,59a7de8c5a5a
1777255277203,2363501654560518,1.3814543,-9.548077,0.7350199,6.1086525E-4,-0.025045475,-0.15760323,JERKING,59a7de8c5a5a
1777255277211,2363501662556131,1.2378023,-9.581595,0.7206547,0.0067195175,-0.047647487,-0.16065755,JERKING,59a7de8c5a5a
1777255277219,2363501670551589,1.1300632,-9.65821,0.7015011,0.013439035,-0.08002335,-0.16249016,JERKING,59a7de8c5a5a
1777255277227,2363501678577663,1.0271125,-9.706094,0.6967127,0.017715093,-0.0983493,-0.15943582,JERKING,59a7de8c5a5a
