epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776744536747,275218765089738,1.1611878,1.9871874,9.129091,0.056199603,0.04520403,-0.095294975,JERKING,5f7e6b02b83a
1776744536782,275218785200822,1.0510546,2.0278888,9.066842,0.42638394,0.10873401,-0.007330383,JERKING,5f7e6b02b83a
1776744536787,275218805372941,0.9672575,2.3295584,9.174581,-0.49602258,-0.05009095,-0.036651913,JERKING,5f7e6b02b83a
1776744536808,275218825514543,0.866701,2.3750482,9.229648,0.028099801,-0.02687807,-0.032986723,JERKING,5f7e6b02b83a
1776744536843,275218845595109,0.90740246,2.147599,9.258378,0.0061086523,-0.02076942,-0.028099801,JERKING,5f7e6b02b83a
1776744536848,275218865767228,0.9552865,1.9895816,9.251195,-0.009773844,-0.013439035,-0.02565634,JERKING,5f7e6b02b83a
1776744536870,275218885908830,0.94092125,2.1763294,9.220071,0.04520403,-0.0012217305,-0.032986723,JERKING,5f7e6b02b83a
1776744536886,275218905958878,0.866701,2.540248,9.217676,0.061086524,0.004886922,-0.034208454,JERKING,5f7e6b02b83a
1776744536916,275218926100480,0.7158663,2.4612393,9.224859,-0.012217305,-0.0036651916,-0.02687807,JERKING,5f7e6b02b83a
1776744536951,275218946272599,0.7326257,2.183512,9.40203,-0.062308256,-0.010995574,-0.02565634,JERKING,5f7e6b02b83a
1776744536953,275218966353166,0.93852705,2.0470424,9.588778,-0.065973446,-0.009773844,-0.013439035,JERKING,5f7e6b02b83a
1776744536967,275218986525285,0.9888053,2.1643584,9.698911,-0.018325957,-0.034208454,-0.014660766,JERKING,5f7e6b02b83a
1776744536991,275219006697404,0.7757214,2.3439236,9.653421,0.013439035,-0.056199603,0.010995574,JERKING,5f7e6b02b83a
1776744537025,275219026839005,0.80205756,2.6408045,9.698911,-0.03176499,-0.096516706,0.05497787,JERKING,5f7e6b02b83a
1776744537032,275219046980607,0.6895301,2.2146366,9.497798,-0.11362094,-0.16493362,0.06841691,JERKING,5f7e6b02b83a
1776744537060,275219067091691,0.557849,2.360683,9.725247,-0.07574729,-0.20647246,0.062308256,JERKING,5f7e6b02b83a
1776744537068,275219087263810,0.34237084,2.2601264,9.995792,-0.059864793,-0.27122417,0.0720821,JERKING,5f7e6b02b83a
1776744537089,275219107435929,0.4309563,2.6719291,10.295067,-0.07086037,-0.37751472,0.080634214,JERKING,5f7e6b02b83a
1776744537123,275219127608048,0.2777274,3.323152,10.716447,-0.13072516,-0.5119051,0.15760323,JERKING,5f7e6b02b83a
1776744537128,275219147780168,-0.50278234,2.7820623,11.243171,-0.33108896,-0.75869465,0.26389378,JERKING,5f7e6b02b83a
1776744537157,275219167921769,-0.49081135,2.3391352,10.907983,-0.50579643,-1.0763446,0.39706242,JERKING,5f7e6b02b83a
1776744537169,275219188063371,-0.19632454,2.303222,10.795456,-0.6389651,-1.3573426,0.45204028,JERKING,5f7e6b02b83a
1776744537191,275219208235490,0.39983168,1.4652514,11.025299,-0.7281514,-1.6542231,0.54733527,JERKING,5f7e6b02b83a
1776744537229,275219228377091,1.553837,1.5586253,10.766725,-0.8258898,-1.8802432,0.5338962,JERKING,5f7e6b02b83a
1776744537238,275219248488175,2.4899697,1.910573,10.065224,-0.9138544,-2.0769417,0.4654793,JERKING,5f7e6b02b83a
1776744537262,275219268660294,2.207454,0.60573304,10.15381,-1.1765264,-2.2956316,0.55833083,JERKING,5f7e6b02b83a
1776744537271,275219288801896,2.8754363,-0.6895301,9.7803135,-1.2925909,-2.5534167,0.48258355,JERKING,5f7e6b02b83a
1776744537291,275219308912980,4.8123455,-1.043872,9.090784,-0.9761627,-2.6487117,0.20158553,JERKING,5f7e6b02b83a
1776744537324,275219329085099,5.9280434,-0.5363012,7.9272017,-0.5925393,-2.734233,0.0012217305,JERKING,5f7e6b02b83a
1776744537331,275219349165666,5.74369,-0.6392518,7.517793,-0.37751472,-2.6548204,-0.20769419,JERKING,5f7e6b02b83a
1776744537358,275219369337785,5.657499,-0.2657564,6.351817,-0.22235495,-2.547308,-0.45570546,JERKING,5f7e6b02b83a
1776744537371,275219389448869,6.6774287,0.7110779,5.4563856,-0.07452556,-2.4923303,-0.6927212,JERKING,5f7e6b02b83a
1776744537392,275219409620988,7.1227503,1.2976574,4.996699,-0.0720821,-2.406809,-0.7892379,JERKING,5f7e6b02b83a
1776744537430,275219429732072,7.347805,1.2114661,4.7620673,-0.3042109,-2.2516494,-0.77457714,JERKING,5f7e6b02b83a
1776744537436,275219449812638,7.4124484,0.8858546,4.3837833,-0.43371433,-2.0793853,-0.75136423,JERKING,5f7e6b02b83a
1776744537461,275219469954240,7.6135616,0.4165911,3.5889084,-0.34574974,-1.9156734,-0.7440339,JERKING,5f7e6b02b83a
1776744537471,275219490126359,8.178593,-0.15322891,3.2034419,-0.45204028,-1.7030923,-0.71837753,JERKING,5f7e6b02b83a
1776744537493,275219510267960,8.1402855,0.4261679,3.0693667,-0.54611355,-1.391551,-0.8918633,JERKING,5f7e6b02b83a
1776744537525,275219530409562,7.553706,1.3982137,2.5378537,-0.6291912,-1.033584,-0.93828905,JERKING,5f7e6b02b83a
1776744537531,275219550581681,6.136339,4.225766,-1.4532804,-0.5497787,-0.8393288,-0.7489208,JERKING,5f7e6b02b83a
1776744537561,275219570723283,7.9846625,10.675745,-7.144298,-0.021991149,-0.6218608,-0.10751228,JERKING,5f7e6b02b83a
1776744537572,275219590864884,8.918402,13.790602,-2.7700913,-0.1282817,1.8411479,0.9932669,JERKING,5f7e6b02b83a
1776744537613,275219611006486,5.8705826,14.415488,0.56982,-0.4361578,3.6419785,1.8839084,JERKING,5f7e6b02b83a
1776744537619,275219631178605,6.021417,11.559206,4.0054994,0.21502456,3.875329,3.6908479,JERKING,5f7e6b02b83a
1776744537633,275219651320207,2.7964275,-5.118803,11.415554,-1.0103711,3.9559634,5.0652947,JERKING,5f7e6b02b83a
1776744537657,275219671492326,-21.124043,-40.63439,24.892515,-6.863682,3.9962804,4.047593,JERKING,5f7e6b02b83a
1776744537674,275219691572892,-5.8442464,-34.162865,18.387468,-5.2326717,-2.2809708,-2.7146852,JERKING,5f7e6b02b83a
1776744537715,275219711745011,7.66384,-16.788143,17.355568,-0.14049901,-0.7098254,-0.31764993,JERKING,5f7e6b02b83a
1776744537719,275219731825578,7.929596,-5.377377,8.259995,2.140472,-2.4813347,-3.268129,JERKING,5f7e6b02b83a
