epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776792053466,322735483536326,1.0582372,1.934515,9.385271,0.1001819,0.04153884,0.012217305,JERKING,5fff69c60e10
1776792053499,322735503555857,1.0007763,2.3702598,8.944737,0.41416663,0.073303826,0.018325957,JERKING,5fff69c60e10
1776792053509,322735523575389,1.1899183,2.3702598,8.669404,-0.63285637,-0.06963864,0.14172074,JERKING,5fff69c60e10
1776792053533,322735543594920,1.1348516,1.6184803,8.6574335,-0.6621779,-0.059864793,0.21502456,JERKING,5fff69c60e10
1776792053544,322735563614451,1.0749966,1.0941502,9.301474,-0.3371976,-0.10629055,0.25534168,JERKING,5fff69c60e10
1776792053565,322735583633982,1.364695,1.4532804,9.797073,0.02565634,-0.12583824,0.2443461,JERKING,5fff69c60e10
1776792053599,322735603653514,1.6639702,2.4229321,9.639056,0.30787608,-0.07696902,0.21502456,JERKING,5fff69c60e10
1776792053608,322735623703562,1.4867992,2.9616275,9.569624,0.23701571,-0.013439035,0.21624629,JERKING,5fff69c60e10
1776792053627,322735643723094,1.2210429,2.1739352,9.548077,-0.12217305,-0.057421334,0.27366763,JERKING,5fff69c60e10
1776792053649,322735663742625,1.3144168,1.4197617,9.378088,-0.42638394,-0.14538592,0.2968805,JERKING,5fff69c60e10
1776792053664,322735683762156,1.3144168,0.7781156,9.648633,-0.44104472,-0.18325958,0.25289822,JERKING,5fff69c60e10
1776792053693,322735703781687,1.3910311,1.13964,9.837775,-0.11362094,-0.17592919,0.23701571,JERKING,5fff69c60e10
1776792053710,322735723831736,1.4077905,1.9656396,9.8042555,0.16371189,-0.09285152,0.20158553,JERKING,5fff69c60e10
1776792053732,322735743851267,1.2306197,2.1667526,9.904813,0.06963864,-0.080634214,0.20280726,JERKING,5fff69c60e10
1776792053745,322735763901316,0.9840169,1.7405846,9.91439,-0.15393804,-0.24923302,0.29565877,JERKING,5fff69c60e10
1776792053767,322735783920848,1.496376,1.9201498,9.188946,-0.13072516,-0.35430184,0.33964106,JERKING,5fff69c60e10
1776792053794,322735803940379,1.8195933,2.1068976,9.196129,-0.15515977,-0.32253686,0.3286455,JERKING,5fff69c60e10
1776792053811,322735823990428,1.472434,1.6903064,9.548077,-0.27366763,-0.35430184,0.33841935,JERKING,5fff69c60e10
1776792053827,322735844040476,1.2545617,1.553837,9.548077,-0.42149702,-0.4361578,0.31398472,JERKING,5fff69c60e10
1776792053845,322735864090525,1.2449849,1.9440918,9.655815,-0.5742133,-0.52778757,0.24556783,JERKING,5fff69c60e10
1776792053865,322735884171092,1.079785,0.9816227,11.099519,-0.6059783,-0.6230826,0.25289822,JERKING,5fff69c60e10
1776792053893,322735904190623,0.80924016,0.17956513,11.468226,-0.8686504,-0.9932669,0.32498032,JERKING,5fff69c60e10
1776792053910,322735924240672,1.0869676,-0.10295067,10.836157,-1.2339478,-1.2302825,0.312763,JERKING,5fff69c60e10
1776792053927,322735944260203,1.6687586,0.055066638,9.330204,-1.6627752,-1.5088371,0.17592919,JERKING,5fff69c60e10
1776792053945,322735964279734,2.669535,-0.59855044,9.181764,-1.9975294,-1.8106046,0.065973446,JERKING,5fff69c60e10
1776792053965,322735984329783,3.8762126,-1.2114661,9.406818,-2.3554964,-2.094046,0.040317107,JERKING,5fff69c60e10
1776792053997,322736004349314,4.8147397,-1.283292,8.78672,-2.5766296,-2.048842,0.039095376,JERKING,5fff69c60e10
1776792054006,322736024338328,5.3486466,-0.82360536,7.867347,-2.742785,-1.8216002,-0.02443461,JERKING,5fff69c60e10
1776792054032,322736044388377,6.05733,-0.85473,7.2233067,-2.7488935,-1.632232,0.07696902,JERKING,5fff69c60e10
1776792054049,322736064407908,6.8186865,-0.8595184,6.1100025,-2.9907963,-1.46852,0.5448918,JERKING,5fff69c60e10
1776792054082,322736084427439,7.7213006,-0.050278235,4.2066126,-2.8319712,-1.3353515,0.7831292,JERKING,5fff69c60e10
1776792054089,322736104446971,7.6015906,-1.4987702,5.9280434,-2.0720549,-1.0800097,0.86132,JERKING,5fff69c60e10
1776792054115,322736124466502,5.3438582,-3.799598,8.3390045,-1.4892895,-0.5864306,0.9651671,JERKING,5fff69c60e10
1776792054127,322736144516551,3.7493198,-6.2129536,9.497798,-1.2473868,-0.46914452,0.6585127,JERKING,5fff69c60e10
1776792054150,322736164566599,4.3023806,-8.135497,9.272743,-1.174083,-0.79290307,0.17348573,JERKING,5fff69c60e10
1776792054167,322736184586131,5.437232,-8.702923,8.537724,-0.7134906,-0.8393288,-0.23945917,JERKING,5fff69c60e10
1776792054197,322736204605662,5.602432,-6.6103907,8.042124,-0.18692477,-0.70005155,-0.657291,JERKING,5fff69c60e10
1776792054206,322736224625193,5.0996494,-4.9799395,7.548918,-0.014660766,-0.6450737,-0.893085,JERKING,5fff69c60e10
1776792054233,322736244644724,4.5513773,-4.939238,7.1227503,-0.19792034,-0.6976081,-0.9309586,JERKING,5fff69c60e10
1776792054246,322736264633738,5.097255,-4.072537,5.614403,0.013439035,-0.7672467,-0.96761054,JERKING,5fff69c60e10
1776792054266,322736284683787,5.825093,-2.3439236,4.5513773,0.18325958,-0.6927212,-0.9285152,JERKING,5fff69c60e10
