epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776917778347,95796406649600,0.78050977,-1.7190368,9.679757,0.35308012,0.16493362,-0.062308256,TREMOR,650f5f3d33b8
1776917778376,95796426699649,0.81642276,-1.6232687,9.655815,0.50823987,0.09896017,-0.012217305,TREMOR,650f5f3d33b8
1776917778382,95796446749698,0.82121116,-1.4173675,9.619903,-0.37384954,-0.015882496,-0.008552114,TREMOR,650f5f3d33b8
1776917778406,95796466769229,0.7541735,-1.6232687,9.490616,0.0720821,-0.009773844,0.036651913,TREMOR,650f5f3d33b8
1776917778441,95796486849795,0.8451532,-1.4939818,9.464279,0.10140363,-0.02321288,0.05009095,TREMOR,650f5f3d33b8
1776917778443,95796506899844,0.7206547,-1.553837,9.421184,0.09285152,-0.02321288,0.056199603,TREMOR,650f5f3d33b8
1776917778466,95796526949893,0.81402856,-1.5394717,9.346964,0.07819075,-0.021991149,0.064751714,TREMOR,650f5f3d33b8
1776917778485,95796547030459,0.92655605,-1.271321,9.294291,0.040317107,-0.012217305,0.07086037,TREMOR,650f5f3d33b8
1776917778502,95796567080508,0.9672575,-1.5059528,9.181764,0.007330383,0.047647487,0.09040806,TREMOR,650f5f3d33b8
1776917778536,95796587130557,1.0247183,-2.0135236,9.255983,0.059864793,0.040317107,0.10629055,TREMOR,650f5f3d33b8
1776917778544,95796607180606,1.1348516,-1.8243817,9.464279,0.13072516,0.052534413,0.11484267,TREMOR,650f5f3d33b8
1776917778566,95796627230655,1.0654198,-1.8962077,9.452309,0.13683382,0.065973446,0.1282817,TREMOR,650f5f3d33b8
1776917778582,95796647250186,0.8882488,-1.70946,9.595961,0.12583824,0.062308256,0.12950343,TREMOR,650f5f3d33b8
1776917778600,95796666639199,0.9576807,-1.2497733,9.811439,0.12950343,0.08552113,0.15393804,TREMOR,650f5f3d33b8
1776917778622,95796686258731,0.8331822,-1.0319009,9.797073,0.032986723,0.039095376,0.21380283,TREMOR,650f5f3d33b8
1776917778648,95796706178262,0.7182605,-0.9911995,9.746795,-0.18570304,-0.043982297,0.29443705,TREMOR,650f5f3d33b8
