# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776745946268,1854170719882608,-8.463503,2.327164,-4.297592,NaN,NaN,NaN,TONIC,828077a37c8b
1776745946276,1854170727969358,-8.645462,2.2864625,-4.0078936,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946284,1854170735964416,-8.6334915,2.27928,-4.036624,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946292,1854170743960013,-8.623915,2.2840683,-4.0438066,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946300,1854170751953917,-8.614338,2.2936451,-4.0533834,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946308,1854170759950745,-8.619126,2.2888567,-4.0438066,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946316,1854170767947726,-8.611943,2.2744915,-4.036624,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946324,1854170775972553,-8.623915,2.27928,-4.024653,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946332,1854170783967303,-8.604761,2.255338,-4.024653,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946340,1854170791963361,-8.595184,2.2840683,-4.0054994,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946348,1854170799958419,-8.604761,2.2649148,-4.012682,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946356,1854170807955247,-8.576031,2.2649148,-4.036624,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946364,1854170815951843,-8.540117,2.2577322,-4.0557775,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946372,1854170823945979,-8.585608,2.2505496,-4.0581717,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946380,1854170831971575,-8.590396,2.2481554,-4.0797195,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
1776745946388,1854170839968402,-8.571242,2.2457612,-4.1060557,-0.007941248,-0.036651913,-0.004276057,TONIC,828077a37c8b
