epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776745945516,276627534015014,0.93373865,-1.5777789,9.440337,-0.036651913,-0.029321533,-0.04642576,TONIC,828077a37c8b
1776745945548,276627554156616,0.7493851,-1.6160861,9.440337,0.4251622,0.08552113,0.042760566,TONIC,828077a37c8b
1776745945558,276627574298217,0.6871359,-1.6472107,9.495404,0.47158796,0.1001819,0.030543262,TONIC,828077a37c8b
1776745945588,276627594409301,0.5602432,-1.8243817,9.536105,-0.0036651916,0.032986723,0.111177474,TONIC,828077a37c8b
1776745945596,276627614550903,0.5554548,-2.006341,9.485827,0.080634214,0.02443461,0.105068825,TONIC,828077a37c8b
1776745945624,276627634661987,0.5243302,-1.6065093,9.346964,0.19792034,0.02565634,0.08307768,TONIC,828077a37c8b
1776745945636,276627654773071,0.59376204,-0.8834604,9.320627,0.19914207,0.036651913,0.058643065,TONIC,828077a37c8b
1776745945656,276627674884155,0.63206923,-0.89303726,9.351752,0.02565634,0.010995574,0.064751714,TONIC,828077a37c8b
1776745945676,276627695025756,0.7685388,-1.316811,9.3421755,-0.10262536,-0.0012217305,0.08552113,TONIC,828077a37c8b
1776745945698,276627715167358,0.80205756,-1.4556746,9.411607,-0.11728613,0.018325957,0.112399206,TONIC,828077a37c8b
1776745945727,276627735339477,0.8762778,-1.6065093,9.435549,-0.06963864,0.04642576,0.15393804,TONIC,828077a37c8b
1776745945737,276627755481079,0.9864111,-1.4532804,9.478644,-0.02687807,0.0842994,0.18448131,TONIC,828077a37c8b
1776745945757,276627775653198,0.9504981,-1.3670892,9.41879,-0.042760566,0.09285152,0.22113322,TONIC,828077a37c8b
1776745945777,276627795794799,0.7469909,-1.6232687,9.464279,-0.10629055,0.081855945,0.25045475,TONIC,828077a37c8b
1776745945811,276627815905883,0.7158663,-2.219425,9.605537,-0.1600467,0.047647487,0.26389378,TONIC,828077a37c8b
1776745945817,276627836016967,0.81642276,-2.4372973,9.92636,-0.112399206,0.04642576,0.2321288,TONIC,828077a37c8b
1776745945845,276627856189087,0.8762778,-2.4181437,9.931149,-0.04642576,0.05131268,0.21746802,TONIC,828077a37c8b
1776745945858,276627876361206,0.93613285,-2.4037786,9.794679,-0.056199603,0.02321288,0.1881465,TONIC,828077a37c8b
1776745945879,276627896472290,0.9720459,-2.030283,9.576807,-0.08674286,0.014660766,0.172264,TONIC,828077a37c8b
1776745945910,276627916644409,0.9624691,-2.123657,9.64145,-0.10995574,-0.007330383,0.16982053,TONIC,828077a37c8b
1776745945919,276627936724975,0.93852705,-2.327164,9.591172,-0.07086037,-0.018325957,0.17348573,TONIC,828077a37c8b
1776745945956,276627956897094,0.92655605,-2.2290018,9.572019,0.0061086523,0.0036651916,0.15271631,TONIC,828077a37c8b
1776745945966,276627977038696,1.0271125,-2.1523874,9.600749,0.009773844,0.02076942,0.14294247,TONIC,828077a37c8b
1776745945980,276627997119262,0.90500826,-2.2577322,9.514558,-0.018325957,0.010995574,0.13194689,TONIC,828077a37c8b
1776745946005,276628017291381,0.8379706,-2.1739352,9.607931,-0.018325957,0.02687807,0.118507855,TONIC,828077a37c8b
1776745946023,276628037402465,0.60573304,-2.2768857,9.624691,-0.05131268,0.018325957,0.10262536,TONIC,828077a37c8b
1776745946041,276628057574585,0.6560113,-1.9177556,9.598354,-0.07941248,0.009773844,0.081855945,TONIC,828077a37c8b
1776745946059,276628077716186,0.47405192,-1.9153614,9.655815,-0.08674286,-0.0012217305,0.07574729,TONIC,828077a37c8b
1776745946088,276628097796753,0.40701428,-1.9919758,9.65821,-0.09162979,-0.039095376,0.07452556,TONIC,828077a37c8b
1776745946106,276628117968872,0.5434838,-1.7836803,9.488221,-0.07941248,-0.05131268,0.07574729,TONIC,828077a37c8b
1776745946123,276628138110473,0.5386954,-1.7956513,9.469068,-0.09040806,-0.042760566,0.09040806,TONIC,828077a37c8b
1776745946140,276628158252075,0.6368576,-1.7812861,9.325416,-0.12339478,-0.040317107,0.1001819,TONIC,828077a37c8b
1776745946159,276628178393676,0.5482722,-1.8052281,9.380483,-0.14538592,-0.018325957,0.12950343,TONIC,828077a37c8b
1776745946181,276628198474243,0.62249243,-2.0566192,9.382876,-0.18936823,-0.018325957,0.14660765,TONIC,828077a37c8b
1776745946211,276628218615844,0.50038815,-2.2242134,9.440337,-0.15027285,-0.0036651916,0.16615535,TONIC,828077a37c8b
1776745946220,276628238757446,0.5650316,-1.9608512,9.409213,-0.10140363,0.02443461,0.16371189,TONIC,828077a37c8b
1776745946250,276628258868530,0.45489833,-2.3127987,9.337387,-0.16249016,0.02443461,0.15271631,TONIC,828077a37c8b
1776745946261,276628279010131,0.48602295,-2.3535004,9.356541,-0.21991149,0.04153884,0.1160644,TONIC,828077a37c8b
1776745946293,276628299151733,0.4405331,-2.7150247,9.593566,-0.21013765,0.047647487,0.103847094,TONIC,828077a37c8b
1776745946301,276628319293335,0.6536171,-2.315193,9.421184,-0.16982053,0.0842994,0.05375614,TONIC,828077a37c8b
1776745946327,276628339373901,0.6392518,-1.5729905,9.3182335,-0.19303341,0.119729586,0.04153884,TONIC,828077a37c8b
1776745946341,276628359484985,0.5626374,-1.3096284,9.129091,-0.3848451,0.13561209,0.05131268,TONIC,828077a37c8b
1776745946362,276628379565551,0.38067806,-2.0518308,8.980651,-0.5705481,0.12583824,0.09407325,TONIC,828077a37c8b
1776745946394,276628399707153,0.3854665,-3.0693667,8.640674,-0.593761,0.080634214,0.103847094,TONIC,828077a37c8b
1776745946402,276628419848754,0.272939,-2.954445,9.694122,-0.30909783,0.17715092,0.095294975,TONIC,828077a37c8b
1776745946432,276628439959838,-0.5602432,-3.2728736,10.3453455,-0.31764993,0.08307768,0.095294975,TONIC,828077a37c8b
1776745946442,276628460131958,0.18674773,-2.2529438,9.531317,-0.47158796,-0.04153884,0.007330383,TONIC,828077a37c8b
1776745946473,276628480273559,0.47165772,-2.27928,9.011775,-0.55955255,-0.07452556,0.16982053,TONIC,828077a37c8b
1776745946487,276628500415161,0.545878,-3.3854012,8.779537,-0.54733527,-0.12217305,0.21991149,TONIC,828077a37c8b
1776745946510,276628520526245,0.47405192,-3.845088,9.052477,-0.18692477,-0.056199603,0.20525073,TONIC,828077a37c8b
1776745946522,276628540698364,0.34955344,-3.265691,9.339781,0.18692477,0.05497787,0.172264,TONIC,828077a37c8b
1776745946549,276628560839965,0.31124622,-3.2369606,9.497798,0.17715092,0.059864793,0.16493362,TONIC,828077a37c8b
1776745946563,276628580981567,0.24420857,-3.7588966,9.797073,0.080634214,0.0,0.13927728,TONIC,828077a37c8b
1776745946592,276628601062133,0.47165772,-3.229778,9.332599,0.19792034,0.010995574,0.119729586,TONIC,828077a37c8b
1776745946607,276628621203735,0.50757074,-2.3056161,9.01417,0.21135938,0.064751714,0.09040806,TONIC,828077a37c8b
1776745946623,276628641284301,0.16519992,-2.705448,9.330204,0.15760323,0.040317107,0.09896017,TONIC,828077a37c8b
1776745946643,276628661456420,0.16998832,-3.5769374,9.531317,0.07574729,-0.043982297,0.0720821,TONIC,828077a37c8b
1776745946663,276628681567504,0.47405192,-2.9975405,9.651027,0.10629055,-0.015882496,0.019547688,TONIC,828077a37c8b
1776745946693,276628701709106,0.320823,-2.8538885,9.531317,0.05131268,0.0061086523,0.009773844,TONIC,828077a37c8b
1776745946702,276628721820190,0.22026655,-2.885013,9.267955,-0.10140363,-0.05131268,-0.028099801,TONIC,828077a37c8b
1776745946733,276628741992309,0.35434186,-3.0262709,9.246407,-0.019547688,-0.058643065,-0.007330383,TONIC,828077a37c8b
1776745946743,276628762133911,0.29448682,-3.2369606,9.572019,0.087964594,-0.034208454,-0.043982297,TONIC,828077a37c8b
