# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776792296249,1900520700038812,-2.1811178,1.1683705,-9.445126,NaN,NaN,NaN,TONIC,8f69f68262da
1776792296257,1900520708125969,-2.087744,1.0199299,-9.41879,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296265,1900520716121356,-2.0973208,1.0319009,-9.416395,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296273,1900520724116358,-2.0949266,1.0295067,-9.43076,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296281,1900520732113977,-2.1092918,1.0223241,-9.404425,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296289,1900520740108672,-2.1308396,1.043872,-9.41879,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296297,1900520748104136,-2.135628,1.0247183,-9.411607,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296305,1900520756132677,-2.1404164,1.0223241,-9.41879,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296313,1900520764125065,-2.1571758,1.0271125,-9.394848,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296321,1900520772121682,-2.147599,1.0271125,-9.411607,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296329,1900520780118300,-2.1404164,1.0151415,-9.399636,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296337,1900520788112765,-2.1380222,1.0271125,-9.397242,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296345,1900520796108152,-2.1308396,1.0295067,-9.404425,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296353,1900520804103539,-2.1380222,1.0271125,-9.411607,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296361,1900520812131465,-2.123657,1.0366893,-9.411607,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296369,1900520820127160,-2.1284454,1.0390835,-9.397242,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296377,1900520828120701,-2.1452048,1.0319009,-9.40203,-0.025045475,-0.02321288,0.020158553,TONIC,8f69f68262da
1776792296385,1900520836116704,-2.1499932,1.0271125,-9.41879,6.1086525E-4,-0.007941248,0.004886922,TONIC,8f69f68262da
1776792296393,1900520844112399,-2.135628,1.0127473,-9.397242,0.0,-0.007330383,0.004276057,TONIC,8f69f68262da
1776792296401,1900520852108402,-2.1499932,1.0079589,-9.416395,0.0018325958,-0.009773844,0.0018325958,TONIC,8f69f68262da
1776792296409,1900520860102328,-2.1452048,1.0295067,-9.40203,0.0018325958,-0.007330383,0.004886922,TONIC,8f69f68262da
1776792296417,1900520868130022,-2.1452048,1.0055647,-9.428367,0.0,-0.009773844,0.0036651916,TONIC,8f69f68262da
1776792296425,1900520876125717,-2.1284454,1.0103531,-9.406818,6.1086525E-4,-0.004886922,0.0030543262,TONIC,8f69f68262da
1776792296433,1900520884121336,-2.1499932,1.0175357,-9.399636,6.1086525E-4,-0.007941248,0.0012217305,TONIC,8f69f68262da
1776792296441,1900520892116493,-2.1404164,0.9983821,-9.409213,6.1086525E-4,-0.0061086523,6.1086525E-4,TONIC,8f69f68262da
1776792296449,1900520900112187,-2.1452048,1.0175357,-9.425972,0.0,-0.004276057,6.1086525E-4,TONIC,8f69f68262da
1776792296457,1900520908107882,-2.1667526,1.0055647,-9.41879,6.1086525E-4,-0.002443461,-0.0012217305,TONIC,8f69f68262da
1776792296465,1900520916106039,-2.1452048,1.0079589,-9.399636,-6.1086525E-4,-0.0018325958,-6.1086525E-4,TONIC,8f69f68262da
1776792296473,1900520924128503,-2.1523874,1.0007763,-9.411607,-0.0018325958,6.1086525E-4,-0.0018325958,TONIC,8f69f68262da
1776792296481,1900520932125429,-2.1523874,1.0223241,-9.390059,-0.0018325958,6.1086525E-4,-0.0012217305,TONIC,8f69f68262da
1776792296489,1900520940119278,-2.1571758,1.0271125,-9.390059,-0.002443461,0.0,-0.002443461,TONIC,8f69f68262da
1776792296497,1900520948115588,-2.1571758,1.0271125,-9.40203,-0.0030543262,0.0030543262,-6.1086525E-4,TONIC,8f69f68262da
1776792296505,1900520956113360,-2.1547816,1.0366893,-9.40203,-0.0036651916,0.0036651916,0.0012217305,TONIC,8f69f68262da
