# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776793818313,1902042764065381,1.9057846,-9.586384,1.0869676,NaN,NaN,NaN,FALLS,a1644cebd856
1776793818321,1902042772152472,1.8794483,-9.576807,1.0606314,0.004276057,-0.018325957,6.1086525E-4,FALLS,a1644cebd856
1776793818329,1902042780149717,1.8626889,-9.581595,1.0534488,0.004276057,-0.018325957,6.1086525E-4,FALLS,a1644cebd856
1776793818337,1902042788143883,1.8698715,-9.593566,1.0893618,0.004276057,-0.018325957,6.1086525E-4,FALLS,a1644cebd856
1776793818345,1902042796140821,1.8818425,-9.593566,1.103727,0.004276057,-0.018325957,6.1086525E-4,FALLS,a1644cebd856
1776793818353,1902042804134603,1.9009962,-9.581595,1.103727,0.004276057,-0.018325957,6.1086525E-4,FALLS,a1644cebd856
1776793818361,1902042812131232,1.9081788,-9.595961,1.127669,0.004276057,-0.018325957,6.1086525E-4,FALLS,a1644cebd856
1776793818369,1902042820157784,1.9057846,-9.607931,1.1228806,0.004276057,-0.018325957,6.1086525E-4,FALLS,a1644cebd856
1776793818377,1902042828152259,1.9440918,-9.591172,1.115698,0.004276057,-0.018325957,6.1086525E-4,FALLS,a1644cebd856
1776793818385,1902042836148272,1.970428,-9.562442,1.0989386,0.004276057,-0.018325957,6.1086525E-4,FALLS,a1644cebd856
1776793818393,1902042844144209,1.982399,-9.579201,1.1204864,0.004276057,-0.018325957,6.1086525E-4,FALLS,a1644cebd856
1776793818401,1902042852140222,2.0135236,-9.572019,1.0941502,0.004276057,-0.018325957,6.1086525E-4,FALLS,a1644cebd856
1776793818409,1902042860135698,2.0254946,-9.579201,1.1085154,0.004276057,-0.018325957,6.1086525E-4,FALLS,a1644cebd856
1776793818417,1902042868129788,1.99437,-9.579201,1.1085154,0.004276057,-0.018325957,6.1086525E-4,FALLS,a1644cebd856
1776793818425,1902042876159033,1.9728222,-9.579201,1.1252748,-0.0030543262,0.008552114,-0.0036651916,FALLS,a1644cebd856
