# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777255634172,2363858622764806,1.4820108,-9.77792,0.6703765,NaN,NaN,NaN,JERKING,a9fca8c71263
1777255634180,2363858630851950,1.4915876,-9.80665,0.7254431,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634188,2363858638847018,1.4700398,-9.818622,0.7110779,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634196,2363858646842623,1.4221559,-9.8042555,0.7182605,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634204,2363858654867306,1.2952632,-9.816227,0.6847417,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634212,2363858662919527,1.1994951,-9.785102,0.6584055,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634220,2363858670862363,1.1827357,-9.773131,0.6536171,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634228,2363858678855201,1.163582,-9.753978,0.6536171,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634236,2363858686875806,1.1827357,-9.746795,0.6512229,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634244,2363858694847565,1.1851299,-9.751583,0.61770403,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634252,2363858702842941,1.2066777,-9.773131,0.59855044,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634260,2363858710831854,1.1659763,-9.80665,0.5434838,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634268,2363858718864076,1.1420342,-9.825804,0.50278234,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634276,2363858726858835,1.0582372,-9.830592,0.45250413,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634284,2363858734853979,1.0031705,-9.813833,0.39504328,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634292,2363858742850816,0.91458505,-9.792285,0.37828386,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634300,2363858750846191,0.90740246,-9.758766,0.34955344,-0.18081611,0.119729586,0.14049901,JERKING,a9fca8c71263
1777255634308,2363858758840951,0.91219085,-9.77792,0.3854665,0.0421497,-0.06169739,0.034208454,JERKING,a9fca8c71263
1777255634316,2363858766868095,0.93852705,-9.80665,0.41180268,0.029321533,-0.044593163,0.03970624,JERKING,a9fca8c71263
1777255634324,2363858774863470,1.0151415,-9.840169,0.4381389,0.021380283,-0.025045475,0.04520403,JERKING,a9fca8c71263
1777255634332,2363858782822845,1.0773908,-9.900024,0.47165772,0.012217305,-0.015271631,0.05497787,JERKING,a9fca8c71263
1777255634340,2363858790853527,1.151611,-9.900024,0.49799395,0.007941248,-0.016493361,0.064751714,JERKING,a9fca8c71263
1777255634348,2363858798851442,1.2042835,-9.844957,0.49559975,6.1086525E-4,-0.03481932,0.07086037,JERKING,a9fca8c71263
1777255634356,2363858806844893,1.1611878,-9.758766,0.46447513,-0.004886922,-0.062308256,0.07086037,JERKING,a9fca8c71263
1777255634364,2363858814934499,1.2378023,-9.698911,0.50038815,-0.017104227,-0.08857546,0.077579886,JERKING,a9fca8c71263
1777255634372,2363858822868259,1.3359646,-9.660604,0.533907,-0.03176499,-0.11362094,0.09468412,JERKING,a9fca8c71263
1777255634380,2363858830862787,1.4508862,-9.646238,0.59136784,-0.040927973,-0.1301143,0.0983493,JERKING,a9fca8c71263
1777255634388,2363858838858162,1.5658079,-9.65821,0.62967503,-0.042760566,-0.1459968,0.10140363,JERKING,a9fca8c71263
1777255634396,2363858846855384,1.769315,-9.710882,0.7182605,-0.044593163,-0.16371189,0.103847094,JERKING,a9fca8c71263
1777255634404,2363858854850143,1.9656396,-9.737218,0.78769237,-0.035430185,-0.20769419,0.1001819,JERKING,a9fca8c71263
1777255634412,2363858862844903,2.1260512,-9.742006,0.85473,-0.023823744,-0.2565634,0.089186326,JERKING,a9fca8c71263
1777255634420,2363858870840278,2.1787236,-9.6845455,0.8714894,-0.0036651916,-0.3200934,0.070249505,JERKING,a9fca8c71263
1777255634428,2363858878868806,2.1763294,-9.624691,0.8499416,0.02076942,-0.38912117,0.047036625,JERKING,a9fca8c71263
1777255634436,2363858886863874,2.1260512,-9.639056,0.6895301,0.04886922,-0.44104472,0.029321533,JERKING,a9fca8c71263
1777255634444,2363858894857710,1.9009962,-9.624691,0.45250413,0.077579886,-0.46853364,-0.0036651916,JERKING,a9fca8c71263
1777255634452,2363858902854625,1.2497733,-9.557653,0.14604631,0.07819075,-0.42943826,-0.049480084,JERKING,a9fca8c71263
1777255634460,2363858910849461,0.8499416,-9.548077,-0.033518825,0.05497787,-0.32803464,-0.0842994,JERKING,a9fca8c71263
1777255634468,2363858918847220,0.581791,-9.65821,-0.023942016,0.004886922,-0.17104226,-0.08552113,JERKING,a9fca8c71263
1777255634476,2363858926842365,0.45250413,-9.749189,0.019153614,-0.07574729,0.06536258,-0.076358154,JERKING,a9fca8c71263
1777255634484,2363858934868124,0.36391866,-9.8042555,0.11252748,-0.13439035,0.22113322,-0.07391469,JERKING,a9fca8c71263
1777255634492,2363858942862884,0.30406362,-9.876082,0.24420857,-0.1881465,0.3463606,-0.07452556,JERKING,a9fca8c71263
1777255634500,2363858950858874,0.30885202,-9.871294,0.37110126,-0.23640485,0.43004912,-0.07452556,JERKING,a9fca8c71263
