epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776746061054,276743073478670,1.5634137,-1.8124107,9.473856,0.36285394,0.16737708,-0.06352998,TREMOR,ba57a2cb864e
1776746061078,276743093589754,1.5705963,-1.7501614,9.425972,0.48991394,0.09773844,-0.019547688,TREMOR,ba57a2cb864e
1776746061105,276743113731355,1.6280571,-1.7812861,9.500193,-0.4288274,0.019547688,-0.043982297,TREMOR,ba57a2cb864e
1776746061128,276743133842439,1.5945383,-1.661576,9.548077,0.014660766,0.043982297,-0.02076942,TREMOR,ba57a2cb864e
1776746061137,276743153953523,1.484405,-1.745373,9.464279,-0.002443461,0.036651913,-0.013439035,TREMOR,ba57a2cb864e
1776746061155,276743174064607,1.4867992,-1.8674773,9.495404,-0.0036651916,0.02076942,-0.010995574,TREMOR,ba57a2cb864e
1776746061175,276743194175691,1.4820108,-1.7525556,9.457097,0.032986723,0.028099801,-0.007330383,TREMOR,ba57a2cb864e
1776746061202,276743214317293,1.5753847,-1.7980455,9.390059,0.029321533,0.02321288,-0.004886922,TREMOR,ba57a2cb864e
1776746061222,276743234458894,1.4939818,-1.7022774,9.425972,0.02687807,0.02565634,-0.0012217305,TREMOR,ba57a2cb864e
1776746061238,276743254569978,1.5275006,-1.5682021,9.337387,-0.010995574,0.02565634,0.009773844,TREMOR,ba57a2cb864e
1776746061255,276743274711580,1.4580688,-1.9488802,9.382876,-0.057421334,0.013439035,0.029321533,TREMOR,ba57a2cb864e
1776746061275,276743294792146,1.5251064,-2.2697031,9.586384,0.0012217305,0.021991149,0.02687807,TREMOR,ba57a2cb864e
1776746061310,276743314872713,1.4077905,-1.8100165,9.615114,0.09773844,0.04642576,0.008552114,TREMOR,ba57a2cb864e
1776746061317,276743335014314,1.436521,-1.5873557,9.485827,0.035430185,0.02076942,0.015882496,TREMOR,ba57a2cb864e
1776746061338,276743355125398,1.3670892,-1.5753847,9.263166,-0.10629055,-0.015882496,0.034208454,TREMOR,ba57a2cb864e
1776746061359,276743375236482,1.3335704,-1.8483237,9.378088,-0.13683382,-0.014660766,0.04642576,TREMOR,ba57a2cb864e
1776746061377,276743395347566,1.3910311,-1.934515,9.454702,-0.0842994,-0.012217305,0.056199603,TREMOR,ba57a2cb864e
1776746061405,276743415519685,1.3551182,-1.9201498,9.488221,-0.05131268,-0.008552114,0.056199603,TREMOR,ba57a2cb864e
1776746061421,276743435630769,1.3120226,-1.5370775,9.284714,-0.043982297,-0.008552114,0.08307768,TREMOR,ba57a2cb864e
1776746061438,276743455772371,1.3431472,-1.472434,9.255983,-0.07941248,-0.03176499,0.09407325,TREMOR,ba57a2cb864e
1776746061456,276743475913972,1.3814543,-1.6304513,9.41879,-0.15760323,-0.04153884,0.11728613,TREMOR,ba57a2cb864e
1776746061477,276743496025056,1.3431472,-1.9680338,9.473856,-0.20647246,-0.06352998,0.1441642,TREMOR,ba57a2cb864e
1776746061507,276743516105623,1.436521,-2.6503813,9.773131,-0.18325958,-0.089186326,0.16615535,TREMOR,ba57a2cb864e
1776746061518,276743536216707,1.1779473,-2.8491,9.981427,0.0012217305,-0.13683382,0.12339478,TREMOR,ba57a2cb864e
1776746061549,276743556358308,1.388637,-1.5993267,9.600749,0.20158553,-0.14294247,0.08307768,TREMOR,ba57a2cb864e
1776746061558,276743576469392,1.1827357,-1.1013328,9.514558,-0.012217305,-0.14782938,0.087964594,TREMOR,ba57a2cb864e
1776746061582,276743596580476,1.3982137,-1.3958195,9.481039,-0.5155703,-0.21991149,0.08552113,TREMOR,ba57a2cb864e
1776746061607,276743616661043,1.553837,-1.0486604,9.358934,-1.1569787,-0.12461651,0.080634214,TREMOR,ba57a2cb864e
1776746061625,276743636772127,1.8243817,-1.1875241,9.138668,-2.147802,-0.07941248,0.14905111,TREMOR,ba57a2cb864e
1776746061638,276743656883211,1.7357962,-2.6168625,7.884106,-3.571118,-0.16493362,0.18203785,TREMOR,ba57a2cb864e
1776746061658,276743676994295,2.5330653,-2.9831753,7.5345526,-4.9748864,-0.089186326,0.23457226,TREMOR,ba57a2cb864e
1776746061692,276743697135896,2.5474305,-4.1395745,6.7827735,-5.9803705,0.021991149,0.32253686,TREMOR,ba57a2cb864e
