epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777076214612,73114221531440,-0.19632454,-4.256891,8.832211,-0.0061086523,-0.018325957,0.02565634,FALLS,c31a5e37679e
1777076214709,73114241703560,-0.14844051,-4.2066126,8.808268,0.43371433,0.0842994,0.002443461,FALLS,c31a5e37679e
1777076214711,73114261845161,-0.2681506,-4.2425256,8.884883,-0.5522222,-0.028099801,-0.013439035,FALLS,c31a5e37679e
1777076214713,73114281986763,-0.25617957,-4.187459,8.865729,-0.018325957,-0.007330383,-0.0012217305,FALLS,c31a5e37679e
1777076214715,73114302128364,-0.2705448,-4.2664676,8.834604,0.014660766,-0.007330383,0.002443461,FALLS,c31a5e37679e
1777076214718,73114322269966,-0.2777274,-4.1826706,8.853758,0.018325957,-0.004886922,0.0036651916,FALLS,c31a5e37679e
1777076214729,73114342411567,-0.23223756,-4.1299977,8.810662,0.013439035,-0.007330383,0.002443461,FALLS,c31a5e37679e
1777076214748,73114362583687,-0.21308395,-4.268862,8.848969,-0.0061086523,-0.0061086523,0.0036651916,FALLS,c31a5e37679e
1777076214883,73114382725288,-0.17717093,-4.2401314,8.865729,0.002443461,0.0,-0.0036651916,FALLS,c31a5e37679e
1777076214884,73114402866890,-0.21787235,-4.1491513,8.846576,0.02687807,0.002443461,-0.009773844,FALLS,c31a5e37679e
1777076214886,73114423039009,-0.23223756,-4.1060557,8.872911,0.03176499,-0.0061086523,-0.010995574,FALLS,c31a5e37679e
1777076214888,73114443211128,-0.24899697,-4.1611223,8.851364,0.019547688,-0.012217305,-0.008552114,FALLS,c31a5e37679e
1777076214892,73114463352730,-0.2825158,-4.201824,8.841787,0.018325957,-0.017104227,0.0012217305,FALLS,c31a5e37679e
1777076214894,73114483524849,-0.20829555,-4.2425256,8.836999,0.02687807,-0.012217305,0.0036651916,FALLS,c31a5e37679e
1777076214896,73114503605415,-0.19871874,-4.146757,8.839393,0.034208454,-0.009773844,-0.0012217305,FALLS,c31a5e37679e
1777076214911,73114523777534,-0.25378537,-4.2066126,8.836999,0.030543262,-0.012217305,-0.002443461,FALLS,c31a5e37679e
1777076214938,73114543858101,-0.24420857,-4.0653543,8.805874,0.008552114,-0.017104227,-0.007330383,FALLS,c31a5e37679e
1777076215078,73114563999702,-0.2681506,-4.10845,8.76996,0.028099801,-0.014660766,-0.0036651916,FALLS,c31a5e37679e
1777076215079,73114584141304,-0.31124622,-4.039018,8.760384,0.057421334,-0.019547688,-0.007330383,FALLS,c31a5e37679e
1777076215081,73114604282905,-0.3184288,-3.8881836,8.722076,0.012217305,-0.02443461,-0.008552114,FALLS,c31a5e37679e
1777076215084,73114624424507,-0.21068975,-4.012682,8.688558,-0.039095376,-0.02321288,-0.004886922,FALLS,c31a5e37679e
1777076215085,73114644566108,-0.29209262,-4.0198646,8.856153,-0.06352998,-0.009773844,0.002443461,FALLS,c31a5e37679e
1777076215087,73114664707710,-0.1388637,-4.197036,8.901642,-0.0842994,-0.0036651916,0.004886922,FALLS,c31a5e37679e
1777076215090,73114684818794,-0.15322891,-4.268862,8.892065,-0.1001819,0.0,-0.010995574,FALLS,c31a5e37679e
1777076215094,73114704929878,-0.10055647,-4.3766007,8.935161,-0.07452556,0.007330383,-0.013439035,FALLS,c31a5e37679e
1777076215184,73114725101997,-0.18914193,-4.429273,8.918402,-0.05375614,0.014660766,-0.019547688,FALLS,c31a5e37679e
1777076215186,73114745274116,-0.18674773,-4.4795513,8.973468,-0.061086524,0.014660766,-0.018325957,FALLS,c31a5e37679e
1777076215187,73114765415718,-0.15562311,-4.474763,8.918402,-0.019547688,0.02565634,-0.019547688,FALLS,c31a5e37679e
1777076215189,73114785587837,-0.2705448,-4.4460325,8.817844,-0.008552114,0.036651913,-0.019547688,FALLS,c31a5e37679e
1777076215194,73114805729438,-0.23942018,-4.5537715,8.805874,-0.017104227,0.040317107,-0.021991149,FALLS,c31a5e37679e
1777076215218,73114825901558,-0.21068975,-4.4795513,8.815451,0.0061086523,0.04886922,-0.021991149,FALLS,c31a5e37679e
1777076215285,73114846012642,-0.23463176,-4.4340615,8.793902,0.007330383,0.05497787,-0.021991149,FALLS,c31a5e37679e
1777076215288,73114866184761,-0.2681506,-4.5441947,8.822633,-0.0012217305,0.05375614,-0.017104227,FALLS,c31a5e37679e
1777076215290,73114886326362,-0.28491,-4.5681367,8.820239,0.030543262,0.05375614,-0.018325957,FALLS,c31a5e37679e
1777076215293,73114906467964,-0.22984336,-4.4316673,8.851364,0.04886922,0.04886922,-0.017104227,FALLS,c31a5e37679e
