# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776793341047,1901565498858376,-1.8052281,1.2641385,-9.392453,NaN,NaN,NaN,TREMOR,c9b7d05dda84
1776793341055,1901565506946291,-1.7764976,1.2593501,-9.378088,0.0067195175,-0.009773844,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341063,1901565514943284,-1.8100165,1.2665327,-9.380483,0.0067195175,-0.009773844,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341071,1901565522938662,-1.8100165,1.2737153,-9.392453,0.0067195175,-0.009773844,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341079,1901565530934270,-1.8483237,1.2808979,-9.375694,0.0067195175,-0.009773844,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341087,1901565538930263,-1.8962077,1.2856863,-9.40203,0.0067195175,-0.009773844,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341095,1901565546923872,-1.8818425,1.30484,-9.397242,0.0067195175,-0.009773844,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341103,1901565554949711,-1.9153614,1.3120226,-9.392453,0.0067195175,-0.009773844,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341111,1901565562946858,-1.946486,1.3072342,-9.394848,0.0067195175,-0.009773844,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341119,1901565570942235,-1.9752164,1.3192052,-9.394848,0.0067195175,-0.009773844,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341127,1901565578937305,-1.9632454,1.3096284,-9.397242,0.0067195175,-0.009773844,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341135,1901565586935452,-1.9871874,1.3311762,-9.397242,0.0067195175,-0.009773844,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341143,1901565594928753,-1.9871874,1.3144168,-9.421184,0.0067195175,-0.009773844,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341151,1901565602924746,-1.9800048,1.328782,-9.414001,0.0067195175,-0.009773844,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341159,1901565610950816,-1.9608512,1.30484,-9.409213,-0.0030543262,0.004276057,0.0018325958,TREMOR,c9b7d05dda84
1776793341167,1901565618946270,-1.9608512,1.316811,-9.404425,-0.0030543262,0.0036651916,6.1086525E-4,TREMOR,c9b7d05dda84
1776793341175,1901565626941033,-1.9393034,1.3192052,-9.43076,-0.004276057,0.005497787,0.004276057,TREMOR,c9b7d05dda84
1776793341183,1901565634936410,-1.9201498,1.3120226,-9.404425,-0.004276057,0.008552114,0.0012217305,TREMOR,c9b7d05dda84
1776793341191,1901565642934173,-1.9081788,1.2904748,-9.411607,-0.004276057,0.009162978,-0.0012217305,TREMOR,c9b7d05dda84
1776793341199,1901565650928012,-1.9081788,1.2880806,-9.423578,-0.005497787,0.01038471,-6.1086525E-4,TREMOR,c9b7d05dda84
1776793341207,1901565658956005,-1.8794483,1.2904748,-9.397242,-0.004886922,0.013439035,-0.004886922,TREMOR,c9b7d05dda84
1776793341215,1901565666950767,-1.8746599,1.2976574,-9.40203,-0.004276057,0.013439035,-0.005497787,TREMOR,c9b7d05dda84
1776793341223,1901565674946145,-1.8674773,1.292869,-9.382876,-0.0030543262,0.014660766,-0.008552114,TREMOR,c9b7d05dda84
1776793341231,1901565682941522,-1.8674773,1.3096284,-9.394848,-0.0018325958,0.015271631,-0.009773844,TREMOR,c9b7d05dda84
1776793341239,1901565690938823,-1.8555063,1.292869,-9.397242,-0.0030543262,0.018325957,-0.01282817,TREMOR,c9b7d05dda84
1776793341247,1901565698933816,-1.8579005,1.3000516,-9.411607,-0.0012217305,0.018936822,-0.012217305,TREMOR,c9b7d05dda84
1776793341255,1901565706929501,-1.8770541,1.2880806,-9.40203,-0.0018325958,0.019547688,-0.01282817,TREMOR,c9b7d05dda84
1776793341263,1901565714955110,-1.8770541,1.292869,-9.397242,-6.1086525E-4,0.021380283,-0.01160644,TREMOR,c9b7d05dda84
1776793341271,1901565722950487,-1.8555063,1.292869,-9.375694,0.0,0.018936822,-0.014049901,TREMOR,c9b7d05dda84
1776793341279,1901565730945480,-1.8770541,1.2856863,-9.375694,-0.0012217305,0.017104227,-0.01038471,TREMOR,c9b7d05dda84
1776793341287,1901565738942166,-1.8674773,1.292869,-9.404425,-0.0030543262,0.014660766,-0.01038471,TREMOR,c9b7d05dda84
1776793341295,1901565746938390,-1.8602947,1.3072342,-9.404425,-0.0036651916,0.010995574,-0.009773844,TREMOR,c9b7d05dda84
1776793341303,1901565754934075,-1.8555063,1.292869,-9.406818,-0.0036651916,0.009162978,-0.008552114,TREMOR,c9b7d05dda84
1776793341311,1901565762926991,-1.8363527,1.2880806,-9.404425,-0.0036651916,0.007941248,-0.007330383,TREMOR,c9b7d05dda84
1776793341319,1901565770954984,-1.8483237,1.3096284,-9.399636,-0.0036651916,0.007330383,-0.007330383,TREMOR,c9b7d05dda84
1776793341327,1901565778950977,-1.8315643,1.3000516,-9.394848,-0.004886922,0.005497787,-0.004886922,TREMOR,c9b7d05dda84
1776793341335,1901565786944585,-1.8411411,1.2880806,-9.390059,-0.004276057,0.0067195175,-0.004276057,TREMOR,c9b7d05dda84
1776793341343,1901565794941501,-1.8291701,1.283292,-9.406818,-0.0036651916,0.007330383,-0.004276057,TREMOR,c9b7d05dda84
1776793341351,1901565802936494,-1.8387469,1.2808979,-9.411607,-0.002443461,0.007941248,-0.0061086523,TREMOR,c9b7d05dda84
1776793341359,1901565810931257,-1.8291701,1.2856863,-9.392453,-6.1086525E-4,0.007330383,-0.0067195175,TREMOR,c9b7d05dda84
1776793341367,1901565818926634,-1.8531121,1.2785037,-9.385271,0.0,0.008552114,-0.005497787,TREMOR,c9b7d05dda84
1776793341375,1901565826953474,-1.8483237,1.2593501,-9.404425,0.0,0.007330383,-0.008552114,TREMOR,c9b7d05dda84
1776793341383,1901565834950313,-1.8459295,1.2737153,-9.409213,6.1086525E-4,0.007330383,-0.007330383,TREMOR,c9b7d05dda84
1776793341391,1901565842945383,-1.8650831,1.2665327,-9.390059,0.0012217305,0.0067195175,-0.009162978,TREMOR,c9b7d05dda84
1776793341399,1901565850940760,-1.8555063,1.2785037,-9.404425,0.0012217305,0.007330383,-0.010995574,TREMOR,c9b7d05dda84
1776793341407,1901565858935830,-1.8602947,1.2761095,-9.414001,0.0012217305,0.0067195175,-0.01160644,TREMOR,c9b7d05dda84
1776793341415,1901565866932823,-1.8626889,1.2761095,-9.397242,0.0030543262,0.009162978,-0.008552114,TREMOR,c9b7d05dda84
1776793341423,1901565874926970,-1.8698715,1.283292,-9.416395,0.002443461,0.009162978,-0.009162978,TREMOR,c9b7d05dda84
1776793341431,1901565882953963,-1.8794483,1.3144168,-9.397242,0.0030543262,0.008552114,-0.008552114,TREMOR,c9b7d05dda84
1776793341439,1901565890949110,-1.8962077,1.316811,-9.404425,0.002443461,0.007941248,-0.004886922,TREMOR,c9b7d05dda84
1776793341447,1901565898945103,-1.8890251,1.3239936,-9.399636,0.0030543262,0.0067195175,-0.005497787,TREMOR,c9b7d05dda84
1776793341455,1901565906941327,-1.9009962,1.316811,-9.40203,0.0012217305,0.0030543262,-0.002443461,TREMOR,c9b7d05dda84
1776793341463,1901565914936781,-1.9153614,1.3192052,-9.409213,0.002443461,0.0036651916,0.0,TREMOR,c9b7d05dda84
1776793341471,1901565922932082,-1.8986019,1.3192052,-9.416395,0.0012217305,0.002443461,0.0012217305,TREMOR,c9b7d05dda84
1776793341479,1901565930926844,-1.8938135,1.316811,-9.394848,0.0018325958,0.0018325958,0.004276057,TREMOR,c9b7d05dda84
1776793341487,1901565938954837,-1.9033904,1.3096284,-9.387665,0.0012217305,0.002443461,0.0030543262,TREMOR,c9b7d05dda84
1776793341495,1901565946948677,-1.8650831,1.3000516,-9.409213,-6.1086525E-4,6.1086525E-4,0.004276057,TREMOR,c9b7d05dda84
1776793341503,1901565954944745,-1.8842367,1.316811,-9.392453,-0.0012217305,0.0036651916,0.004276057,TREMOR,c9b7d05dda84
1776793341511,1901565962940354,-1.8674773,1.3192052,-9.385271,-0.0012217305,0.002443461,0.002443461,TREMOR,c9b7d05dda84
1776793341519,1901565970936424,-1.8579005,1.3120226,-9.392453,-0.0012217305,0.004886922,0.002443461,TREMOR,c9b7d05dda84
1776793341527,1901565978930186,-1.8435353,1.3120226,-9.380483,-0.0012217305,0.005497787,0.0030543262,TREMOR,c9b7d05dda84
1776793341535,1901565986927410,-1.8507179,1.3096284,-9.387665,0.0,0.005497787,0.0018325958,TREMOR,c9b7d05dda84
1776793341543,1901565994953018,-1.8555063,1.30484,-9.380483,0.0,0.007330383,-0.0012217305,TREMOR,c9b7d05dda84
1776793341551,1901566002949242,-1.8674773,1.3072342,-9.392453,0.0018325958,0.008552114,-0.0030543262,TREMOR,c9b7d05dda84
1776793341559,1901566010945235,-1.8842367,1.2952632,-9.385271,0.0012217305,0.010995574,-0.002443461,TREMOR,c9b7d05dda84
1776793341567,1901566018940074,-1.8890251,1.2904748,-9.399636,0.0018325958,0.009773844,-0.0030543262,TREMOR,c9b7d05dda84
1776793341575,1901566026934221,-1.8770541,1.2785037,-9.399636,0.0030543262,0.008552114,-0.0036651916,TREMOR,c9b7d05dda84
1776793341583,1901566034931753,-1.9273324,1.2569559,-9.404425,0.0018325958,0.0061086523,-0.0061086523,TREMOR,c9b7d05dda84
1776793341591,1901566042928053,-1.9201498,1.2521675,-9.380483,0.0036651916,0.0061086523,-0.0067195175,TREMOR,c9b7d05dda84
1776793341599,1901566050953277,-1.9177556,1.2665327,-9.392453,0.002443461,0.0036651916,-0.005497787,TREMOR,c9b7d05dda84
1776793341607,1901566058946809,-1.9177556,1.2617443,-9.394848,0.004276057,0.002443461,-0.005497787,TREMOR,c9b7d05dda84
1776793341615,1901566066942725,-1.9033904,1.2569559,-9.404425,0.002443461,0.002443461,-0.007941248,TREMOR,c9b7d05dda84
1776793341623,1901566074939025,-1.9369092,1.283292,-9.394848,0.0012217305,0.0012217305,-0.007330383,TREMOR,c9b7d05dda84
1776793341631,1901566082935634,-1.9297266,1.2737153,-9.40203,-6.1086525E-4,0.0036651916,-0.007330383,TREMOR,c9b7d05dda84
1776793341639,1901566090931934,-1.922544,1.2976574,-9.41879,-0.002443461,0.0036651916,-0.005497787,TREMOR,c9b7d05dda84
1776793341647,1901566098925158,-1.910573,1.2856863,-9.404425,-0.0018325958,0.0067195175,-0.005497787,TREMOR,c9b7d05dda84
1776793341655,1901566106952305,-1.9057846,1.3072342,-9.414001,-0.0030543262,0.007330383,-0.004886922,TREMOR,c9b7d05dda84
1776793341663,1901566114948298,-1.910573,1.316811,-9.406818,-0.002443461,0.010995574,-0.007941248,TREMOR,c9b7d05dda84
1776793341671,1901566122945445,-1.8866309,1.3072342,-9.406818,-0.0036651916,0.013439035,-0.0067195175,TREMOR,c9b7d05dda84
1776793341679,1901566130937438,-1.8794483,1.3263878,-9.399636,-0.0030543262,0.015271631,-0.0067195175,TREMOR,c9b7d05dda84
1776793341687,1901566138935893,-1.8770541,1.3120226,-9.404425,-0.002443461,0.015882496,-0.0067195175,TREMOR,c9b7d05dda84
1776793341695,1901566146933116,-1.8986019,1.3144168,-9.409213,-0.0030543262,0.015882496,-0.0067195175,TREMOR,c9b7d05dda84
1776793341703,1901566154927032,-1.8842367,1.3215994,-9.387665,-0.0018325958,0.015882496,-0.004276057,TREMOR,c9b7d05dda84
1776793341711,1901566162952256,-1.8866309,1.3024458,-9.406818,-6.1086525E-4,0.018325957,-0.004886922,TREMOR,c9b7d05dda84
1776793341719,1901566170947557,-1.8674773,1.283292,-9.387665,-6.1086525E-4,0.018325957,-0.0061086523,TREMOR,c9b7d05dda84
1776793341727,1901566178943858,-1.9416976,1.2162545,-9.423578,0.0012217305,0.015271631,-0.004886922,TREMOR,c9b7d05dda84
1776793341735,1901566186939851,-1.8315643,1.340753,-9.378088,0.0,0.016493361,-0.004886922,TREMOR,c9b7d05dda84
1776793341743,1901566194933690,-1.8626889,1.2737153,-9.394848,-6.1086525E-4,0.015271631,-0.004886922,TREMOR,c9b7d05dda84
1776793341751,1901566202930991,-1.8459295,1.2641385,-9.399636,0.0012217305,0.013439035,-0.004276057,TREMOR,c9b7d05dda84
1776793341759,1901566210926368,-1.8602947,1.2737153,-9.385271,0.0012217305,0.013439035,-0.005497787,TREMOR,c9b7d05dda84
1776793341767,1901566218950977,-1.8291701,1.2808979,-9.3733,6.1086525E-4,0.01282817,-0.0061086523,TREMOR,c9b7d05dda84
1776793341775,1901566226946662,-1.8435353,1.2641385,-9.380483,0.0012217305,0.013439035,-0.0061086523,TREMOR,c9b7d05dda84
1776793341783,1901566234943270,-1.8315643,1.2785037,-9.370906,0.0030543262,0.009162978,-0.004886922,TREMOR,c9b7d05dda84
1776793341791,1901566242938879,-1.8243817,1.2880806,-9.397242,0.0012217305,0.009162978,-0.007330383,TREMOR,c9b7d05dda84
1776793341799,1901566250933410,-1.8459295,1.2761095,-9.397242,0.0018325958,0.007330383,-0.007941248,TREMOR,c9b7d05dda84
1776793341807,1901566258930865,-1.8387469,1.271321,-9.380483,0.002443461,0.0061086523,-0.0067195175,TREMOR,c9b7d05dda84
1776793341815,1901566266924166,-1.8435353,1.2856863,-9.380483,0.0018325958,0.005497787,-0.0061086523,TREMOR,c9b7d05dda84
1776793341823,1901566274951774,-1.8507179,1.2808979,-9.392453,0.004276057,0.002443461,-0.009162978,TREMOR,c9b7d05dda84
1776793341831,1901566282948382,-1.8555063,1.2904748,-9.394848,0.0036651916,0.0012217305,-0.007941248,TREMOR,c9b7d05dda84
1776793341839,1901566290941991,-1.8579005,1.2785037,-9.409213,0.004276057,6.1086525E-4,-0.007941248,TREMOR,c9b7d05dda84
1776793341847,1901566298937368,-1.8626889,1.271321,-9.397242,0.004276057,0.0,-0.0067195175,TREMOR,c9b7d05dda84
1776793341855,1901566306933977,-1.8746599,1.2808979,-9.399636,0.005497787,-0.002443461,-0.009162978,TREMOR,c9b7d05dda84
1776793341863,1901566314930277,-1.8794483,1.283292,-9.392453,0.005497787,-0.0012217305,-0.005497787,TREMOR,c9b7d05dda84
1776793341871,1901566322925655,-1.8842367,1.2808979,-9.387665,0.005497787,-0.0012217305,-0.007330383,TREMOR,c9b7d05dda84
1776793341879,1901566330950879,-1.8770541,1.2785037,-9.399636,0.004886922,-6.1086525E-4,-0.004276057,TREMOR,c9b7d05dda84
1776793341887,1901566338948103,-1.8698715,1.2737153,-9.380483,0.005497787,0.0,-0.0061086523,TREMOR,c9b7d05dda84
1776793341895,1901566346941326,-1.8674773,1.2761095,-9.397242,0.0030543262,0.004276057,-0.0061086523,TREMOR,c9b7d05dda84
1776793341903,1901566354938550,-1.8746599,1.2689269,-9.399636,0.0018325958,0.0030543262,-0.0061086523,TREMOR,c9b7d05dda84
1776793341911,1901566362933236,-1.7046716,1.3192052,-9.437943,0.0012217305,0.0067195175,-0.007330383,TREMOR,c9b7d05dda84
1776793341919,1901566370929229,-2.0207062,1.2425907,-9.361329,6.1086525E-4,0.0030543262,-0.010995574,TREMOR,c9b7d05dda84
1776793341927,1901566378923991,-1.9201498,1.2449849,-9.387665,-0.0036651916,0.01282817,-0.008552114,TREMOR,c9b7d05dda84
1776793341935,1901566386953215,-1.9249382,1.2473791,-9.399636,-0.002443461,0.012217305,-0.004276057,TREMOR,c9b7d05dda84
1776793341943,1901566394947362,-1.8986019,1.271321,-9.399636,-0.002443461,0.01160644,-0.0018325958,TREMOR,c9b7d05dda84
1776793341951,1901566402942507,-1.8986019,1.2904748,-9.397242,-0.0018325958,0.010995574,-0.0036651916,TREMOR,c9b7d05dda84
1776793341959,1901566410938808,-1.8890251,1.2808979,-9.404425,-0.0018325958,0.01160644,0.0018325958,TREMOR,c9b7d05dda84
1776793341967,1901566418934801,-1.8746599,1.292869,-9.411607,-6.1086525E-4,0.01038471,0.002443461,TREMOR,c9b7d05dda84
1776793341975,1901566426930102,-1.8722657,1.2808979,-9.406818,-0.0012217305,0.01038471,0.004276057,TREMOR,c9b7d05dda84
1776793341983,1901566434925787,-1.8722657,1.3024458,-9.394848,0.0012217305,0.007330383,0.004276057,TREMOR,c9b7d05dda84
1776793341991,1901566442951088,-1.8626889,1.2904748,-9.387665,0.0012217305,0.0067195175,0.004276057,TREMOR,c9b7d05dda84
1776793341999,1901566450946696,-1.8507179,1.2976574,-9.394848,0.0012217305,0.004886922,0.004276057,TREMOR,c9b7d05dda84
1776793342007,1901566458941459,-1.8650831,1.3120226,-9.3733,0.0012217305,0.0030543262,0.0061086523,TREMOR,c9b7d05dda84
1776793342015,1901566466938375,-1.8483237,1.3192052,-9.390059,0.0030543262,0.0018325958,0.005497787,TREMOR,c9b7d05dda84
1776793342023,1901566474934137,-1.8674773,1.3192052,-9.394848,0.002443461,0.0012217305,0.0036651916,TREMOR,c9b7d05dda84
1776793342031,1901566482929130,-1.8818425,1.3192052,-9.387665,0.004886922,6.1086525E-4,0.0030543262,TREMOR,c9b7d05dda84
1776793342039,1901566490924815,-1.8698715,1.30484,-9.399636,0.004886922,0.0,0.0018325958,TREMOR,c9b7d05dda84
1776793342047,1901566498950962,-1.8914193,1.2976574,-9.378088,0.004276057,0.002443461,0.0030543262,TREMOR,c9b7d05dda84
1776793342055,1901566506945724,-1.8866309,1.2952632,-9.375694,0.004886922,6.1086525E-4,0.0,TREMOR,c9b7d05dda84
1776793342063,1901566514942025,-1.8938135,1.2952632,-9.368511,0.0030543262,0.0018325958,6.1086525E-4,TREMOR,c9b7d05dda84
1776793342071,1901566522938095,-1.9057846,1.2856863,-9.3733,0.004276057,0.0030543262,-0.0018325958,TREMOR,c9b7d05dda84
1776793342079,1901566530931857,-1.922544,1.2904748,-9.3661175,0.0018325958,0.004886922,-0.002443461,TREMOR,c9b7d05dda84
1776793342087,1901566538927927,-1.9057846,1.2808979,-9.382876,0.0018325958,0.002443461,-0.005497787,TREMOR,c9b7d05dda84
1776793342095,1901566546955305,-1.9321208,1.2904748,-9.3733,-0.0012217305,0.004886922,-0.0061086523,TREMOR,c9b7d05dda84
1776793342103,1901566554949990,-1.9321208,1.2952632,-9.387665,-0.0036651916,0.009773844,-0.004276057,TREMOR,c9b7d05dda84
1776793342111,1901566562945675,-1.9416976,1.2737153,-9.411607,-0.004886922,0.01282817,-0.0061086523,TREMOR,c9b7d05dda84
1776793342119,1901566570941130,-1.9536686,1.2641385,-9.414001,-0.0061086523,0.014660766,-0.0036651916,TREMOR,c9b7d05dda84
1776793342127,1901566578935892,-1.9297266,1.2545617,-9.409213,-0.007330383,0.015882496,-0.0018325958,TREMOR,c9b7d05dda84
1776793342135,1901566586933424,-1.9201498,1.2593501,-9.428367,-0.0067195175,0.018936822,-0.004276057,TREMOR,c9b7d05dda84
1776793342143,1901566594927263,-1.9081788,1.2569559,-9.423578,-0.0067195175,0.018936822,-0.0030543262,TREMOR,c9b7d05dda84
1776793342151,1901566602923871,-1.9009962,1.2689269,-9.411607,-0.005497787,0.018325957,-6.1086525E-4,TREMOR,c9b7d05dda84
1776793342159,1901566610951249,-1.8794483,1.2593501,-9.406818,-0.005497787,0.018936822,-6.1086525E-4,TREMOR,c9b7d05dda84
1776793342167,1901566618946857,-1.8459295,1.2737153,-9.414001,-0.004276057,0.018325957,0.0,TREMOR,c9b7d05dda84
1776793342175,1901566626942312,-1.8435353,1.2665327,-9.414001,-0.0030543262,0.015271631,6.1086525E-4,TREMOR,c9b7d05dda84
1776793342183,1901566634937613,-1.8171991,1.2737153,-9.416395,-0.002443461,0.013439035,0.0018325958,TREMOR,c9b7d05dda84
1776793342191,1901566642932990,-1.8243817,1.271321,-9.397242,-0.0012217305,0.01282817,0.0036651916,TREMOR,c9b7d05dda84
1776793342199,1901566650928753,-1.7980455,1.2904748,-9.40203,-6.1086525E-4,0.010995574,0.0036651916,TREMOR,c9b7d05dda84
