epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776794031921,324713938946842,0.17238252,1.2880806,9.564836,-0.010995574,-0.019547688,0.021991149,FALLS,cacb2557328e
1776794031943,324713958935855,0.18674773,0.9744401,9.500193,0.37507126,0.080634214,-0.0012217305,FALLS,cacb2557328e
1776794031978,324713978955386,0.20350714,1.2473791,9.428367,-0.55955255,0.0036651916,-0.002443461,FALLS,cacb2557328e
1776794031985,324713998974918,0.09816227,1.4173675,9.495404,-0.040317107,0.04886922,0.02565634,FALLS,cacb2557328e
1776794032003,324714018994449,0.076614454,1.2880806,9.526528,-0.04153884,0.042760566,0.032986723,FALLS,cacb2557328e
1776794032022,324714039013980,0.10055647,1.0965444,9.49301,-0.07941248,0.02443461,0.02565634,FALLS,cacb2557328e
1776794032040,324714059033511,0.1604115,1.1587936,9.504981,-0.029321533,0.047647487,0.017104227,FALLS,cacb2557328e
1776794032069,324714079053043,-0.05746084,1.2593501,9.469068,0.0061086523,0.073303826,0.018325957,FALLS,cacb2557328e
1776794032087,324714099072574,-0.02873042,1.1994951,9.514558,-0.0012217305,0.057421334,0.02321288,FALLS,cacb2557328e
1776794032100,324714119092105,0.088585466,1.2042835,9.497798,-0.015882496,0.052534413,0.02565634,FALLS,cacb2557328e
1776794032120,324714139111636,0.10295067,1.2569559,9.579201,-0.010995574,0.064751714,0.032986723,FALLS,cacb2557328e
1776794032140,324714159131168,-0.01436521,1.3024458,9.588778,-0.017104227,0.058643065,0.04520403,FALLS,cacb2557328e
1776794032168,324714179150699,0.10055647,1.3072342,9.576807,-0.015882496,0.05009095,0.05131268,FALLS,cacb2557328e
1776794032185,324714199170230,0.19153613,1.2449849,9.64145,0.0,0.05375614,0.05375614,FALLS,cacb2557328e
1776794032203,324714219189761,0.19871874,1.2210429,9.572019,0.021991149,0.04886922,0.062308256,FALLS,cacb2557328e
1776794032220,324714239209293,0.2753332,1.2378023,9.672575,0.039095376,0.058643065,0.07086037,FALLS,cacb2557328e
