# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776793848741,1902073191526079,1.8555063,-9.562442,1.4269443,NaN,NaN,NaN,FALLS,cc047d2845a8
1776793848750,1902073200255313,1.8507179,-9.552865,1.4173675,-0.034208454,-6.1086525E-4,0.01038471,FALLS,cc047d2845a8
1776793848758,1902073208251547,1.8674773,-9.552865,1.400608,-0.034208454,-6.1086525E-4,0.01038471,FALLS,cc047d2845a8
1776793848766,1902073216245165,1.8650831,-9.55047,1.3670892,-0.034208454,-6.1086525E-4,0.01038471,FALLS,cc047d2845a8
1776793848774,1902073224241091,1.8674773,-9.552865,1.3479356,-0.034208454,-6.1086525E-4,0.01038471,FALLS,cc047d2845a8
1776793848782,1902073232237710,1.8698715,-9.574412,1.3263878,-0.034208454,-6.1086525E-4,0.01038471,FALLS,cc047d2845a8
1776793848790,1902073240232868,1.8555063,-9.593566,1.3120226,-0.034208454,-6.1086525E-4,0.01038471,FALLS,cc047d2845a8
1776793848798,1902073248229101,1.8483237,-9.605537,1.2737153,-0.034208454,-6.1086525E-4,0.01038471,FALLS,cc047d2845a8
1776793848806,1902073256257181,1.8387469,-9.610326,1.2665327,-0.034208454,-6.1086525E-4,0.01038471,FALLS,cc047d2845a8
1776793848814,1902073264250723,1.8052281,-9.619903,1.2521675,-0.034208454,-6.1086525E-4,0.01038471,FALLS,cc047d2845a8
1776793848822,1902073272244572,1.7812861,-9.605537,1.2425907,-0.034208454,-6.1086525E-4,0.01038471,FALLS,cc047d2845a8
1776793848830,1902073280241498,1.7717092,-9.622296,1.2306197,-0.034208454,-6.1086525E-4,0.01038471,FALLS,cc047d2845a8
1776793848838,1902073288238424,1.7717092,-9.61272,1.2210429,-0.034208454,-6.1086525E-4,0.01038471,FALLS,cc047d2845a8
1776793848846,1902073296234044,1.7669208,-9.622296,1.2186487,-0.034208454,-6.1086525E-4,0.01038471,FALLS,cc047d2845a8
1776793848854,1902073304227277,1.7501614,-9.636662,1.2114661,-0.03359759,0.0061086523,0.007330383,FALLS,cc047d2845a8
1776793848862,1902073312255973,1.733402,-9.627085,1.2090719,-0.03481932,0.005497787,0.01038471,FALLS,cc047d2845a8
1776793848870,1902073320250668,1.7597382,-9.619903,1.2138603,-0.03604105,0.002443461,0.01038471,FALLS,cc047d2845a8
1776793848878,1902073328247056,1.757344,-9.615114,1.2066777,-0.03604105,0.0018325958,0.014660766,FALLS,cc047d2845a8
1776793848886,1902073336242443,1.7788919,-9.64145,1.1899183,-0.037873644,-6.1086525E-4,0.016493361,FALLS,cc047d2845a8
1776793848894,1902073344237523,1.7980455,-9.617508,1.2090719,-0.039095376,-0.002443461,0.018936822,FALLS,cc047d2845a8
1776793848902,1902073352233757,1.8315643,-9.617508,1.2066777,-0.04153884,-0.005497787,0.019547688,FALLS,cc047d2845a8
1776793848910,1902073360227607,1.8650831,-9.581595,1.2306197,-0.040927973,-0.008552114,0.021380283,FALLS,cc047d2845a8
1776793848918,1902073368253841,1.8890251,-9.581595,1.2330139,-0.040317107,-0.009773844,0.022602014,FALLS,cc047d2845a8
1776793848926,1902073376250075,1.8842367,-9.572019,1.2354081,-0.039095376,-0.010995574,0.02076942,FALLS,cc047d2845a8
1776793848934,1902073384245155,1.8986019,-9.564836,1.2282255,-0.03848451,-0.014049901,0.018325957,FALLS,cc047d2845a8
1776793848942,1902073392239696,1.8698715,-9.586384,1.2162545,-0.03848451,-0.008552114,0.017104227,FALLS,cc047d2845a8
1776793848950,1902073400236315,1.8459295,-9.579201,1.2186487,-0.040317107,0.002443461,0.015882496,FALLS,cc047d2845a8
1776793848958,1902073408232241,1.8602947,-9.603143,1.2521675,-0.042760566,0.01038471,0.014049901,FALLS,cc047d2845a8
1776793848966,1902073416259090,1.8626889,-9.622296,1.2545617,-0.045814894,0.012217305,0.014660766,FALLS,cc047d2845a8
1776793848974,1902073424254171,1.8698715,-9.61272,1.2785037,-0.048258353,0.012217305,0.018936822,FALLS,cc047d2845a8
1776793848982,1902073432251943,1.8914193,-9.619903,1.2761095,-0.04642576,0.007941248,0.018325957,FALLS,cc047d2845a8
1776793848990,1902073440245869,1.8866309,-9.603143,1.2497733,-0.04520403,-0.002443461,0.019547688,FALLS,cc047d2845a8
1776793848998,1902073448240641,1.8746599,-9.610326,1.2401965,-0.04520403,-0.007941248,0.021380283,FALLS,cc047d2845a8
1776793849006,1902073456235106,1.8698715,-9.603143,1.2330139,-0.04337143,-0.015271631,0.021380283,FALLS,cc047d2845a8
1776793849014,1902073464233186,1.8770541,-9.615114,1.2210429,-0.04520403,-0.017104227,0.022602014,FALLS,cc047d2845a8
1776793849022,1902073472256881,1.8842367,-9.610326,1.2114661,-0.04642576,-0.016493361,0.021991149,FALLS,cc047d2845a8
1776793849030,1902073480252885,1.8866309,-9.581595,1.2258313,-0.049480084,-0.012217305,0.023823744,FALLS,cc047d2845a8
1776793849038,1902073488250734,1.8626889,-9.586384,1.2138603,-0.04886922,-0.005497787,0.023823744,FALLS,cc047d2845a8
1776793849046,1902073496245891,1.8602947,-9.576807,1.2234371,-0.05009095,-0.0012217305,0.021380283,FALLS,cc047d2845a8
1776793849054,1902073504239740,1.8315643,-9.617508,1.2138603,-0.052534413,0.0012217305,0.022602014,FALLS,cc047d2845a8
1776793849062,1902073512236590,1.8411411,-9.627085,1.2090719,-0.053145275,0.004276057,0.021991149,FALLS,cc047d2845a8
1776793849070,1902073520231746,1.8267759,-9.639056,1.2090719,-0.05497787,0.005497787,0.021380283,FALLS,cc047d2845a8
1776793849078,1902073528256980,1.7932571,-9.631873,1.2042835,-0.055588737,0.0012217305,0.020158553,FALLS,cc047d2845a8
1776793849086,1902073536253291,1.7621324,-9.636662,1.1994951,-0.056199603,0.0012217305,0.021991149,FALLS,cc047d2845a8
1776793849094,1902073544249833,1.769315,-9.64145,1.1851299,-0.0580322,-0.0018325958,0.021380283,FALLS,cc047d2845a8
1776793849102,1902073552243990,1.7669208,-9.605537,1.1923125,-0.06047566,-0.004276057,0.022602014,FALLS,cc047d2845a8
1776793849110,1902073560239455,1.7741034,-9.631873,1.1755531,-0.06414085,-0.004276057,0.02565634,FALLS,cc047d2845a8
1776793849118,1902073568238150,1.8004397,-9.624691,1.1779473,-0.06536258,-0.0018325958,0.02565634,FALLS,cc047d2845a8
1776793849126,1902073576232615,1.8291701,-9.605537,1.1875241,-0.06780604,0.0018325958,0.027488936,FALLS,cc047d2845a8
1776793849134,1902073584257233,1.7908629,-9.61272,1.1875241,-0.07147124,0.01038471,0.02443461,FALLS,cc047d2845a8
1776793849142,1902073592253928,1.7717092,-9.600749,1.2090719,-0.07391469,0.015882496,0.023823744,FALLS,cc047d2845a8
1776793849150,1902073600248702,1.7764976,-9.581595,1.2090719,-0.07574729,0.017104227,0.02565634,FALLS,cc047d2845a8
