epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777076661036,73560647389536,0.2777274,1.5921441,9.583989,0.34330627,0.16615535,-0.04153884,FALLS,d54ec7f5e8c2
1777076661096,73560667500620,0.34955344,1.5346833,9.579201,0.48747048,0.1001819,0.0012217305,FALLS,d54ec7f5e8c2
1777076661098,73560687642222,0.40940848,1.4652514,9.540894,-0.46181414,0.002443461,0.019547688,FALLS,d54ec7f5e8c2
1777076661100,73560707753306,0.4429273,1.4700398,9.514558,0.0061086523,0.02321288,0.039095376,FALLS,d54ec7f5e8c2
1777076661116,73560727864390,0.50278234,1.5370775,9.44752,0.04520403,0.040317107,0.036651913,FALLS,d54ec7f5e8c2
1777076661155,73560748036509,0.5530606,1.5514427,9.531317,0.036651913,0.04520403,0.04153884,FALLS,d54ec7f5e8c2
1777076661158,73560768208628,0.45010993,1.553837,9.588778,0.029321533,0.04642576,0.056199603,FALLS,d54ec7f5e8c2
1777076661187,73560788319712,0.40222588,1.5346833,9.636662,0.019547688,0.04642576,0.064751714,FALLS,d54ec7f5e8c2
1777076661220,73560808430796,0.32321724,1.4149733,9.583989,-0.012217305,0.02076942,0.0842994,FALLS,d54ec7f5e8c2
1777076661221,73560828602915,0.4405331,1.352724,9.607931,-0.02443461,-0.002443461,0.08674286,FALLS,d54ec7f5e8c2
1777076661253,73560848713999,0.5363012,1.3958195,9.524135,-0.02687807,-0.007330383,0.07574729,FALLS,d54ec7f5e8c2
1777076661303,73560868886118,0.557849,1.2090719,9.526528,-0.06719518,-0.0036651916,0.058643065,FALLS,d54ec7f5e8c2
1777076661304,73560888997202,0.60573304,1.1923125,9.543288,-0.059864793,-0.008552114,0.047647487,FALLS,d54ec7f5e8c2
1777076661306,73560909169321,0.6488287,1.2473791,9.583989,-0.028099801,0.013439035,0.034208454,FALLS,d54ec7f5e8c2
1777076661322,73560929341440,0.5793968,1.2473791,9.52174,-0.009773844,0.021991149,0.028099801,FALLS,d54ec7f5e8c2
1777076661378,73560949452524,0.5626374,1.2282255,9.610326,-0.012217305,0.019547688,0.030543262,FALLS,d54ec7f5e8c2
1777076661382,73560969594126,0.4309563,1.3096284,9.555259,-0.02687807,0.008552114,0.030543262,FALLS,d54ec7f5e8c2
1777076661385,73560989705210,0.46926352,1.2473791,9.605537,-0.064751714,-0.002443461,0.03176499,FALLS,d54ec7f5e8c2
1777076661399,73561009816294,0.49799395,1.1923125,9.581595,-0.07819075,-0.007330383,0.021991149,FALLS,d54ec7f5e8c2
1777076661457,73561029927378,0.4189853,1.1707647,9.593566,-0.047647487,0.0061086523,0.004886922,FALLS,d54ec7f5e8c2
1777076661462,73561050099497,0.36152446,1.2234371,9.552865,-0.036651913,0.017104227,-0.002443461,FALLS,d54ec7f5e8c2
1777076661464,73561070241098,0.4189853,1.2234371,9.507375,-0.042760566,0.02076942,-0.004886922,FALLS,d54ec7f5e8c2
1777076661505,73561090413218,0.36391866,1.316811,9.449914,-0.037873644,0.029321533,-0.018325957,FALLS,d54ec7f5e8c2
1777076661507,73561110554819,0.35673606,1.2689269,9.425972,-0.032986723,0.047647487,-0.02687807,FALLS,d54ec7f5e8c2
1777076661517,73561130696421,0.44771573,1.1971009,9.485827,-0.032986723,0.062308256,-0.030543262,FALLS,d54ec7f5e8c2
1777076661555,73561150838022,0.36631286,1.1683705,9.615114,0.0,0.09040806,-0.036651913,FALLS,d54ec7f5e8c2
1777076661563,73561171010141,0.24899697,1.3742718,9.701305,0.043982297,0.10262536,-0.039095376,FALLS,d54ec7f5e8c2
1777076661578,73561191151743,0.16759412,1.4221559,9.710882,0.03176499,0.09285152,-0.02687807,FALLS,d54ec7f5e8c2
1777076661623,73561211293345,0.14604631,1.4460979,9.662998,-0.036651913,0.064751714,-0.009773844,FALLS,d54ec7f5e8c2
1777076661625,73561231404429,0.29927522,1.2401965,9.718064,-0.073303826,0.04153884,-0.009773844,FALLS,d54ec7f5e8c2
1777076661639,73561251454477,0.30406362,1.0726024,9.801862,-0.04153884,0.05375614,-0.010995574,FALLS,d54ec7f5e8c2
1777076661691,73561271626597,0.21068975,1.2569559,9.631873,0.0061086523,0.058643065,-0.0012217305,FALLS,d54ec7f5e8c2
1777076661692,73561291676645,0.06943185,1.3072342,9.445126,-0.010995574,0.04153884,0.007330383,FALLS,d54ec7f5e8c2
1777076661704,73561311848765,0.19153613,1.2042835,9.442732,-0.057421334,0.029321533,0.009773844,FALLS,d54ec7f5e8c2
1777076661757,73561331898813,0.23463176,1.067814,9.399636,-0.073303826,0.04642576,-0.002443461,FALLS,d54ec7f5e8c2
1777076661758,73561352070932,0.110133275,1.0031705,9.397242,-0.056199603,0.065973446,-0.007330383,FALLS,d54ec7f5e8c2
1777076661772,73561372182016,0.11492168,1.2354081,9.291897,-0.04153884,0.09162979,-0.0061086523,FALLS,d54ec7f5e8c2
1777076661779,73561392323618,0.04309563,1.2449849,9.172187,-0.08674286,0.09407325,0.0036651916,FALLS,d54ec7f5e8c2
1777076661823,73561412434702,0.04309563,0.9792285,9.291897,-0.13072516,0.10629055,0.0,FALLS,d54ec7f5e8c2
1777076661873,73561432606821,-0.10295067,0.8355764,9.43076,-0.07574729,0.12461651,-0.008552114,FALLS,d54ec7f5e8c2
1777076661877,73561452748423,-0.033518825,1.0869676,9.380483,-0.013439035,0.14049901,-0.021991149,FALLS,d54ec7f5e8c2
1777076661879,73561472890024,-0.06464344,1.1180922,9.215282,0.0012217305,0.13805555,-0.004886922,FALLS,d54ec7f5e8c2
1777076661884,73561493001108,-0.1316811,1.2018893,9.160215,-0.07086037,0.12339478,-0.002443461,FALLS,d54ec7f5e8c2
1777076661912,73561513112192,0.05746084,1.0486604,9.368511,-0.13439035,0.119729586,-0.02076942,FALLS,d54ec7f5e8c2
1777076661921,73561533223276,-0.019153614,0.8523358,9.583989,-0.13561209,0.13439035,-0.03176499,FALLS,d54ec7f5e8c2
1777076661966,73561553364878,-0.2657564,0.6607997,9.569624,-0.057421334,0.12950343,-0.018325957,FALLS,d54ec7f5e8c2
1777076661971,73561573475962,-0.33758244,0.79726917,9.533711,0.0036651916,0.10140363,-0.018325957,FALLS,d54ec7f5e8c2
1777076662001,73561593587046,-0.29688102,0.866701,9.557653,0.02687807,0.08552113,-0.014660766,FALLS,d54ec7f5e8c2
1777076662002,73561613728647,-0.49559975,0.878672,9.634268,-0.012217305,0.056199603,-0.02443461,FALLS,d54ec7f5e8c2
1777076662053,73561633870249,-0.44532153,0.7589619,9.528923,-0.06352998,0.042760566,-0.030543262,FALLS,d54ec7f5e8c2
1777076662062,73561653950815,-0.533907,0.7350199,9.411607,-0.09040806,0.036651913,-0.028099801,FALLS,d54ec7f5e8c2
1777076662065,73561674092417,-0.545878,0.60573304,9.363723,-0.095294975,0.02565634,-0.014660766,FALLS,d54ec7f5e8c2
1777076662113,73561694234018,-0.6847417,0.5506664,9.330204,-0.057421334,0.02443461,0.004886922,FALLS,d54ec7f5e8c2
1777076662115,73561714345102,-0.7110779,0.5770026,9.23683,-0.021991149,0.02076942,0.02687807,FALLS,d54ec7f5e8c2
1777076662121,73561734456186,-0.61291564,0.521936,9.136273,-0.004886922,0.017104227,0.04153884,FALLS,d54ec7f5e8c2
1777076662157,73561754597788,-0.6919243,0.37588966,8.968679,-0.0061086523,0.013439035,0.05009095,FALLS,d54ec7f5e8c2
1777076662163,73561774708872,-0.80684596,0.35434186,8.695741,0.007330383,0.02443461,0.062308256,FALLS,d54ec7f5e8c2
1777076662214,73561794850473,-0.7493851,0.33758244,8.461109,0.008552114,0.012217305,0.0720821,FALLS,d54ec7f5e8c2
1777076662216,73561814931040,-0.79487497,0.076614454,8.293514,0.008552114,-0.0012217305,0.09040806,FALLS,d54ec7f5e8c2
1777076662224,73561835072641,-0.8283938,-0.045489833,8.087613,0.080634214,-0.02687807,0.09285152,FALLS,d54ec7f5e8c2
1777076662254,73561855244761,-0.78290397,0.16998832,7.620744,0.17959438,-0.065973446,0.07696902,FALLS,d54ec7f5e8c2
1777076662288,73561875386362,-0.6536171,0.45010993,7.2089415,0.19058995,-0.112399206,0.05131268,FALLS,d54ec7f5e8c2
1777076662290,73561895558481,-0.47405192,0.47644615,7.1107793,0.13072516,-0.12461651,0.032986723,FALLS,d54ec7f5e8c2
1777076662319,73561915700083,-0.6703765,0.12449849,7.026982,0.1160644,-0.11728613,0.06352998,FALLS,d54ec7f5e8c2
1777076662326,73561935841684,-0.7637503,0.090979666,6.8665705,0.1966986,-0.15515977,0.07452556,FALLS,d54ec7f5e8c2
1777076662348,73561956013804,-0.58657944,0.25139117,6.612785,0.30176744,-0.22479841,0.052534413,FALLS,d54ec7f5e8c2
1777076662375,73561976155405,-0.46447513,0.5386954,6.31351,0.38973203,-0.28710666,0.007330383,FALLS,d54ec7f5e8c2
1777076662405,73561996327524,-0.29688102,0.5554548,6.2464724,0.47036624,-0.344528,-0.034208454,FALLS,d54ec7f5e8c2
1777076662412,73562016469126,-0.11971009,0.5722142,6.093243,0.5729916,-0.3921755,-0.07086037,FALLS,d54ec7f5e8c2
1777076662459,73562036610727,0.1316811,0.82360536,6.2249246,0.657291,-0.40439278,-0.06963864,FALLS,d54ec7f5e8c2
1777076662461,73562056752329,0.5602432,1.0342951,6.919243,0.6805039,-0.38240165,-0.037873644,FALLS,d54ec7f5e8c2
1777076662466,73562076863413,0.80684596,1.2641385,7.8769236,0.7415904,-0.33841935,-0.007330383,FALLS,d54ec7f5e8c2
1777076662503,73562097035532,1.0295067,1.6543933,8.580819,0.8454375,-0.29077184,-0.02076942,FALLS,d54ec7f5e8c2
1777076662507,73562117177134,0.91937345,1.7717092,9.552865,0.8698721,-0.24556783,0.004886922,FALLS,d54ec7f5e8c2
1777076662559,73562137257700,1.1947067,2.0685902,10.752359,0.91874135,-0.21013765,0.010995574,FALLS,d54ec7f5e8c2
1777076662562,73562157399302,1.2880806,3.2489316,11.63582,0.92485,-0.23090707,-0.009773844,FALLS,d54ec7f5e8c2
1777076662568,73562177571421,1.3982137,4.501099,11.841722,0.7110472,-0.29810223,-0.021991149,FALLS,d54ec7f5e8c2
1777076662626,73562197682505,2.0733786,5.195418,12.076353,0.2284636,-0.3371976,-0.09407325,FALLS,d54ec7f5e8c2
1777076662628,73562217824106,2.8060043,4.8219223,12.722788,-0.2687807,-0.27488935,-0.09896017,FALLS,d54ec7f5e8c2
1777076662630,73562237965708,3.1411927,4.654328,13.524845,-0.56321776,-0.07696902,-0.012217305,FALLS,d54ec7f5e8c2
1777076662645,73562258107309,3.7780502,4.1276035,14.329297,-0.88331115,0.11728613,0.18448131,FALLS,d54ec7f5e8c2
1777076662670,73562278248911,3.3997664,2.7509377,14.757859,-1.1899655,0.32498032,0.36285394,FALLS,d54ec7f5e8c2
1777076662719,73562298390513,2.1499932,2.9783869,15.140931,-1.1276573,0.6084218,0.29565877,FALLS,d54ec7f5e8c2
1777076662720,73562318532114,1.1252748,4.43885,15.200787,-0.8210029,0.8393288,0.10995574,FALLS,d54ec7f5e8c2
