epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776744997685,275679700629706,2.1188686,1.412579,9.394848,-0.010995574,-0.019547688,0.021991149,FALLS,da23bff2ff40
1776744997702,275679720740790,2.3894134,1.7238252,9.49301,0.4251622,0.07086037,0.007330383,FALLS,da23bff2ff40
1776744997738,275679740882392,2.231396,1.4508862,9.634268,-0.5338962,-0.14905111,-0.009773844,FALLS,da23bff2ff40
1776744997744,275679760962958,1.982399,0.33997664,9.765948,0.089186326,-0.27122417,-0.012217305,FALLS,da23bff2ff40
1776744997771,275679781074042,2.3918076,0.30645782,9.710882,0.37751472,-0.37507126,-0.12461651,FALLS,da23bff2ff40
1776744997782,275679801215644,3.1483753,1.9153614,9.435549,0.5729916,-0.3726278,-0.20280726,FALLS,da23bff2ff40
1776744997802,275679821326728,3.016694,3.0454245,9.076419,0.3921755,-0.29565877,-0.2284636,FALLS,da23bff2ff40
1776744997831,275679841468329,2.8060043,2.8634653,8.789114,-0.08307768,-0.33475417,-0.20158553,FALLS,da23bff2ff40
1776744997848,275679861579413,3.0238767,2.1164744,8.643068,-0.37507126,-0.4092797,-0.1685988,FALLS,da23bff2ff40
1776744997867,275679881690497,3.241749,1.9560628,8.523358,-0.28344148,-0.37140608,-0.17348573,FALLS,da23bff2ff40
1776744997883,275679901771064,3.1771057,2.2768857,8.597578,-0.029321533,-0.2846632,-0.1563815,FALLS,da23bff2ff40
1776744997903,275679921912665,2.920926,2.6312277,8.700529,0.095294975,-0.22235495,-0.11728613,FALLS,da23bff2ff40
1776744997931,275679942023749,2.621651,2.5617957,8.865729,0.061086524,-0.22479841,-0.05131268,FALLS,da23bff2ff40
1776744997948,275679962165351,2.5737667,2.3104045,9.045294,-0.02321288,-0.2443461,-0.013439035,FALLS,da23bff2ff40
1776744997964,275679982306952,2.930503,2.0111294,9.229648,-0.089186326,-0.3042109,-0.007330383,FALLS,da23bff2ff40
1776744997983,275680002479072,3.347094,1.982399,9.0237465,-0.118507855,-0.34330627,0.002443461,FALLS,da23bff2ff40
1776744998006,275680022620673,3.383007,2.1859062,8.9998045,-0.089186326,-0.30665436,0.002443461,FALLS,da23bff2ff40
1776744998035,275680042731757,3.2441432,2.2290018,8.892065,-0.13316862,-0.30298916,0.032986723,FALLS,da23bff2ff40
1776744998045,275680062873359,3.3399115,2.006341,8.7292595,-0.17592919,-0.32498032,0.06719518,FALLS,da23bff2ff40
1776744998066,275680082984443,3.6248214,1.9560628,8.542512,-0.12705997,-0.32986724,0.07941248,FALLS,da23bff2ff40
1776744998086,275680103126044,3.679888,2.1404164,8.470686,-0.057421334,-0.28710666,0.095294975,FALLS,da23bff2ff40
1776744998107,275680123267646,3.6248214,2.2266076,8.384495,-0.08307768,-0.24678956,0.10873401,FALLS,da23bff2ff40
1776744998126,275680143409247,3.5649664,2.1284454,8.561666,-0.15760323,-0.23090707,0.13194689,FALLS,da23bff2ff40
1776744998156,275680163581366,3.4045548,1.9512744,8.710106,-0.19914207,-0.20769419,0.13316862,FALLS,da23bff2ff40
1776744998165,275680183722968,3.1555579,1.5370775,9.045294,-0.20647246,-0.23579398,0.14049901,FALLS,da23bff2ff40
1776744998185,275680203834052,3.1627405,1.3479356,8.925584,-0.14782938,-0.27488935,0.15027285,FALLS,da23bff2ff40
1776744998217,275680223945136,3.5003228,1.4676456,9.19134,-0.10140363,-0.28221974,0.13194689,FALLS,da23bff2ff40
1776744998225,275680244117255,3.4811692,1.1324574,9.801862,-0.19303341,-0.37751472,0.06719518,FALLS,da23bff2ff40
1776744998252,275680264228339,3.2752678,0.35673606,9.866506,-0.1881465,-0.4288274,0.09285152,FALLS,da23bff2ff40
1776744998265,275680284400458,3.3734303,1.0845734,9.205706,-0.14294247,-0.45448375,0.002443461,FALLS,da23bff2ff40
1776744998287,275680304542060,4.0054994,1.8411411,8.707711,-0.15393804,-0.47769663,-0.0012217305,FALLS,da23bff2ff40
1776744998324,275680324653144,4.5992613,1.7956513,7.991845,-0.35308012,-0.57787853,0.05497787,FALLS,da23bff2ff40
1776744998328,275680344764228,5.231331,1.436521,7.747637,-0.4569272,-0.5900958,0.052534413,FALLS,da23bff2ff40
1776744998352,275680364875312,5.33907,1.4101849,8.051701,-0.29077184,-0.4728097,0.0,FALLS,da23bff2ff40
1776744998368,275680385016913,5.3007627,1.5753847,7.9152308,-0.12583824,-0.37507126,-0.02076942,FALLS,da23bff2ff40
1776744998390,275680405158515,5.4563856,1.8267759,7.6829934,-0.05131268,-0.2773328,-0.015882496,FALLS,da23bff2ff40
1776744998412,275680425239081,5.434838,1.8124107,7.4387846,-0.058643065,-0.19792034,0.04642576,FALLS,da23bff2ff40
1776744998431,275680445411200,5.118803,1.6663644,7.620744,-0.013439035,-0.081855945,0.05131268,FALLS,da23bff2ff40
1776744998447,275680465522284,4.805163,1.5107412,7.8745294,0.052534413,0.02321288,0.064751714,FALLS,da23bff2ff40
1776744998469,275680485663886,4.572925,1.5275006,8.3821,0.07941248,0.07819075,0.096516706,FALLS,da23bff2ff40
1776744998487,275680505744452,4.3358994,1.0127473,8.76996,0.042760566,0.09773844,0.14049901,FALLS,da23bff2ff40
1776744998514,275680525855536,4.3861775,0.7015011,9.088389,0.035430185,0.07696902,0.16493362,FALLS,da23bff2ff40
1776744998531,275680546027656,4.232949,0.6847417,9.076419,0.07086037,0.08307768,0.14782938,FALLS,da23bff2ff40
1776744998550,275680566138740,4.060566,0.78050977,8.836999,0.09162979,0.061086524,0.12461651,FALLS,da23bff2ff40
1776744998569,275680586280341,4.2161894,0.7493851,8.719683,0.064751714,0.014660766,0.096516706,FALLS,da23bff2ff40
1776744998601,275680606421943,4.3478703,0.8523358,8.789114,0.008552114,-0.019547688,0.05497787,FALLS,da23bff2ff40
1776744998607,275680626594062,4.3598413,1.1300632,8.6334915,-0.062308256,-0.02076942,0.032986723,FALLS,da23bff2ff40
1776744998641,275680646705146,4.283227,1.2018893,8.47308,-0.12950343,-0.02687807,0.06963864,FALLS,da23bff2ff40
1776744998650,275680666846747,4.292804,1.2449849,8.312668,-0.112399206,-0.029321533,0.14049901,FALLS,da23bff2ff40
1776744998669,275680686957831,4.4364557,1.163582,8.463503,-0.087964594,-0.028099801,0.16249016,FALLS,da23bff2ff40
1776744998697,275680707099433,4.4364557,0.9792285,8.537724,-0.2125811,-0.0036651916,0.19425514,FALLS,da23bff2ff40
1776744998714,275680727179999,4.261679,0.4357447,8.700529,-0.2883284,-0.02076942,0.22357668,FALLS,da23bff2ff40
1776744998731,275680747260566,4.177882,0.08140286,8.640674,-0.29932398,-0.02076942,0.2321288,FALLS,da23bff2ff40
1776744998751,275680767341132,4.2544966,0.10055647,8.635885,-0.32620203,0.009773844,0.20158553,FALLS,da23bff2ff40
1776744998777,275680787513251,4.220978,0.045489833,8.662222,-0.35063666,0.02321288,0.17715092,FALLS,da23bff2ff40
1776744998797,275680807593818,4.177882,0.059855044,8.767567,-0.3885103,0.04642576,0.16371189,FALLS,da23bff2ff40
1776744998814,275680827704902,4.1706996,-0.045489833,8.65025,-0.36285394,0.07696902,0.15027285,FALLS,da23bff2ff40
1776744998830,275680847846503,3.9624038,-0.10534488,8.683769,-0.30176744,0.10262536,0.17470746,FALLS,da23bff2ff40
1776744998849,275680867957587,3.7229836,-0.095768064,8.796297,-0.204029,0.13194689,0.13683382,FALLS,da23bff2ff40
1776744998869,275680888099189,3.6224272,-0.0023942017,8.561666,-0.14905111,0.11484267,0.1441642,FALLS,da23bff2ff40
1776744998897,275680908240790,3.5577838,-0.1604115,8.674192,-0.19058995,0.09896017,0.16982053,FALLS,da23bff2ff40
1776744998914,275680928382392,3.4859576,-0.60573304,8.602366,-0.3567453,0.02565634,0.1685988,FALLS,da23bff2ff40
1776744998930,275680948493476,3.3566709,-1.1420342,8.329428,-0.4251622,0.0012217305,0.18203785,FALLS,da23bff2ff40
1776744998950,275680968635077,3.2489316,-1.0749966,7.9391727,-0.4373795,0.002443461,0.16615535,FALLS,da23bff2ff40
1776744998971,275680988746161,3.2944214,-0.842759,7.824251,-0.3555236,0.047647487,0.16982053,FALLS,da23bff2ff40
