# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776747225086,1855449536991549,-7.539341,2.813187,-5.41329,NaN,NaN,NaN,TONIC,dc1663670033
1776747225095,1855449545078943,-7.8290396,2.6767175,-5.1475334,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225103,1855449553197107,-7.8170686,2.6767175,-5.1475334,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225111,1855449561069116,-7.8410106,2.6791117,-5.1259856,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225119,1855449569065740,-7.8146744,2.6479871,-5.133168,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225127,1855449577060134,-7.795521,2.6479871,-5.1116204,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225135,1855449585054989,-7.81228,2.6599581,-5.1475334,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225143,1855449593052153,-7.8027034,2.6408045,-5.12838,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225151,1855449601102623,-7.788338,2.6431987,-5.1355624,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225159,1855449609073402,-7.7548194,2.6288335,-5.149928,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225167,1855449617068565,-7.788338,2.6551697,-5.1523223,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225175,1855449625089421,-7.771579,2.6719291,-5.1810527,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225183,1855449633061122,-7.7548194,2.6647465,-5.1882353,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225191,1855449641055669,-7.773973,2.6671407,-5.185841,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225199,1855449649083064,-7.776367,2.6431987,-5.1571107,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225207,1855449657077765,-7.7931266,2.6647465,-5.1523223,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225215,1855449665073159,-7.8170686,2.6384103,-5.145139,-0.01160644,-0.017104227,0.002443461,TONIC,dc1663670033
1776747225223,1855449673069860,-7.824251,2.6743233,-5.130774,-0.0067195175,-0.030543262,0.009162978,TONIC,dc1663670033
1776747225231,1855449681063640,-7.8027034,2.6671407,-5.106832,-0.004886922,-0.031154128,0.0018325958,TONIC,dc1663670033
1776747225239,1855449689059725,-7.848193,2.6910827,-5.1235914,-0.004886922,-0.029321533,0.0036651916,TONIC,dc1663670033
