epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776744809380,275491398591312,1.7286136,3.787627,8.446744,0.31398472,0.15882497,-0.0720821,JERKING,df5aadd25dc9
1776744809412,275491418732913,1.8770541,3.679888,8.599973,0.49480084,0.039095376,0.032986723,JERKING,df5aadd25dc9
1776744809430,275491438843997,1.8052281,3.9695864,8.698134,-0.32742378,-0.12461651,0.07941248,JERKING,df5aadd25dc9
1776744809440,275491458924564,1.7621324,4.3885717,8.640674,0.09773844,-0.09040806,0.14538592,JERKING,df5aadd25dc9
1776744809464,275491479066165,1.5610195,4.4580035,8.267179,-0.03176499,-0.07941248,0.16493362,JERKING,df5aadd25dc9
1776744809480,275491499207767,1.3910311,4.084508,8.406042,-0.21868975,-0.12583824,0.18203785,JERKING,df5aadd25dc9
1776744809510,275491519288333,1.5777789,3.632004,8.6574335,-0.27855456,-0.21868975,0.2003638,JERKING,df5aadd25dc9
1776744809529,275491539429935,1.7549498,3.107674,9.224859,-0.18081611,-0.26267207,0.21135938,JERKING,df5aadd25dc9
1776744809546,275491559541019,2.0015526,2.9903579,9.050082,-0.06352998,-0.31887165,0.19547687,JERKING,df5aadd25dc9
1776744809565,275491579682620,2.5498247,3.691859,8.695741,-0.0036651916,-0.33841935,0.1600467,JERKING,df5aadd25dc9
1776744809581,275491599793704,2.1212628,3.7373488,8.820239,-0.09896017,-0.29443705,0.17104226,JERKING,df5aadd25dc9
1776744809603,275491619904788,1.673547,3.4620156,8.671799,-0.23090707,-0.35185838,0.22357668,JERKING,df5aadd25dc9
1776744809629,275491640046390,1.6807296,3.7301662,8.389283,-0.20525073,-0.41050145,0.18692477,JERKING,df5aadd25dc9
1776744809647,275491660187991,1.4820108,3.952827,8.4108305,-0.23090707,-0.4361578,0.19181168,JERKING,df5aadd25dc9
1776744809664,275491680268558,1.4628572,3.6487634,8.540117,-0.41050145,-0.5326745,0.2846632,JERKING,df5aadd25dc9
1776744809681,275491700440677,1.922544,3.6727054,8.3150625,-0.5766568,-0.68539083,0.34330627,JERKING,df5aadd25dc9
1776744809716,275491720521243,2.3343468,3.70383,8.090008,-0.61575216,-0.7452556,0.3652974,JERKING,df5aadd25dc9
1776744809724,275491740632327,2.3822308,3.4979286,8.288726,-0.64996064,-0.7855727,0.43371433,JERKING,df5aadd25dc9
1776744809748,275491760773929,2.6862943,2.9903579,8.784326,-0.72082096,-0.7965683,0.5009095,JERKING,df5aadd25dc9
1776744809762,275491780885013,2.9903579,2.7102363,8.722076,-0.79534656,-0.8735373,0.5216789,JERKING,df5aadd25dc9
1776744809783,275491800996097,3.7181952,3.301604,8.12592,-0.6731735,-0.88086766,0.53023106,JERKING,df5aadd25dc9
