# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776916003093,2024227543348415,-8.911219,3.359065,2.779668,NaN,NaN,NaN,TONIC,e28bb0888bf7
1776916003101,2024227551433711,-8.99741,2.765303,3.7301662,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003109,2024227559429007,-8.971074,2.7844565,3.7972038,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003117,2024227567426303,-9.062054,2.7389667,3.8498764,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003125,2024227575421061,-9.095572,2.7222073,3.8738184,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003133,2024227583416434,-9.138668,2.7102363,3.8546648,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003141,2024227591412038,-9.076419,2.717419,3.8115692,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003149,2024227599437257,-8.9758625,2.741361,3.7900212,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003157,2024227607434785,-8.9998045,2.693477,3.7134068,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003165,2024227615429927,-9.0237465,2.6479871,3.6990416,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003173,2024227623426146,-9.088389,2.6240451,3.655946,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003181,2024227631420057,-9.131485,2.5761611,3.6056678,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003189,2024227639416662,-9.13388,2.542642,3.4859576,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003197,2024227647411650,-9.095572,2.540248,3.394978,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003205,2024227655439100,-9.083601,2.5091233,3.265691,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003213,2024227663433781,-9.0716305,2.4875755,3.1268275,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003221,2024227671430462,-9.105149,2.4588451,3.040636,0.007941248,0.028099801,0.007941248,TONIC,e28bb0888bf7
1776916003229,2024227679424912,-9.131485,2.4516625,2.9400797,0.06963864,0.4783075,-0.10567969,TONIC,e28bb0888bf7
1776916003237,2024227687421516,-9.13388,2.4253263,2.822764,0.073303826,0.462425,-0.099571034,TONIC,e28bb0888bf7
1776916003245,2024227695415889,-9.138668,2.4277205,2.7509377,0.07391469,0.44348818,-0.09773844,TONIC,e28bb0888bf7
1776916003253,2024227703412262,-9.131485,2.4612393,2.6910827,0.07269296,0.41722095,-0.09040806,TONIC,e28bb0888bf7
1776916003261,2024227711436866,-9.054871,2.4947581,2.6551697,0.06963864,0.38606682,-0.08674286,TONIC,e28bb0888bf7
1776916003269,2024227719434316,-9.009381,2.5187001,2.5761611,0.064751714,0.33475417,-0.08246681,TONIC,e28bb0888bf7
1776916003277,2024227727429150,-9.057265,2.4899697,2.432509,0.06047566,0.29749137,-0.089186326,TONIC,e28bb0888bf7
1776916003285,2024227735424447,-9.167398,2.4181437,2.4277205,0.055588737,0.2657264,-0.096516706,TONIC,e28bb0888bf7
1776916003293,2024227743421051,-9.323022,2.384625,2.3678656,0.039095376,0.22418754,-0.09712757,TONIC,e28bb0888bf7
1776916003301,2024227751415578,-9.390059,2.3798366,2.396596,0.019547688,0.18875736,-0.07941248,TONIC,e28bb0888bf7
1776916003309,2024227759411797,-9.356541,2.3558946,2.4013844,0.009773844,0.15577064,-0.06719518,TONIC,e28bb0888bf7
1776916003317,2024227767438017,-9.289502,2.3702598,2.4037786,6.1086525E-4,0.118507855,-0.053145275,TONIC,e28bb0888bf7
1776916003325,2024227775433082,-9.25359,2.3678656,2.4229321,-0.004886922,0.07391469,-0.036651913,TONIC,e28bb0888bf7
1776916003333,2024227783428455,-9.239224,2.396596,2.4947581,-0.009773844,0.004276057,-0.025045475,TONIC,e28bb0888bf7
1776916003341,2024227791448982,-9.203311,2.4396915,2.540248,-0.010995574,-0.05009095,-0.017104227,TONIC,e28bb0888bf7
1776916003349,2024227799419432,-9.196129,2.44448,2.5785553,-0.013439035,-0.09590584,-0.009162978,TONIC,e28bb0888bf7
1776916003357,2024227807414883,-9.181764,2.4349031,2.6264393,-0.016493361,-0.13683382,-0.005497787,TONIC,e28bb0888bf7
1776916003365,2024227815411409,-9.16261,2.4492683,2.7030537,-0.020158553,-0.16310102,-0.0030543262,TONIC,e28bb0888bf7
1776916003373,2024227823436937,-9.167398,2.4468741,2.7485435,-0.02321288,-0.19303341,0.0012217305,TONIC,e28bb0888bf7
1776916003381,2024227831432079,-9.165004,2.4660277,2.80361,-0.026267206,-0.20647246,0.004886922,TONIC,e28bb0888bf7
1776916003389,2024227839430529,-9.172187,2.4779987,2.8634653,-0.028710667,-0.2125811,0.008552114,TONIC,e28bb0888bf7
1776916003397,2024227847423440,-9.169792,2.4995465,2.908955,-0.031154128,-0.21563543,0.01160644,TONIC,e28bb0888bf7
1776916003405,2024227855419429,-9.153033,2.5306711,2.9352913,-0.029321533,-0.22479841,0.015271631,TONIC,e28bb0888bf7
1776916003413,2024227863414110,-9.169792,2.5067291,3.004723,-0.030543262,-0.2284636,0.015271631,TONIC,e28bb0888bf7
1776916003421,2024227871532944,-9.131485,2.5187001,3.052607,-0.032375857,-0.23090707,0.013439035,TONIC,e28bb0888bf7
1776916003429,2024227879436241,-9.129091,2.516306,3.074155,-0.029932396,-0.22724187,0.012217305,TONIC,e28bb0888bf7
1776916003437,2024227887432230,-9.114726,2.542642,3.1292217,-0.029932396,-0.2180789,0.009773844,TONIC,e28bb0888bf7
1776916003445,2024227895427910,-9.131485,2.5306711,3.1531637,-0.027488936,-0.19730948,0.005497787,TONIC,e28bb0888bf7
1776916003453,2024227903448207,-9.105149,2.542642,3.1914709,-0.02565634,-0.17654006,0.008552114,TONIC,e28bb0888bf7
1776916003461,2024227911418964,-9.129091,2.554613,3.1842883,-0.022602014,-0.15760323,0.004276057,TONIC,e28bb0888bf7
1776916003469,2024227919414414,-9.153033,2.5450363,3.2321723,-0.021991149,-0.13622294,0.0018325958,TONIC,e28bb0888bf7
1776916003477,2024227927411018,-9.143456,2.5354595,3.2393548,-0.018936822,-0.10873401,-0.0018325958,TONIC,e28bb0888bf7
1776916003485,2024227935436468,-9.141062,2.5258827,3.2393548,-0.014049901,-0.09101892,0.0018325958,TONIC,e28bb0888bf7
1776916003493,2024227943431610,-9.124303,2.5330653,3.2465374,-0.010995574,-0.06780604,-6.1086525E-4,TONIC,e28bb0888bf7
1776916003501,2024227951426061,-9.109938,2.5474305,3.2513258,-0.0061086523,-0.045814894,-0.004276057,TONIC,e28bb0888bf7
1776916003509,2024227959422664,-9.124303,2.5498247,3.217807,0.0,-0.013439035,-0.004886922,TONIC,e28bb0888bf7
1776916003517,2024227967418884,-9.11712,2.5258827,3.1986535,0.002443461,0.008552114,-0.0061086523,TONIC,e28bb0888bf7
1776916003525,2024227975415180,-9.126697,2.516306,3.1675289,0.004276057,0.028710667,-0.009162978,TONIC,e28bb0888bf7
