# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776916719714,2024944164464122,9.689334,-1.3311762,0.8379706,NaN,NaN,NaN,TREMOR,e7ad3bb9bbeb
1776916719722,2024944172550583,9.80665,-1.2785037,0.82599956,0.0030543262,-0.057421334,0.016493361,TREMOR,e7ad3bb9bbeb
1776916719730,2024944180547122,9.679757,-1.3215994,0.79966336,0.0030543262,-0.057421334,0.016493361,TREMOR,e7ad3bb9bbeb
1776916719738,2024944188545660,9.770737,-1.4173675,0.78050977,0.0030543262,-0.057421334,0.016493361,TREMOR,e7ad3bb9bbeb
1776916719746,2024944196537352,9.813833,-1.412579,0.81642276,0.0030543262,-0.057421334,0.016493361,TREMOR,e7ad3bb9bbeb
1776916719754,2024944204533351,9.8042555,-1.3982137,0.81402856,0.0030543262,-0.057421334,0.016493361,TREMOR,e7ad3bb9bbeb
1776916719762,2024944212531428,9.811439,-1.3599066,0.80684596,0.0030543262,-0.057421334,0.016493361,TREMOR,e7ad3bb9bbeb
1776916719770,2024944220556428,9.8042555,-1.3431472,0.81402856,0.0030543262,-0.057421334,0.016493361,TREMOR,e7ad3bb9bbeb
1776916719778,2024944228553275,9.77792,-1.3431472,0.80924016,0.0030543262,-0.057421334,0.016493361,TREMOR,e7ad3bb9bbeb
1776916719786,2024944236546198,9.785102,-1.3623008,0.8283938,0.0030543262,-0.057421334,0.016493361,TREMOR,e7ad3bb9bbeb
1776916719794,2024944244541967,9.77792,-1.3359646,0.79248077,0.0030543262,-0.057421334,0.016493361,TREMOR,e7ad3bb9bbeb
1776916719802,2024944252538581,9.770737,-1.3383588,0.7374141,0.0030543262,-0.057421334,0.016493361,TREMOR,e7ad3bb9bbeb
1776916719810,2024944260533581,9.787497,-1.3383588,0.7302315,0.0030543262,-0.057421334,0.016493361,TREMOR,e7ad3bb9bbeb
1776916719818,2024944268531504,9.744401,-1.3479356,0.7134721,0.0030543262,-0.057421334,0.016493361,TREMOR,e7ad3bb9bbeb
1776916719826,2024944276557658,9.727641,-1.328782,0.7230489,0.002443461,-0.0421497,-0.002443461,TREMOR,e7ad3bb9bbeb
1776916719834,2024944284552120,9.768343,-1.3311762,0.7374141,6.1086525E-4,-0.040317107,-0.0030543262,TREMOR,e7ad3bb9bbeb
1776916719842,2024944292547119,9.751583,-1.3263878,0.7350199,0.0012217305,-0.036651913,-0.0036651916,TREMOR,e7ad3bb9bbeb
1776916719850,2024944300543811,9.706094,-1.3335704,0.7398083,0.0012217305,-0.028099801,-0.005497787,TREMOR,e7ad3bb9bbeb
1776916719858,2024944308536734,9.715671,-1.3383588,0.7517793,-0.0018325958,-0.029321533,-0.004886922,TREMOR,e7ad3bb9bbeb
1776916719866,2024944316533273,9.667787,-1.3359646,0.7517793,-6.1086525E-4,-0.029932396,-0.005497787,TREMOR,e7ad3bb9bbeb
1776916719874,2024944324529581,9.682152,-1.3120226,0.7206547,-6.1086525E-4,-0.028710667,-0.004886922,TREMOR,e7ad3bb9bbeb
1776916719882,2024944332554503,9.691729,-1.3239936,0.7254431,-0.0012217305,-0.028710667,-0.008552114,TREMOR,e7ad3bb9bbeb
1776916719890,2024944340549349,9.734824,-1.3072342,0.6440403,-0.0012217305,-0.031154128,-0.0067195175,TREMOR,e7ad3bb9bbeb
1776916719898,2024944348545580,9.730036,-1.292869,0.6536171,-0.002443461,-0.02076942,-0.004886922,TREMOR,e7ad3bb9bbeb
1776916719906,2024944356541272,9.701305,-1.3144168,0.7062895,-0.0030543262,-0.005497787,-0.005497787,TREMOR,e7ad3bb9bbeb
1776916719914,2024944364536733,9.727641,-1.3096284,0.7158663,-0.005497787,0.0012217305,-0.005497787,TREMOR,e7ad3bb9bbeb
1776916719922,2024944372535503,9.76116,-1.292869,0.7422025,-0.005497787,0.01038471,-0.0036651916,TREMOR,e7ad3bb9bbeb
1776916719930,2024944380530194,9.785102,-1.2785037,0.78529817,-0.007330383,0.009162978,0.0,TREMOR,e7ad3bb9bbeb
1776916719938,2024944388553963,9.734824,-1.292869,0.7637503,-0.0061086523,0.009162978,0.002443461,TREMOR,e7ad3bb9bbeb
1776916719946,2024944396551809,9.7324295,-1.3024458,0.78290397,-0.005497787,0.01282817,0.002443461,TREMOR,e7ad3bb9bbeb
1776916719954,2024944404546194,9.742006,-1.3192052,0.7733272,-0.008552114,0.01282817,0.004886922,TREMOR,e7ad3bb9bbeb
1776916719962,2024944412543733,9.773131,-1.2952632,0.79966336,-0.009162978,0.013439035,0.009773844,TREMOR,e7ad3bb9bbeb
1776916719970,2024944420538578,9.775525,-1.30484,0.79008657,-0.009162978,0.004276057,0.010995574,TREMOR,e7ad3bb9bbeb
1776916719978,2024944428533270,9.727641,-1.3335704,0.7637503,-0.007330383,0.004886922,0.01160644,TREMOR,e7ad3bb9bbeb
1776916719986,2024944436528962,9.706094,-1.30484,0.7661445,-0.004886922,0.012217305,0.01160644,TREMOR,e7ad3bb9bbeb
1776916719994,2024944444555116,9.722853,-1.3215994,0.7589619,-0.007330383,0.0036651916,0.012217305,TREMOR,e7ad3bb9bbeb
1776916720002,2024944452551809,9.751583,-1.3431472,0.7374141,-0.005497787,0.007330383,0.013439035,TREMOR,e7ad3bb9bbeb
1776916720010,2024944460546886,9.758766,-1.340753,0.7661445,-0.004276057,0.01282817,0.009162978,TREMOR,e7ad3bb9bbeb
1776916720018,2024944468542500,9.787497,-1.3503298,0.78050977,-0.0030543262,0.014660766,0.009162978,TREMOR,e7ad3bb9bbeb
1776916720026,2024944476539423,9.775525,-1.3479356,0.7781156,-0.0018325958,0.016493361,0.005497787,TREMOR,e7ad3bb9bbeb
1776916720034,2024944484533961,9.797073,-1.3551182,0.830788,-6.1086525E-4,0.02076942,0.0067195175,TREMOR,e7ad3bb9bbeb
1776916720042,2024944492529038,9.7803135,-1.3431472,0.8499416,-0.0018325958,0.017715093,0.005497787,TREMOR,e7ad3bb9bbeb
1776916720050,2024944500554577,9.775525,-1.340753,0.8595184,-0.0018325958,0.01160644,0.004886922,TREMOR,e7ad3bb9bbeb
1776916720058,2024944508550576,9.768343,-1.3431472,0.8379706,-6.1086525E-4,-6.1086525E-4,0.0030543262,TREMOR,e7ad3bb9bbeb
1776916720066,2024944516546807,9.78989,-1.3359646,0.830788,-6.1086525E-4,-0.009773844,0.002443461,TREMOR,e7ad3bb9bbeb
1776916720074,2024944524539807,9.765948,-1.3551182,0.80924016,-0.0036651916,-0.017715093,0.005497787,TREMOR,e7ad3bb9bbeb
1776916720082,2024944532537345,9.765948,-1.3599066,0.7685388,-0.0018325958,-0.02687807,0.0036651916,TREMOR,e7ad3bb9bbeb
1776916720090,2024944540533884,9.770737,-1.3551182,0.7350199,-0.0018325958,-0.028710667,0.0036651916,TREMOR,e7ad3bb9bbeb
1776916720098,2024944548529344,9.763555,-1.340753,0.7278373,-0.002443461,-0.02321288,0.0036651916,TREMOR,e7ad3bb9bbeb
1776916720106,2024944556554498,9.758766,-1.352724,0.7182605,-0.0012217305,-0.019547688,6.1086525E-4,TREMOR,e7ad3bb9bbeb
1776916720114,2024944564551190,9.76116,-1.3551182,0.7422025,-0.0012217305,-0.013439035,-6.1086525E-4,TREMOR,e7ad3bb9bbeb
1776916720122,2024944572545960,9.751583,-1.340753,0.7661445,-0.0012217305,-0.007330383,-0.0012217305,TREMOR,e7ad3bb9bbeb
1776916720130,2024944580541883,9.720459,-1.3311762,0.7637503,-6.1086525E-4,-0.0061086523,-0.005497787,TREMOR,e7ad3bb9bbeb
1776916720138,2024944588538498,9.725247,-1.3311762,0.7685388,6.1086525E-4,-0.005497787,-0.004276057,TREMOR,e7ad3bb9bbeb
1776916720146,2024944596533882,9.703699,-1.328782,0.7613561,0.0018325958,-0.0067195175,-0.0061086523,TREMOR,e7ad3bb9bbeb
1776916720154,2024944604560420,9.713276,-1.3144168,0.7589619,0.0,-0.009162978,-0.004886922,TREMOR,e7ad3bb9bbeb
1776916720162,2024944612554266,9.68694,-1.3096284,0.6823475,0.0,-0.017104227,-0.004886922,TREMOR,e7ad3bb9bbeb
1776916720170,2024944620549036,9.727641,-1.3024458,0.6488287,-0.0012217305,-0.012217305,-0.0036651916,TREMOR,e7ad3bb9bbeb
1776916720178,2024944628547113,9.78989,-1.2952632,0.6871359,-0.0030543262,-0.004886922,-0.004276057,TREMOR,e7ad3bb9bbeb
1776916720186,2024944636539804,9.7563715,-1.3120226,0.7182605,-0.0018325958,0.008552114,-0.004886922,TREMOR,e7ad3bb9bbeb
1776916720194,2024944644535419,9.749189,-1.30484,0.7589619,-0.0030543262,0.023823744,-0.0012217305,TREMOR,e7ad3bb9bbeb
1776916720202,2024944652532419,9.744401,-1.3072342,0.81881696,-0.0061086523,0.029932396,0.0012217305,TREMOR,e7ad3bb9bbeb
1776916720210,2024944660528419,9.751583,-1.3096284,0.81642276,-0.0061086523,0.02443461,0.004276057,TREMOR,e7ad3bb9bbeb
1776916720218,2024944668554496,9.730036,-1.316811,0.78290397,-0.0061086523,0.015271631,0.004276057,TREMOR,e7ad3bb9bbeb
1776916720226,2024944676551495,9.753978,-1.328782,0.7326257,-0.007941248,0.014049901,0.0061086523,TREMOR,e7ad3bb9bbeb
1776916720234,2024944684546572,9.734824,-1.316811,0.7469909,-0.005497787,0.015271631,0.0067195175,TREMOR,e7ad3bb9bbeb
1776916720242,2024944692541880,9.730036,-1.340753,0.7517793,-0.007330383,0.015882496,0.007941248,TREMOR,e7ad3bb9bbeb
1776916720250,2024944700538803,9.730036,-1.3335704,0.7589619,-0.004886922,0.020158553,0.009162978,TREMOR,e7ad3bb9bbeb
1776916720258,2024944708533880,9.76116,-1.3455414,0.79487497,-0.005497787,0.029321533,0.0067195175,TREMOR,e7ad3bb9bbeb
1776916720266,2024944716527111,9.751583,-1.3383588,0.80924016,-0.0030543262,0.031154128,0.0067195175,TREMOR,e7ad3bb9bbeb
1776916720274,2024944724555725,9.765948,-1.3670892,0.78290397,-0.0030543262,0.026267206,0.0036651916,TREMOR,e7ad3bb9bbeb
1776916720282,2024944732548418,9.78989,-1.3335704,0.80445176,0.0,0.029321533,0.0030543262,TREMOR,e7ad3bb9bbeb
1776916720290,2024944740543802,9.8042555,-1.3359646,0.80924016,-6.1086525E-4,0.032375857,0.002443461,TREMOR,e7ad3bb9bbeb
1776916720298,2024944748543110,9.768343,-1.340753,0.8331822,0.0012217305,0.029932396,0.0,TREMOR,e7ad3bb9bbeb
1776916720306,2024944756536648,9.811439,-1.328782,0.8331822,0.0012217305,0.026267206,-0.0018325958,TREMOR,e7ad3bb9bbeb
1776916720314,2024944764530571,9.77792,-1.3239936,0.8571242,0.0030543262,0.023823744,-0.002443461,TREMOR,e7ad3bb9bbeb
1776916720322,2024944772527417,9.7803135,-1.3024458,0.8331822,0.0012217305,0.016493361,6.1086525E-4,TREMOR,e7ad3bb9bbeb
1776916720330,2024944780554494,9.763555,-1.3096284,0.8403648,0.0012217305,0.0067195175,0.0012217305,TREMOR,e7ad3bb9bbeb
1776916720338,2024944788550571,9.78989,-1.3120226,0.82121116,-6.1086525E-4,6.1086525E-4,0.005497787,TREMOR,e7ad3bb9bbeb
1776916720346,2024944796544955,9.801862,-1.2880806,0.8355764,-0.004886922,-0.0067195175,0.009773844,TREMOR,e7ad3bb9bbeb
1776916720354,2024944804541570,9.78989,-1.316811,0.830788,-0.0067195175,-0.013439035,0.012217305,TREMOR,e7ad3bb9bbeb
1776916720362,2024944812536416,9.813833,-1.3215994,0.8379706,-0.008552114,-0.016493361,0.015271631,TREMOR,e7ad3bb9bbeb
1776916720370,2024944820532647,9.818622,-1.3239936,0.8571242,-0.01038471,-0.018325957,0.017104227,TREMOR,e7ad3bb9bbeb
1776916720378,2024944828556724,9.8042555,-1.352724,0.878672,-0.012217305,-0.027488936,0.02076942,TREMOR,e7ad3bb9bbeb
1776916720386,2024944836552108,9.792285,-1.3551182,0.90261406,-0.014660766,-0.03848451,0.018936822,TREMOR,e7ad3bb9bbeb
1776916720394,2024944844549031,9.768343,-1.3838485,0.89782566,-0.012217305,-0.04886922,0.018936822,TREMOR,e7ad3bb9bbeb
1776916720402,2024944852543184,9.753978,-1.3862427,0.8882488,-0.01038471,-0.06536258,0.015882496,TREMOR,e7ad3bb9bbeb
1776916720410,2024944860539184,9.768343,-1.376666,0.8571242,-0.010995574,-0.081855945,0.012217305,TREMOR,e7ad3bb9bbeb
1776916720418,2024944868536953,9.734824,-1.3982137,0.81163436,-0.01038471,-0.095294975,0.008552114,TREMOR,e7ad3bb9bbeb
1776916720426,2024944876531492,9.758766,-1.400608,0.7757214,-0.005497787,-0.10262536,0.007941248,TREMOR,e7ad3bb9bbeb
1776916720434,2024944884558569,9.739613,-1.4030021,0.770933,-0.0036651916,-0.106901415,0.002443461,TREMOR,e7ad3bb9bbeb
1776916720442,2024944892553260,9.746795,-1.3838485,0.7230489,6.1086525E-4,-0.111177474,-6.1086525E-4,TREMOR,e7ad3bb9bbeb
1776916720450,2024944900550876,9.742006,-1.3670892,0.6991069,0.0030543262,-0.106901415,-0.007330383,TREMOR,e7ad3bb9bbeb
1776916720458,2024944908544414,9.746795,-1.3838485,0.7493851,0.004276057,-0.10567969,-0.009773844,TREMOR,e7ad3bb9bbeb
1776916720466,2024944916540337,9.737218,-1.3670892,0.7589619,0.0,-0.105068825,-0.009773844,TREMOR,e7ad3bb9bbeb
1776916720474,2024944924535491,9.763555,-1.376666,0.7398083,0.002443461,-0.11056661,-0.013439035,TREMOR,e7ad3bb9bbeb
1776916720482,2024944932530182,9.770737,-1.3479356,0.7182605,0.004886922,-0.11362094,-0.017715093,TREMOR,e7ad3bb9bbeb
1776916720490,2024944940557952,9.76116,-1.3575124,0.7182605,0.0067195175,-0.12156218,-0.018936822,TREMOR,e7ad3bb9bbeb
1776916720498,2024944948553029,9.739613,-1.3431472,0.6799533,0.009162978,-0.12583824,-0.018936822,TREMOR,e7ad3bb9bbeb
1776916720506,2024944956548721,9.773131,-1.3503298,0.6368576,0.010995574,-0.12583824,-0.02076942,TREMOR,e7ad3bb9bbeb
1776916720514,2024944964542798,9.76116,-1.3311762,0.6368576,0.010995574,-0.124005646,-0.021380283,TREMOR,e7ad3bb9bbeb
1776916720522,2024944972538490,9.730036,-1.3311762,0.61530983,0.010995574,-0.12950343,-0.022602014,TREMOR,e7ad3bb9bbeb
1776916720530,2024944980536105,9.763555,-1.3359646,0.5746084,0.010995574,-0.12339478,-0.021380283,TREMOR,e7ad3bb9bbeb
1776916720538,2024944988531105,9.76116,-1.3144168,0.56982,0.01160644,-0.124005646,-0.020158553,TREMOR,e7ad3bb9bbeb
1776916720546,2024944996557335,9.753978,-1.3239936,0.5363012,0.010995574,-0.11789699,-0.019547688,TREMOR,e7ad3bb9bbeb
1776916720554,2024945004553028,9.749189,-1.3263878,0.5482722,0.009773844,-0.106901415,-0.018936822,TREMOR,e7ad3bb9bbeb
1776916720562,2024945012547182,9.744401,-1.328782,0.5315128,0.009162978,-0.09590584,-0.015882496,TREMOR,e7ad3bb9bbeb
