# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776745061011,1853285461828791,-7.1059904,-7.9511437,0.050278235,NaN,NaN,NaN,FALLS,eaeba01308d1
1776745061020,1853285470550273,-7.228095,-7.9391727,0.19393034,NaN,NaN,NaN,FALLS,eaeba01308d1
1776745061028,1853285478546676,-7.252037,-7.8505874,0.31364042,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061036,1853285486542617,-7.156269,-7.714118,0.32321724,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061044,1853285494537482,-7.0341644,-7.5800424,0.28491,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061052,1853285502532577,-6.9024835,-7.422025,0.11731588,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061060,1853285510559595,-6.7684083,-7.3525934,-0.06943185,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061068,1853285518554075,-6.634333,-7.4387846,-0.37349546,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061076,1853285526550170,-6.471527,-7.5584946,-0.62967503,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061084,1853285534546496,-6.2512608,-7.687782,-0.82599956,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061092,1853285542565900,-6.136339,-7.7332716,-0.866701,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061100,1853285550537302,-5.961562,-7.807492,-0.8499416,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061108,1853285558533243,-5.923255,-7.773973,-0.8475474,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061116,1853285566558878,-5.805939,-7.821857,-0.78290397,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061124,1853285574553050,-5.8346696,-7.7428484,-0.6727707,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061132,1853285582548452,-5.8107276,-7.740454,-0.6368576,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061140,1853285590478624,-5.8203044,-7.6734166,-0.58657944,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061148,1853285598541951,-5.803545,-7.5441294,-0.49559975,-0.12705997,-0.38789943,-4.0872993,FALLS,eaeba01308d1
1776745061156,1853285606536815,-5.803545,-7.347805,-0.3878607,-0.64812803,0.8258898,1.146594,FALLS,eaeba01308d1
1776745061164,1853285614533141,-5.8634,-7.1610575,-0.23463176,-0.7635816,0.6585127,1.2046263,FALLS,eaeba01308d1
