epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777255329173,252228776019146,1.7741034,2.8083985,9.210494,0.11728613,0.062308256,-0.07941248,JERKING,eb7bad1d67cb
1777255329226,252228796130230,1.9273324,2.8419175,9.035717,0.34697145,0.14294247,-0.06352998,JERKING,eb7bad1d67cb
1777255329228,252228816241314,1.8986019,2.954445,8.966286,0.4447099,0.07941248,0.017104227,JERKING,eb7bad1d67cb
1777255329230,252228836352398,1.7788919,2.8443117,9.179369,-0.54733527,-0.040317107,0.064751714,JERKING,eb7bad1d67cb
1777255329243,252228856463482,1.757344,2.8203697,9.193734,-0.119729586,-0.052534413,0.09773844,JERKING,eb7bad1d67cb
1777255329262,252228876605083,1.7645266,2.6719291,9.315839,-0.1160644,-0.12583824,0.095294975,JERKING,eb7bad1d67cb
1777255329301,252228896746685,2.0398598,2.5881321,9.44752,-0.096516706,-0.21502456,0.12339478,JERKING,eb7bad1d67cb
1777255329303,252228916918804,1.9512744,2.681506,9.56723,-0.064751714,-0.20769419,0.15393804,JERKING,eb7bad1d67cb
1777255329327,252228937029888,1.7118542,2.5689783,9.512163,-0.10873401,-0.22235495,0.16982053,JERKING,eb7bad1d67cb
1777255329352,252228957140972,1.6639702,2.3223755,9.519346,-0.11728613,-0.2932153,0.19792034,JERKING,eb7bad1d67cb
1777255329375,252228977252056,2.030283,2.4660277,9.248801,-0.12461651,-0.3848451,0.19914207,JERKING,eb7bad1d67cb
1777255329396,252228997332622,2.5019407,2.6791117,8.913613,-0.14660765,-0.40439278,0.20280726,JERKING,eb7bad1d67cb
1777255329420,252229017504741,2.6431987,2.7820623,8.789114,-0.23945917,-0.3811799,0.16493362,JERKING,eb7bad1d67cb
1777255329442,252229037585308,2.566584,2.336741,9.090784,-0.2883284,-0.34330627,0.13805555,JERKING,eb7bad1d67cb
1777255329444,252229057726909,2.3942018,2.2385786,9.720459,-0.23090707,-0.34574974,0.12339478,JERKING,eb7bad1d67cb
1777255329468,252229077837993,2.3295584,2.3702598,9.7563715,-0.09162979,-0.36041048,0.0720821,JERKING,eb7bad1d67cb
1777255329490,252229097949077,2.3702598,2.5139117,9.543288,-0.12339478,-0.3933972,0.039095376,JERKING,eb7bad1d67cb
1777255329511,252229118060161,2.5689783,2.5785553,9.619903,-0.30787608,-0.4605924,0.034208454,JERKING,eb7bad1d67cb
1777255329536,252229138171245,2.4516625,2.1188686,9.91439,-0.53023106,-0.57787853,0.043982297,JERKING,eb7bad1d67cb
1777255329545,252229158312847,2.56419,2.1428106,9.830592,-0.62796944,-0.70249504,0.058643065,JERKING,eb7bad1d67cb
1777255329566,252229178423931,2.5019407,1.8626889,9.481039,-0.68416905,-0.7672467,0.002443461,JERKING,eb7bad1d67cb
1777255329600,252229198535015,2.7629087,1.6783354,9.416395,-0.84788096,-0.91996306,0.009773844,JERKING,eb7bad1d67cb
1777255329605,252229218585064,3.0334535,1.2401965,9.358934,-0.893085,-1.0763446,0.095294975,JERKING,eb7bad1d67cb
1777255329633,252229238696148,3.2489316,0.9911995,8.834604,-0.8576548,-1.1618657,0.13194689,JERKING,eb7bad1d67cb
1777255329644,252229258807232,3.5194764,1.055843,8.9279785,-0.86132,-1.1398746,0.043982297,JERKING,eb7bad1d67cb
1777255329670,252229278918316,3.3782187,0.9888053,8.520964,-0.98715824,-1.1227703,-0.02076942,JERKING,eb7bad1d67cb
1777255329705,252229298968364,3.6487634,0.9816227,8.056489,-1.2253957,-1.2144,0.03176499,JERKING,eb7bad1d67cb
1777255329707,252229319109966,4.237737,0.7182605,8.195353,-1.3988814,-1.3842206,0.16982053,JERKING,eb7bad1d67cb
1777255329737,252229339160015,4.122815,-1.103727,8.576031,-1.6701056,-1.5283848,0.3408628,JERKING,eb7bad1d67cb
1777255329746,252229359301616,4.331111,-1.13964,7.465121,-2.3701572,-1.6163495,0.34574974,JERKING,eb7bad1d67cb
1777255329768,252229379382183,4.6902413,1.4101849,3.691859,-2.783102,-1.6249015,0.2602286,JERKING,eb7bad1d67cb
1777255329800,252229399493267,4.6926355,4.098873,-0.63206923,-2.538756,-1.5552629,0.4092797,JERKING,eb7bad1d67cb
1777255329807,252229419573833,6.88333,6.895301,-5.695806,-2.0146337,-0.9114109,0.64996064,JERKING,eb7bad1d67cb
1777255329834,252229439715435,11.164163,9.337387,-7.120356,-1.4135422,-0.5717699,1.2046263,JERKING,eb7bad1d67cb
1777255329845,252229459796001,11.123461,5.398925,0.23942018,-0.43493605,1.3304645,3.3731978,JERKING,eb7bad1d67cb
1777255329882,252229479907085,0.9792285,-22.835896,29.40798,-0.8723156,5.2326717,5.2387805,JERKING,eb7bad1d67cb
1777255329888,252229500018169,-8.89446,-47.93192,23.654713,-5.770233,4.889365,-3.4526103,JERKING,eb7bad1d67cb
1777255329935,252229520159771,-8.568848,-16.168043,23.496695,-3.2925637,2.239432,-2.3542747,JERKING,eb7bad1d67cb
1777255329937,252229540240337,-1.6424223,-1.3862427,8.805874,0.13927728,-3.2901201,-2.6499333,JERKING,eb7bad1d67cb
1777255329947,252229560320903,7.055712,16.431406,-8.319851,3.2351422,-6.72807,-2.4141395,JERKING,eb7bad1d67cb
1777255329969,252229580431987,28.455088,39.070976,-16.352398,6.508158,-0.87109387,-2.2382102,JERKING,eb7bad1d67cb
1777255329990,252229600512554,2.9233203,6.6630635,1.0606314,0.9407325,5.5417695,1.1374311,JERKING,eb7bad1d67cb
