# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776792395466,1900619917464984,-2.2457612,1.1492168,-9.351752,NaN,NaN,NaN,TONIC,ef5fc56242f7
1776792395474,1900619925550731,-2.1452048,1.1587936,-9.397242,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395482,1900619933548017,-2.15957,1.1779473,-9.406818,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395490,1900619941541457,-2.1691468,1.1731589,-9.375694,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395498,1900619949536589,-2.15957,1.1707647,-9.390059,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395506,1900619957533105,-2.171541,1.1803415,-9.375694,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395514,1900619965528237,-2.171541,1.1875241,-9.380483,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395522,1900619973554369,-2.1643584,1.1707647,-9.40203,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395530,1900619981549963,-2.171541,1.1755531,-9.380483,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395538,1900619989545403,-2.147599,1.1923125,-9.3733,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395546,1900619997542304,-2.1739352,1.1875241,-9.392453,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395554,1900620005537282,-2.1428106,1.1994951,-9.385271,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395562,1900620013557645,-2.1571758,1.1947067,-9.390059,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395570,1900620021527778,-2.1380222,1.1827357,-9.370906,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395578,1900620029555371,-2.1380222,1.1755531,-9.385271,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395586,1900620037551118,-2.135628,1.1492168,-9.406818,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395594,1900620045545789,-2.135628,1.1540052,-9.40203,0.0,6.1086525E-4,-0.002443461,TONIC,ef5fc56242f7
1776792395602,1900620053542074,-2.1308396,1.1444284,-9.40203,0.0061086523,0.0,0.0,TONIC,ef5fc56242f7
1776792395610,1900620061535591,-2.1380222,1.151611,-9.397242,0.0067195175,0.0,-6.1086525E-4,TONIC,ef5fc56242f7
1776792395618,1900620069531878,-2.1404164,1.115698,-9.404425,0.005497787,-0.0030543262,6.1086525E-4,TONIC,ef5fc56242f7
1776792395626,1900620077558394,-2.1499932,1.1372458,-9.392453,0.007330383,-0.0030543262,0.0,TONIC,ef5fc56242f7
1776792395634,1900620085555218,-2.1499932,1.1372458,-9.378088,0.0067195175,-0.0061086523,6.1086525E-4,TONIC,ef5fc56242f7
1776792395642,1900620093550581,-2.1571758,1.1540052,-9.375694,0.005497787,-0.008552114,-0.0012217305,TONIC,ef5fc56242f7
1776792395650,1900620101544097,-2.15957,1.1420342,-9.358934,0.007330383,-0.01038471,6.1086525E-4,TONIC,ef5fc56242f7
1776792395658,1900620109541306,-2.1787236,1.1492168,-9.382876,0.0067195175,-0.012217305,0.0018325958,TONIC,ef5fc56242f7
1776792395666,1900620117537362,-2.15957,1.1444284,-9.378088,0.004886922,-0.013439035,0.0030543262,TONIC,ef5fc56242f7
1776792395674,1900620125532109,-2.1667526,1.1755531,-9.3661175,0.004886922,-0.014049901,0.0012217305,TONIC,ef5fc56242f7
1776792395682,1900620133558241,-2.1739352,1.1563994,-9.3661175,0.005497787,-0.01160644,0.004276057,TONIC,ef5fc56242f7
1776792395690,1900620141676681,-2.1763294,1.1611878,-9.358934,0.004276057,-0.012217305,0.0030543262,TONIC,ef5fc56242f7
1776792395698,1900620149549274,-2.1930888,1.1803415,-9.3661175,0.004886922,-0.01038471,0.0036651916,TONIC,ef5fc56242f7
1776792395706,1900620157544944,-2.1811178,1.1779473,-9.370906,0.0036651916,-0.009162978,0.0030543262,TONIC,ef5fc56242f7
1776792395714,1900620165541462,-2.1859062,1.1731589,-9.361329,0.0018325958,-0.009162978,0.005497787,TONIC,ef5fc56242f7
1776792395722,1900620173536286,-2.183512,1.1563994,-9.368511,0.002443461,-0.005497787,0.0036651916,TONIC,ef5fc56242f7
1776792395730,1900620181530956,-2.2122424,1.1779473,-9.382876,0.0012217305,-0.0018325958,0.0030543262,TONIC,ef5fc56242f7
1776792395738,1900620189556781,-2.219425,1.1947067,-9.361329,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,ef5fc56242f7
1776792395746,1900620197553374,-2.2337902,1.1875241,-9.358934,0.0,0.0,0.0012217305,TONIC,ef5fc56242f7
1776792395754,1900620205550044,-2.2337902,1.1994951,-9.361329,0.0,0.002443461,0.0,TONIC,ef5fc56242f7
1776792395762,1900620213544716,-2.2361844,1.1994951,-9.349358,-6.1086525E-4,0.002443461,6.1086525E-4,TONIC,ef5fc56242f7
1776792395770,1900620221540078,-2.2361844,1.1947067,-9.385271,-6.1086525E-4,0.002443461,-6.1086525E-4,TONIC,ef5fc56242f7
1776792395778,1900620229535210,-2.231396,1.1755531,-9.361329,0.0012217305,0.004886922,6.1086525E-4,TONIC,ef5fc56242f7
1776792395786,1900620237532419,-2.2361844,1.1827357,-9.385271,-6.1086525E-4,0.0036651916,-0.0012217305,TONIC,ef5fc56242f7
1776792395794,1900620245556089,-2.2385786,1.1851299,-9.361329,6.1086525E-4,0.004276057,-0.0012217305,TONIC,ef5fc56242f7
1776792395802,1900620253553837,-2.219425,1.1659763,-9.3661175,0.0,0.0030543262,-0.0018325958,TONIC,ef5fc56242f7
1776792395810,1900620261547431,-2.219425,1.1659763,-9.368511,-6.1086525E-4,0.004886922,-0.002443461,TONIC,ef5fc56242f7
1776792395818,1900620269543332,-2.2026656,1.151611,-9.385271,6.1086525E-4,0.004276057,6.1086525E-4,TONIC,ef5fc56242f7
