epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776744319834,275001844799295,1.0630256,3.083732,8.978256,-0.010995574,-0.019547688,0.021991149,JERKING,f437bb1a847e
1776744319913,275001864971415,0.9648633,2.7246015,8.884883,0.4129449,0.0720821,0.042760566,JERKING,f437bb1a847e
1776744319916,275001885051981,1.0869676,2.3654714,8.9279785,-0.63407815,-0.042760566,0.002443461,JERKING,f437bb1a847e
1776744319931,275001905163065,1.2952632,2.5905263,9.028535,0.012217305,-0.019547688,-0.0012217305,JERKING,f437bb1a847e
1776744319936,275001925365702,1.2761095,3.2010477,9.119514,0.18081611,0.05009095,-0.034208454,JERKING,f437bb1a847e
1776744319942,275001945507303,0.9864111,3.4452562,9.203311,0.07452556,0.073303826,-0.02687807,JERKING,f437bb1a847e
1776744319950,275001965618387,0.9648633,3.0190883,9.198523,-0.13927728,0.017104227,0.007330383,JERKING,f437bb1a847e
1776744320024,275001985790506,0.9959879,2.6599581,9.196129,-0.18570304,-0.030543262,0.028099801,JERKING,f437bb1a847e
1776744320026,275002005901590,1.0869676,2.7461493,9.31105,-0.035430185,-0.02565634,-0.002443461,JERKING,f437bb1a847e
1776744320030,275002026012674,1.0271125,3.0238767,9.124303,0.11484267,-0.0036651916,-0.007330383,JERKING,f437bb1a847e
1776744320033,275002046184793,0.9792285,3.430891,9.066842,0.13805555,-0.035430185,0.02076942,JERKING,f437bb1a847e
1776744320051,275002066326395,0.90500826,3.7086184,9.078813,0.032986723,-0.04886922,0.047647487,JERKING,f437bb1a847e
1776744320098,275002086437479,0.80684596,3.7014358,9.208099,-0.172264,-0.1001819,0.11484267,JERKING,f437bb1a847e
1776744320100,275002106609598,0.80445176,3.7708676,9.555259,-0.3213151,-0.1600467,0.19058995,JERKING,f437bb1a847e
1776744320111,275002126751200,0.81642276,3.86903,9.775525,-0.37140608,-0.24801129,0.31031954,JERKING,f437bb1a847e
1776744320175,275002146892801,0.7422025,3.763685,9.701305,-0.46181414,-0.40683624,0.44837508,JERKING,f437bb1a847e
1776744320178,275002167064920,0.94331545,3.715801,9.588778,-0.49357912,-0.6096435,0.62796944,JERKING,f437bb1a847e
1776744320181,275002187206522,1.2689269,3.052607,9.433155,-0.56077427,-0.81489426,0.74281216,JERKING,f437bb1a847e
1776744320189,275002207348123,1.6807296,3.0454245,9.323022,-0.6536258,-0.956615,0.86742866,JERKING,f437bb1a847e
1776744320232,275002227489725,1.4413095,3.4093432,10.067618,-0.6365216,-0.97494096,0.9211848,JERKING,f437bb1a847e
1776744320234,275002247631327,1.1611878,3.1531637,10.110714,-0.97249746,-1.1728612,1.0238101,JERKING,f437bb1a847e
1776744320282,275002267803446,1.8411411,1.9416976,9.028535,-1.5296066,-1.5723672,1.1924089,JERKING,f437bb1a847e
1776744320288,275002287945047,2.846706,1.0271125,8.377312,-1.8203784,-1.8802432,1.2302825,JERKING,f437bb1a847e
1776744320292,275002308056131,3.3997664,0.51235914,8.494628,-1.5479325,-1.9559906,1.1044444,JERKING,f437bb1a847e
1776744320339,275002328228250,3.6296098,0.80684596,7.9702973,-1.028697,-1.8643607,0.96761054,JERKING,f437bb1a847e
1776744320343,275002348369852,3.904943,0.7661445,8.173804,-0.79412484,-1.8118263,0.9957104,JERKING,f437bb1a847e
1776744320354,275002368511454,4.146757,-0.0023942017,8.513782,-0.9407325,-1.8387043,1.0250319,JERKING,f437bb1a847e
1776744320393,275002388622538,4.879383,-0.58418524,8.844181,-1.2082914,-1.9462167,1.0189233,JERKING,f437bb1a847e
1776744320399,275002408794657,5.6910176,-1.7142484,10.560823,-1.2999213,-1.8802432,1.1129965,JERKING,f437bb1a847e
1776744320447,275002428936258,5.45878,-2.9975405,10.807426,-1.1410962,-1.8008307,1.1313224,JERKING,f437bb1a847e
1776744320451,275002449077860,4.8937483,-3.8355112,9.579201,-1.0421361,-1.7947221,0.8588765,JERKING,f437bb1a847e
1776744320461,275002469219461,5.913678,-3.4691982,8.406042,-1.1203269,-1.8423696,0.453262,JERKING,f437bb1a847e
1776744320506,275002489361063,7.0605006,-3.928885,7.943961,-1.210735,-1.8594738,0.2003638,JERKING,f437bb1a847e
