# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776794942059,1903166509550297,2.3343468,-9.478644,1.3982137,NaN,NaN,NaN,JERKING,fce2b9355cf3
1776794942067,1903166517636547,2.2864625,-9.466674,1.4030021,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942075,1903166525632489,2.2864625,-9.485827,1.3982137,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942083,1903166533627661,2.303222,-9.490616,1.3862427,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942091,1903166541623603,2.3319526,-9.483433,1.3431472,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942099,1903166549618776,2.3942018,-9.454702,1.316811,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942107,1903166557644949,2.4492683,-9.464279,1.2761095,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942115,1903166565640353,2.480393,-9.500193,1.2138603,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942123,1903166573635756,2.4971523,-9.502586,1.151611,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942131,1903166581631082,2.5187001,-9.497798,1.1540052,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942139,1903166589628409,2.4875755,-9.483433,1.1683705,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942147,1903166597624120,2.4372973,-9.485827,1.2258313,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942155,1903166605618908,2.4253263,-9.476251,1.2785037,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942163,1903166613645004,2.3894134,-9.454702,1.3599066,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942171,1903166621641716,2.4061728,-9.471462,1.4053963,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942179,1903166629636427,2.4013844,-9.481039,1.4437037,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942187,1903166637631522,2.420538,-9.497798,1.4221559,-0.052534413,0.015271631,0.017104227,JERKING,fce2b9355cf3
1776794942195,1903166645628849,2.4492683,-9.524135,1.3958195,-0.015882496,6.1086525E-4,-0.007330383,JERKING,fce2b9355cf3
1776794942203,1903166653622637,2.4971523,-9.564836,1.3742718,-0.01160644,0.004276057,-0.009162978,JERKING,fce2b9355cf3
1776794942211,1903166661620194,2.4851813,-9.569624,1.352724,-0.004276057,0.015882496,-0.01038471,JERKING,fce2b9355cf3
1776794942219,1903166669645136,2.468422,-9.572019,1.3263878,0.0030543262,0.029932396,-0.010995574,JERKING,fce2b9355cf3
1776794942227,1903166677640617,2.3942018,-9.545682,1.3072342,0.0036651916,0.040927973,-0.007330383,JERKING,fce2b9355cf3
1776794942235,1903166685635636,2.327164,-9.524135,1.2737153,0.002443461,0.04642576,-0.009773844,JERKING,fce2b9355cf3
1776794942243,1903166693630808,2.2625206,-9.504981,1.2856863,-0.002443461,0.04886922,-0.005497787,JERKING,fce2b9355cf3
1776794942251,1903166701627673,2.2266076,-9.442732,1.316811,-0.01282817,0.050701816,0.0036651916,JERKING,fce2b9355cf3
1776794942259,1903166709624384,2.2601264,-9.488221,1.3551182,-0.018936822,0.04642576,0.015882496,JERKING,fce2b9355cf3
