epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776794941322,325623340392274,1.7956513,0.6823475,9.5385,0.33964106,0.14782938,-0.07086037,JERKING,fce2b9355cf3
1776794941346,325623360442323,1.9033904,0.6392518,9.44752,0.41905355,0.040317107,0.021991149,JERKING,fce2b9355cf3
1776794941365,325623380461854,1.8842367,0.7781156,9.519346,-0.5155703,-0.12461651,0.036651913,JERKING,fce2b9355cf3
1776794941381,325623400481385,1.970428,0.8499416,9.588778,-0.09162979,-0.15393804,0.05009095,JERKING,fce2b9355cf3
1776794941404,325623420500917,2.2002714,0.81163436,9.5385,-0.12217305,-0.17837265,0.05497787,JERKING,fce2b9355cf3
1776794941430,325623440520448,2.1380222,0.8379706,9.65821,-0.11484267,-0.1685988,0.057421334,JERKING,fce2b9355cf3
1776794941447,325623460539979,1.9728222,0.581791,9.651027,-0.0842994,-0.17959438,0.047647487,JERKING,fce2b9355cf3
1776794941464,325623480559510,2.2337902,0.7757214,9.588778,-0.056199603,-0.22602014,0.028099801,JERKING,fce2b9355cf3
1776794941481,325623500579042,2.5330653,0.6991069,9.543288,-0.043982297,-0.2565634,0.04642576,JERKING,fce2b9355cf3
1776794941502,325623520629091,2.2481554,0.60812724,9.646238,-0.03176499,-0.25167647,0.065973446,JERKING,fce2b9355cf3
1776794941533,325623540648622,2.0278888,0.51714754,9.490616,0.0012217305,-0.24801129,0.09162979,JERKING,fce2b9355cf3
1776794941553,325623560668153,2.1045034,0.85473,9.222465,0.0,-0.2846632,0.05497787,JERKING,fce2b9355cf3
1776794941562,325623580687684,2.1380222,0.8882488,9.054871,-0.10873401,-0.31031954,0.036651913,JERKING,fce2b9355cf3
1776794941586,325623600707216,1.8866309,0.5267244,9.531317,-0.20891592,-0.35063666,0.04886922,JERKING,fce2b9355cf3
1776794941602,325623620726747,1.7549498,-0.32561144,10.16578,-0.25167647,-0.45081854,0.032986723,JERKING,fce2b9355cf3
1776794941631,325623640746278,1.9847932,-0.24420857,10.498574,-0.09285152,-0.6010914,-0.018325957,JERKING,fce2b9355cf3
1776794941647,325623660704774,2.207454,0.56982,10.493786,0.06352998,-0.58032197,-0.05375614,JERKING,fce2b9355cf3
1776794941664,325623680754823,2.1068976,1.0630256,10.376471,-0.2003638,-0.6963864,-0.12095132,JERKING,fce2b9355cf3
1776794941681,325623700774354,2.6767175,0.51714754,9.866506,-0.6206391,-1.0042624,-0.12461651,JERKING,fce2b9355cf3
1776794941702,325623720793885,3.3039982,0.02873042,9.907207,-0.88453287,-1.2046263,-0.07941248,JERKING,fce2b9355cf3
1776794941733,325623740813417,3.4500446,-0.33279404,10.156203,-0.8381071,-1.2791518,-0.08307768,JERKING,fce2b9355cf3
1776794941742,325623760832948,3.3087866,-1.0582372,9.821015,-0.6560693,-1.3072516,-0.1441642,JERKING,fce2b9355cf3
1776794941769,325623780882997,3.4141316,-0.4333505,8.856153,-0.5717699,-1.1887437,-0.38362336,JERKING,fce2b9355cf3
1776794941782,325623800902528,3.8474822,0.4141969,8.51857,-0.6133087,-1.1643091,-0.4447099,JERKING,fce2b9355cf3
1776794941802,325623820922059,3.775656,1.115698,7.165846,-1.0140363,-1.1472049,-0.39095375,JERKING,fce2b9355cf3
1776794941838,325623840941591,3.9001546,1.4149733,5.971139,-1.378112,-1.1142182,-0.21624629,JERKING,fce2b9355cf3
1776794941844,325623860961122,3.8714242,1.8890251,3.4596214,-1.5699236,-0.9443977,0.035430185,JERKING,fce2b9355cf3
1776794941869,325623880950135,3.6032736,4.687847,-1.2162545,-1.645671,-0.5363397,0.4202753,JERKING,fce2b9355cf3
1776794941882,325623901000184,5.1116204,7.843405,-3.4620156,-1.4013249,0.21380283,0.8881981,JERKING,fce2b9355cf3
1776794941909,325623921019716,6.6726403,10.556035,-4.213795,-1.3903292,1.2425,1.4905112,JERKING,fce2b9355cf3
1776794941930,325623941039247,6.8282633,8.157045,-0.45010993,-1.0861185,2.212554,2.83808,JERKING,fce2b9355cf3
1776794941949,325623961028260,1.6304513,-5.0038815,10.996569,-1.1044444,3.6187658,4.5704937,JERKING,fce2b9355cf3
1776794941962,325623981078309,-9.239224,-45.810654,24.126371,-1.6395624,3.323107,4.234518,JERKING,fce2b9355cf3
1776794941983,325624001067323,-12.064383,-33.736694,24.037785,-2.5167649,3.5417967,-2.0769417,JERKING,fce2b9355cf3
1776794942003,325624021086854,-6.105214,-13.431472,20.788853,-1.7153096,-0.8454375,-1.6872098,JERKING,fce2b9355cf3
1776794942026,325624041075868,0.5506664,-4.663905,12.071565,-3.4257324,-4.8795915,-2.2272146,JERKING,fce2b9355cf3
1776794942042,325624061095399,11.9374895,1.3383588,2.3295584,-2.5192082,-5.381723,-1.1679744,JERKING,fce2b9355cf3
1776794942067,325624081114930,17.410635,9.404425,-9.485827,1.7470746,-2.5118778,-1.8044959,JERKING,fce2b9355cf3
1776794942082,325624101134462,12.258312,23.274035,-4.0581717,3.0115657,2.3432791,-2.575408,JERKING,fce2b9355cf3
1776794942103,325624121123475,3.4165258,15.105019,2.231396,1.8887954,4.0060544,0.42394048,JERKING,fce2b9355cf3
1776794942134,325624141173524,1.5610195,5.872977,7.5561004,-0.59742624,2.1820107,2.3628268,JERKING,fce2b9355cf3
1776794942146,325624161162538,-2.207454,-16.922218,24.076092,-2.5680776,1.5112807,3.3096678,JERKING,fce2b9355cf3
1776794942169,325624181182069,-7.824251,-48.156975,19.52232,-4.0463715,0.59131753,1.0983357,JERKING,fce2b9355cf3
1776794942182,325624201171083,-4.7644615,-17.827227,18.394651,0.59620446,0.030543262,-2.3176227,JERKING,fce2b9355cf3
1776794942203,325624221190614,-0.38067806,-9.16261,12.385205,0.05375614,-3.0213394,-2.7159069,JERKING,fce2b9355cf3
1776794942242,325624241210145,4.096479,-4.6136265,4.4125137,-0.73914695,-4.0329323,-2.552195,JERKING,fce2b9355cf3
1776794942253,325624261229676,7.3789296,2.8083985,-2.3678656,0.36651915,-2.9358184,-2.5240953,JERKING,fce2b9355cf3
1776794942264,325624281249208,10.0987425,19.687521,-11.623849,2.2186625,-1.0299188,-3.2852333,JERKING,fce2b9355cf3
1776794942285,325624301268739,8.346188,30.777462,-10.512939,3.980398,3.2522466,-1.8973475,JERKING,fce2b9355cf3
