# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775692347749,1082533099952789,-1.376666,-10.070012,-0.6655881,NaN,NaN,NaN,FALLS,07b241400a9f
1775692347758,1082533108673948,-1.2904748,-10.0269165,-0.7493851,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
1775692347766,1082533116672491,-1.2282255,-9.957485,-0.8355764,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
1775692347774,1082533124665726,-1.1300632,-9.876082,-0.8834604,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
1775692347782,1082533132661422,-1.1085154,-9.830592,-0.89543146,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
1775692347790,1082533140658581,-1.043872,-9.80665,-0.89064306,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
1775692347798,1082533148684508,-1.0366893,-9.794679,-0.9911995,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
1775692347806,1082533156680744,-1.043872,-9.725247,-1.0989386,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
1775692347814,1082533164674979,-1.0295067,-9.715671,-1.2138603,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
1775692347822,1082533172669368,-0.9911995,-9.703699,-1.3599066,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
1775692347830,1082533180665449,-0.94570965,-9.7563715,-1.4341269,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
1775692347838,1082533188661147,-0.8714894,-9.753978,-1.472434,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
1775692347846,1082533196658689,-0.94092125,-9.737218,-1.4053963,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
1775692347854,1082533204683925,-1.043872,-9.713276,-1.1803415,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
1775692347862,1082533212677467,-1.1563994,-9.667787,-0.9720459,-0.01038471,0.018325957,0.004276057,FALLS,07b241400a9f
