# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775692558534,1082743884985691,-1.5251064,-2.2266076,-9.3421755,NaN,NaN,NaN,TREMOR,0cb215b2246a
1775692558543,1082743893071925,-1.520318,-2.231396,-9.315839,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558551,1082743901067545,-1.532289,-2.2529438,-9.313444,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558559,1082743909062932,-1.5442601,-2.2385786,-9.308656,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558567,1082743917059013,-1.5586253,-2.243367,-9.306262,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558575,1082743925055324,-1.5586253,-2.2385786,-9.306262,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558583,1082743933050019,-1.5753847,-2.2385786,-9.299079,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558591,1082743941077716,-1.5777789,-2.2002714,-9.275137,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558599,1082743949071334,-1.5705963,-2.207454,-9.284714,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558607,1082743957068569,-1.5634137,-2.1763294,-9.258378,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558615,1082743965064495,-1.5658079,-2.2050598,-9.272743,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558623,1082743973058422,-1.5849615,-2.1859062,-9.270349,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558631,1082743981056271,-1.5801731,-2.1428106,-9.255983,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558639,1082743989049814,-1.5849615,-2.1859062,-9.277532,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558647,1082743997076201,-1.5993267,-2.1883004,-9.26556,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558655,1082744005073205,-1.5777789,-2.1883004,-9.272743,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558663,1082744013067593,-1.5921441,-2.171541,-9.263166,0.0012217305,0.004276057,0.0,TREMOR,0cb215b2246a
1775692558671,1082744021063905,-1.5921441,-2.1906946,-9.267955,-0.005497787,-0.004276057,0.0012217305,TREMOR,0cb215b2246a
1775692558679,1082744029058754,-1.5682021,-2.1787236,-9.275137,-0.005497787,-0.0036651916,0.002443461,TREMOR,0cb215b2246a
1775692558687,1082744037055296,-1.5275006,-2.1787236,-9.28232,-0.004276057,-0.0012217305,0.0036651916,TREMOR,0cb215b2246a
1775692558695,1082744045049222,-1.5466543,-2.1978772,-9.272743,-0.0030543262,6.1086525E-4,0.0012217305,TREMOR,0cb215b2246a
1775692558703,1082744053074687,-1.5586253,-2.1691468,-9.272743,-0.0018325958,-6.1086525E-4,0.005497787,TREMOR,0cb215b2246a
1775692558711,1082744061071999,-1.5514427,-2.1619642,-9.267955,-6.1086525E-4,0.0,0.005497787,TREMOR,0cb215b2246a
1775692558719,1082744069067002,-1.5275006,-2.1404164,-9.277532,-0.0018325958,-6.1086525E-4,0.004886922,TREMOR,0cb215b2246a
1775692558727,1082744077061775,-1.5370775,-2.147599,-9.277532,-6.1086525E-4,6.1086525E-4,0.005497787,TREMOR,0cb215b2246a
1775692558735,1082744085057855,-1.5251064,-2.147599,-9.26556,0.0,0.0018325958,0.007941248,TREMOR,0cb215b2246a
1775692558743,1082744093053782,-1.541866,-2.1571758,-9.260772,0.0012217305,-6.1086525E-4,0.005497787,TREMOR,0cb215b2246a
1775692558751,1082744101050170,-1.5346833,-2.1547816,-9.277532,0.0012217305,-6.1086525E-4,0.0061086523,TREMOR,0cb215b2246a
1775692558759,1082744109074481,-1.5370775,-2.1667526,-9.306262,0.0018325958,-0.002443461,0.004276057,TREMOR,0cb215b2246a
1775692558767,1082744117072023,-1.5251064,-2.1643584,-9.289502,0.0018325958,-0.0018325958,0.0061086523,TREMOR,0cb215b2246a
1775692558775,1082744125067334,-1.532289,-2.1452048,-9.301474,0.004276057,-0.0018325958,0.004886922,TREMOR,0cb215b2246a
1775692558783,1082744133062414,-1.5275006,-2.1667526,-9.289502,0.0030543262,0.0,0.005497787,TREMOR,0cb215b2246a
1775692558791,1082744141059418,-1.5227122,-2.1763294,-9.289502,0.004276057,0.0018325958,0.004276057,TREMOR,0cb215b2246a
1775692558799,1082744149052960,-1.532289,-2.1787236,-9.287108,0.0036651916,0.002443461,0.005497787,TREMOR,0cb215b2246a
1775692558807,1082744157049272,-1.5179238,-2.1739352,-9.277532,0.004276057,0.0030543262,0.004886922,TREMOR,0cb215b2246a
1775692558815,1082744165076352,-1.520318,-2.1691468,-9.28232,0.0061086523,0.002443461,0.004276057,TREMOR,0cb215b2246a
1775692558823,1082744173071355,-1.520318,-2.1883004,-9.284714,0.005497787,0.0018325958,0.004276057,TREMOR,0cb215b2246a
1775692558831,1082744181067743,-1.5131354,-2.1859062,-9.279925,0.004276057,0.0012217305,0.002443461,TREMOR,0cb215b2246a
