epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775672079605,2950279604242,1.6687586,4.156334,8.580819,0.0012217305,0.0061086523,0.02443461,TONIC,29239e3dec0c
1775672079630,2950299684809,1.7022774,4.3287168,8.437167,-0.013439035,0.057421334,-0.015882496,TONIC,29239e3dec0c
1775672079641,2950319765375,1.7549498,4.271256,8.492233,-0.065973446,0.2003638,0.03176499,TONIC,29239e3dec0c
1775672079657,2950339815424,1.7286136,3.9384618,8.520964,-0.040317107,0.029321533,-0.0061086523,TONIC,29239e3dec0c
1775672079697,2950359865473,1.6519991,4.1180267,8.494628,0.0036651916,0.02443461,-0.010995574,TONIC,29239e3dec0c
1775672079705,2950379946039,1.7501614,4.247314,8.520964,0.007330383,0.032986723,-0.013439035,TONIC,29239e3dec0c
1775672079727,2950399996088,1.7142484,4.2640734,8.439561,-0.014660766,0.04886922,-0.015882496,TONIC,29239e3dec0c
1775672079738,2950420076655,1.685518,4.3861775,8.540117,-0.06841691,0.04153884,-0.008552114,TONIC,29239e3dec0c
1775672079764,2950440157221,1.6998832,4.175488,8.683769,-0.10751228,0.010995574,0.0,TONIC,29239e3dec0c
1775672079795,2950460237787,1.8124107,4.414908,8.406042,-0.09896017,-0.002443461,-0.004886922,TONIC,29239e3dec0c
1775672079804,2950480318354,1.5753847,3.8163576,8.655039,-0.13561209,0.02076942,-0.010995574,TONIC,29239e3dec0c
1775672079831,2950500368403,1.7525556,3.9935284,8.628703,-0.10873401,-0.002443461,-0.0012217305,TONIC,29239e3dec0c
1775672079839,2950520418451,1.7190368,3.952827,8.59279,-0.0720821,0.004886922,-0.0036651916,TONIC,29239e3dec0c
1775672079860,2950540529535,1.70946,4.048595,8.588001,-0.073303826,0.02565634,-0.014660766,TONIC,29239e3dec0c
1775672079880,2950560579584,1.6950948,3.8881836,8.710106,-0.07574729,0.03176499,-0.021991149,TONIC,29239e3dec0c
1775672079909,2950580629633,1.6759412,4.098873,8.549694,-0.056199603,0.034208454,-0.018325957,TONIC,29239e3dec0c
1775672079921,2950600710199,1.7118542,4.1515455,8.561666,-0.07696902,0.058643065,-0.02321288,TONIC,29239e3dec0c
1775672079940,2950620821283,1.7166426,4.1946416,8.525752,-0.11728613,0.1001819,-0.034208454,TONIC,29239e3dec0c
1775672079960,2950640871332,1.6807296,4.3119574,8.463503,-0.18692477,0.12461651,-0.03176499,TONIC,29239e3dec0c
1775672079993,2950660982416,1.5825673,3.7014358,8.7532015,-0.25045475,0.1282817,-0.034208454,TONIC,29239e3dec0c
1775672079999,2950681032465,1.5370775,3.6942532,8.825027,-0.2565634,0.111177474,-0.029321533,TONIC,29239e3dec0c
1775672080027,2950701051996,1.5107412,3.655946,8.676587,-0.19914207,0.06963864,-0.02321288,TONIC,29239e3dec0c
1775672080038,2950721071528,1.5179238,3.8714242,8.588001,-0.2003638,0.036651913,-0.010995574,TONIC,29239e3dec0c
1775672080059,2950741091059,1.6089035,3.881001,8.817844,-0.24801129,0.02443461,-0.0061086523,TONIC,29239e3dec0c
1775672080094,2950761110590,1.5179238,3.86903,8.734048,-0.24312437,0.012217305,-0.004886922,TONIC,29239e3dec0c
1775672080099,2950781130121,1.5634137,3.620033,8.710106,-0.22235495,0.010995574,-0.008552114,TONIC,29239e3dec0c
1775672080126,2950801180170,1.6232687,3.265691,8.918402,-0.18570304,0.009773844,-0.007330383,TONIC,29239e3dec0c
1775672080139,2950821230219,1.5514427,3.6463692,8.851364,-0.08552113,0.008552114,-0.007330383,TONIC,29239e3dec0c
1775672080160,2950841219233,1.4891934,3.5529952,8.784326,-0.052534413,0.013439035,-0.0061086523,TONIC,29239e3dec0c
1775672080197,2950861269282,1.4748282,3.5865142,8.889671,-0.036651913,0.03176499,-0.012217305,TONIC,29239e3dec0c
1775672080203,2950881288813,1.472434,3.442862,8.913613,0.004886922,0.02565634,-0.008552114,TONIC,29239e3dec0c
1775672080233,2950901338862,1.5753847,3.7708676,8.798691,0.030543262,-0.013439035,-0.002443461,TONIC,29239e3dec0c
1775672080239,2950921358393,1.5801731,3.6894648,8.774749,0.002443461,-0.009773844,-0.0036651916,TONIC,29239e3dec0c
1775672080259,2950941408442,1.4939818,3.5817258,8.92319,-0.017104227,0.008552114,-0.007330383,TONIC,29239e3dec0c
1775672080281,2950961427973,1.5514427,3.608062,8.913613,-0.007330383,-0.0036651916,-0.002443461,TONIC,29239e3dec0c
1775672080299,2950981508539,1.5490485,3.5889084,8.875306,0.0,-0.02565634,0.0061086523,TONIC,29239e3dec0c
1775672080330,2951001528071,1.5729905,3.7565024,8.767567,0.002443461,-0.019547688,0.008552114,TONIC,29239e3dec0c
1775672080340,2951021547602,1.5035586,3.7541082,8.779537,-0.047647487,-0.004886922,0.009773844,TONIC,29239e3dec0c
1775672080361,2951041536616,1.4030021,3.4261026,8.851364,-0.073303826,0.015882496,0.007330383,TONIC,29239e3dec0c
1775672080393,2951061586664,1.5634137,3.3854012,8.841787,-0.040317107,-0.0036651916,0.007330383,TONIC,29239e3dec0c
1775672080402,2951081636713,1.5131354,3.5936968,8.63828,-0.009773844,0.002443461,0.0,TONIC,29239e3dec0c
1775672080421,2951101656244,1.472434,3.9791632,8.851364,-0.065973446,-0.009773844,0.008552114,TONIC,29239e3dec0c
1775672080447,2951121736811,1.5275006,3.371036,8.9758625,-0.12095132,-0.05009095,0.019547688,TONIC,29239e3dec0c
1775672080458,2951141756342,1.685518,3.289633,8.918402,-0.07452556,-0.047647487,0.015882496,TONIC,29239e3dec0c
