epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775671505151,2375830667805,1.4628572,1.0534488,9.660604,0.15271631,-0.17470746,-0.38240165,JERKING,2d04f828c1d6
1775671505184,2375850778889,1.4460979,0.93613285,9.619903,-0.119729586,-0.035430185,0.02076942,JERKING,2d04f828c1d6
1775671505190,2375870798420,1.5346833,0.81881696,9.540894,-0.0720821,0.14049901,-0.0036651916,JERKING,2d04f828c1d6
1775671505236,2375890878987,1.520318,0.80445176,9.586384,-0.034208454,0.008552114,-0.019547688,JERKING,2d04f828c1d6
1775671505238,2375910959553,1.4796166,0.9672575,9.524135,-0.007330383,-0.002443461,-0.017104227,JERKING,2d04f828c1d6
1775671505271,2375931009602,1.484405,1.0223241,9.457097,-0.029321533,-0.012217305,0.0012217305,JERKING,2d04f828c1d6
1775671505273,2375951090168,1.4556746,0.92416185,9.299079,-0.06719518,-0.032986723,0.02443461,JERKING,2d04f828c1d6
1775671505289,2375971109700,1.5753847,0.89303726,9.291897,-0.06963864,-0.036651913,0.036651913,JERKING,2d04f828c1d6
1775671505322,2375991190266,1.5705963,0.8643068,9.239224,-0.096516706,-0.019547688,0.02443461,JERKING,2d04f828c1d6
1775671505328,2376010709797,1.6089035,0.89543146,9.227253,-0.12217305,-0.010995574,0.018325957,JERKING,2d04f828c1d6
1775671505365,2376030429329,1.6041151,0.8643068,9.131485,-0.1685988,-0.02687807,0.008552114,JERKING,2d04f828c1d6
1775671505370,2376050248860,1.7477672,1.043872,9.054871,-0.25167647,-0.07696902,-0.018325957,JERKING,2d04f828c1d6
1775671505402,2376070098909,1.7549498,0.93134445,8.880095,-0.3286455,-0.10262536,-0.010995574,JERKING,2d04f828c1d6
1775671505415,2376090179475,2.6431987,1.1204864,8.549694,-0.45204028,-0.12950343,-0.07819075,JERKING,2d04f828c1d6
1775671505428,2376110129524,2.2577322,0.9504981,8.248025,-0.58276546,0.096516706,-0.09285152,JERKING,2d04f828c1d6
1775671505449,2376130179573,2.918532,0.12449849,8.420407,-0.98837996,0.080634214,-0.31764993,JERKING,2d04f828c1d6
1775671505474,2376150229622,1.9177556,0.90500826,7.4244194,-1.3500122,0.19792034,-0.45937067,JERKING,2d04f828c1d6
1775671505499,2376170149153,1.721431,-0.6895301,8.104373,-1.7751744,0.29810223,-0.3921755,JERKING,2d04f828c1d6
1775671505524,2376190168684,3.0885203,2.171541,6.2512608,-2.4642303,-0.54611355,-1.4587462,JERKING,2d04f828c1d6
1775671505530,2376210188215,4.596867,0.4333505,8.238448,-2.8099802,0.2846632,-1.2412782,JERKING,2d04f828c1d6
1775671505552,2376230207747,2.0709844,-1.2808979,8.619126,-3.4037411,0.54244834,-1.4978416,JERKING,2d04f828c1d6
1775671505578,2376250257795,2.504335,-2.6599581,8.7292595,-3.2852333,0.06719518,-1.2681563,JERKING,2d04f828c1d6
1775671505603,2376270277327,3.620033,-2.147599,8.221688,-2.7989845,-0.13194689,-1.5125023,JERKING,2d04f828c1d6
1775671505610,2376290296858,3.6846764,-2.5234885,8.0445175,-2.8893926,0.058643065,-1.6212363,JERKING,2d04f828c1d6
1775671505631,2376310346907,2.9831753,-4.699818,7.7452426,-3.31822,0.29443705,-1.6187929,JERKING,2d04f828c1d6
1775671505657,2376330396956,2.542642,-7.165846,8.015787,-3.5686748,0.36896262,-1.4477507,JERKING,2d04f828c1d6
