# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775692286402,1082471753395060,-0.48123455,-9.378088,-0.32800564,NaN,NaN,NaN,FALLS,2ebe258f1735
1775692286410,1082471761482064,-0.35434186,-9.725247,-0.20829555,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286418,1082471769479684,-0.50996494,-10.251971,0.095768064,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286426,1082471777473457,-0.78769237,-10.670957,0.22744916,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286434,1082471785468924,-1.151611,-10.977415,-0.055066638,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286442,1082471793465544,-1.5801731,-11.147403,-1.364695,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286450,1082471801461240,-1.9321208,-11.121067,-2.585738,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286458,1082471809488938,-2.2936451,-10.9103775,-3.5410242,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286466,1082471817483326,-2.5378537,-10.673351,-3.6822822,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286474,1082471825601793,-2.645593,-10.354922,-3.1507695,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286482,1082471833473259,-2.5498247,-10.048465,-2.3415294,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286490,1082471841469264,-2.1763294,-9.921572,-1.6759412,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286498,1082471849467652,-1.8483237,-9.89763,-1.1971009,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286506,1082471857460888,-1.5059528,-9.773131,-0.7637503,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286514,1082471865487355,-1.1779473,-9.617508,-0.32800564,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286522,1082471873483743,-0.9600749,-9.44752,0.11731588,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286530,1082471881477902,-0.80684596,-9.287108,0.46926352,-0.019547688,-0.06658431,0.070249505,FALLS,2ebe258f1735
1775692286538,1082471889473906,-0.7493851,-9.212888,0.5434838,-0.61391956,0.0421497,0.10140363,FALLS,2ebe258f1735
1775692286546,1082471897468680,-0.7589619,-9.220071,0.4165911,-0.6053675,-0.09590584,0.093462385,FALLS,2ebe258f1735
1775692286554,1082471905464992,-0.82121116,-9.258378,0.01436521,-0.57543504,-0.23151793,0.08674286,FALLS,2ebe258f1735
1775692286562,1082471913461843,-0.91697925,-9.291897,-0.47644615,-0.5479461,-0.36102137,0.08002335,FALLS,2ebe258f1735
1775692286570,1082471921485847,-0.9959879,-9.40203,-1.0175357,-0.54061574,-0.45814893,0.07086037,FALLS,2ebe258f1735
1775692286578,1082471929483083,-1.0749966,-9.497798,-1.4580688,-0.5748242,-0.5540548,0.069027774,FALLS,2ebe258f1735
1775692286586,1082471937476933,-1.0414777,-9.586384,-1.8291701,-0.62980205,-0.6096435,0.0720821,FALLS,2ebe258f1735
1775692286594,1082471945474169,-1.0223241,-9.698911,-2.0278888,-0.70371675,-0.6267477,0.08307768,FALLS,2ebe258f1735
1775692286602,1082471953468405,-1.0319009,-9.821015,-2.1643584,-0.7819075,-0.6151413,0.092240654,FALLS,2ebe258f1735
1775692286610,1082471961464947,-1.0199299,-9.921572,-2.2697031,-0.8784242,-0.54305923,0.1001819,FALLS,2ebe258f1735
1775692286618,1082471969493875,-1.0773908,-9.952697,-2.372654,-0.94134337,-0.44898596,0.099571034,FALLS,2ebe258f1735
1775692286626,1082471977486264,-1.1923125,-9.921572,-2.315193,-1.0054842,-0.31764993,0.08979719,FALLS,2ebe258f1735
1775692286634,1082471985481884,-1.2066777,-9.859323,-2.0638018,-1.0769554,-0.14294247,0.0842994,FALLS,2ebe258f1735
1775692286642,1082471993477350,-1.2449849,-9.765948,-1.7860745,-1.1429288,0.016493361,0.08246681,FALLS,2ebe258f1735
1775692286650,1082472001474586,-1.3623008,-9.665392,-1.5442601,-1.2070698,0.106901415,0.06963864,FALLS,2ebe258f1735
1775692286658,1082472009471128,-1.4748282,-9.564836,-1.4676456,-1.2315043,0.07696902,0.06780604,FALLS,2ebe258f1735
1775692286666,1082472017464672,-1.4820108,-9.43076,-1.6041151,-1.2388347,0.013439035,0.08124508,FALLS,2ebe258f1735
1775692286674,1082472025460369,-1.400608,-9.32781,-1.8171991,-1.255328,-0.030543262,0.10873401,FALLS,2ebe258f1735
1775692286682,1082472033486527,-1.0654198,-9.263166,-1.946486,-1.3041973,-0.04886922,0.1459968,FALLS,2ebe258f1735
