# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775671792150,1061977501780746,2.8083985,-1.2306197,-9.246407,NaN,NaN,NaN,TONIC,31f4abb94fd8
1775671792158,1061977509869356,2.825158,-1.2449849,-9.227253,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792166,1061977517862505,2.8060043,-1.2425907,-9.239224,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792174,1061977525858268,2.7820623,-1.2473791,-9.234436,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792182,1061977533853033,2.7724855,-1.2473791,-9.232041,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792190,1061977541848643,2.7844565,-1.2473791,-9.217676,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792198,1061977549847177,2.777274,-1.2593501,-9.229648,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792206,1061977557872709,2.7724855,-1.2497733,-9.234436,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792214,1061977565989935,2.779668,-1.2617443,-9.215282,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792222,1061977573862776,2.791639,-1.2593501,-9.222465,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792230,1061977581858540,2.7748797,-1.2617443,-9.224859,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792238,1061977589878765,2.789245,-1.2689269,-9.251195,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792246,1061977597849914,2.7988217,-1.2665327,-9.246407,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792254,1061977605846217,2.8060043,-1.2761095,-9.212888,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792262,1061977613871058,2.834735,-1.2617443,-9.203311,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792270,1061977621867053,2.837129,-1.2545617,-9.210494,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792278,1061977629862508,2.834735,-1.271321,-9.222465,-0.005497787,0.002443461,0.004886922,TONIC,31f4abb94fd8
1775671792286,1061977637791350,2.837129,-1.2593501,-9.210494,-0.0012217305,6.1086525E-4,0.0012217305,TONIC,31f4abb94fd8
1775671792294,1061977645854422,2.8299465,-1.271321,-9.212888,-0.002443461,-6.1086525E-4,0.002443461,TONIC,31f4abb94fd8
1775671792302,1061977653849493,2.822764,-1.283292,-9.220071,-0.002443461,0.0,0.0030543262,TONIC,31f4abb94fd8
1775671792310,1061977661844949,2.837129,-1.2545617,-9.208099,-0.0018325958,0.0012217305,0.0030543262,TONIC,31f4abb94fd8
1775671792318,1061977669872329,2.8419175,-1.271321,-9.227253,-0.0036651916,0.0012217305,0.002443461,TONIC,31f4abb94fd8
1775671792326,1061977677865554,2.8562827,-1.2617443,-9.19134,-0.0036651916,-0.0030543262,0.0012217305,TONIC,31f4abb94fd8
1775671792334,1061977685863396,2.8419175,-1.2569559,-9.212888,-0.0036651916,-0.0030543262,0.0030543262,TONIC,31f4abb94fd8
1775671792342,1061977693858159,2.8538885,-1.2617443,-9.193734,-0.004276057,-0.0030543262,0.002443461,TONIC,31f4abb94fd8
1775671792350,1061977701853539,2.8514943,-1.2617443,-9.203311,-0.0036651916,-0.0030543262,0.0030543262,TONIC,31f4abb94fd8
1775671792358,1061977709848303,2.8395233,-1.2354081,-9.200917,-0.0036651916,-0.002443461,0.0012217305,TONIC,31f4abb94fd8
1775671792366,1061977717845221,2.834735,-1.2473791,-9.208099,-0.002443461,-0.004886922,0.0012217305,TONIC,31f4abb94fd8
1775671792374,1061977725869524,2.8275523,-1.2473791,-9.208099,-0.0018325958,-0.0030543262,0.0,TONIC,31f4abb94fd8
1775671792382,1061977733866748,2.8179753,-1.2449849,-9.217676,-0.002443461,-0.0030543262,6.1086525E-4,TONIC,31f4abb94fd8
1775671792390,1061977741860897,2.8203697,-1.2378023,-9.224859,-6.1086525E-4,-0.0030543262,0.0012217305,TONIC,31f4abb94fd8
1775671792398,1061977749859354,2.815581,-1.2449849,-9.200917,-0.0018325958,-0.0018325958,6.1086525E-4,TONIC,31f4abb94fd8
1775671792406,1061977757851964,2.8179753,-1.2354081,-9.212888,0.0,-0.0012217305,-6.1086525E-4,TONIC,31f4abb94fd8
1775671792414,1061977765969804,2.8060043,-1.2449849,-9.210494,0.0,-0.0012217305,0.0018325958,TONIC,31f4abb94fd8
1775671792422,1061977773844261,2.8060043,-1.2545617,-9.196129,-0.0012217305,-0.0012217305,-0.0012217305,TONIC,31f4abb94fd8
1775671792430,1061977781870410,2.7964275,-1.2401965,-9.198523,6.1086525E-4,0.0,-0.002443461,TONIC,31f4abb94fd8
1775671792438,1061977789921405,2.801216,-1.2449849,-9.215282,6.1086525E-4,-6.1086525E-4,-0.0012217305,TONIC,31f4abb94fd8
1775671792446,1061977797861091,2.80361,-1.2569559,-9.217676,6.1086525E-4,-0.0018325958,-0.0012217305,TONIC,31f4abb94fd8
