# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775672120330,1062305680923579,2.5258827,0.090979666,-9.356541,NaN,NaN,NaN,TONIC,80ca54b1d701
1775672120339,1062305689648421,2.5187001,0.11731588,-9.361329,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120347,1062305697646572,2.5258827,0.12210429,-9.351752,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120355,1062305705638261,2.5019407,0.110133275,-9.325416,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120363,1062305713636796,2.5019407,0.10534488,-9.358934,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120371,1062305721632100,2.4899697,0.10534488,-9.3421755,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120379,1062305729655866,2.4875755,0.095768064,-9.351752,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120387,1062305737651786,2.4708161,0.107739076,-9.358934,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120395,1062305745647551,2.468422,0.08379706,-9.3733,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120403,1062305753643164,2.4779987,0.090979666,-9.349358,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120411,1062305761641391,2.4708161,0.095768064,-9.337387,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120419,1062305769635849,2.4875755,0.10295067,-9.334992,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120427,1062305777180385,2.4875755,0.10534488,-9.332599,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120435,1062305785625688,2.4995465,0.08140286,-9.323022,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120443,1062305793651839,2.528277,0.06703765,-9.368511,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120451,1062305801648451,2.4995465,0.08379706,-9.349358,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120459,1062305809643217,2.5187001,0.06703765,-9.370906,6.1086525E-4,-0.0012217305,0.0018325958,TONIC,80ca54b1d701
1775672120467,1062305817640444,2.5067291,0.05267244,-9.378088,0.0036651916,0.008552114,0.0061086523,TONIC,80ca54b1d701
1775672120475,1062305825635518,2.5187001,0.04309563,-9.392453,0.0012217305,0.01038471,0.004276057,TONIC,80ca54b1d701
1775672120483,1062305833629361,2.5139117,0.06703765,-9.397242,6.1086525E-4,0.01038471,0.002443461,TONIC,80ca54b1d701
1775672120491,1062305841655511,2.4875755,0.08140286,-9.361329,0.0,0.010995574,0.0018325958,TONIC,80ca54b1d701
1775672120499,1062305849653354,2.4971523,0.10534488,-9.354146,-0.0018325958,0.010995574,0.002443461,TONIC,80ca54b1d701
1775672120507,1062305857647811,2.4995465,0.11252748,-9.323022,-0.0018325958,0.008552114,0.0018325958,TONIC,80ca54b1d701
1775672120515,1062305865642501,2.5115175,0.095768064,-9.291897,0.0,0.0061086523,0.002443461,TONIC,80ca54b1d701
1775672120523,1062305873637651,2.5258827,0.10295067,-9.26556,0.0,0.004276057,0.002443461,TONIC,80ca54b1d701
1775672120531,1062305881633571,2.5354595,0.12449849,-9.26556,0.0018325958,0.0030543262,0.004276057,TONIC,80ca54b1d701
1775672120539,1062305889630875,2.5474305,0.10295067,-9.263166,0.002443461,0.004276057,0.002443461,TONIC,80ca54b1d701
1775672120547,1062305897658564,2.5785553,0.07182605,-9.28232,0.0061086523,0.007330383,0.0018325958,TONIC,80ca54b1d701
1775672120555,1062305905652714,2.5713725,0.08619126,-9.289502,0.010995574,0.008552114,0.0,TONIC,80ca54b1d701
1775672120563,1062305913648096,2.5785553,0.074220255,-9.320627,0.012217305,0.0067195175,0.0,TONIC,80ca54b1d701
1775672120571,1062305921641861,2.5617957,0.08619126,-9.332599,0.013439035,0.007330383,-0.002443461,TONIC,80ca54b1d701
1775672120579,1062305929639089,2.5594015,0.079008654,-9.334992,0.014049901,0.009162978,-0.0030543262,TONIC,80ca54b1d701
1775672120587,1062305937635162,2.5474305,0.08619126,-9.361329,0.014660766,0.008552114,-0.002443461,TONIC,80ca54b1d701
1775672120595,1062305945628928,2.528277,0.090979666,-9.354146,0.01160644,0.007330383,-0.0018325958,TONIC,80ca54b1d701
1775672120603,1062305953656386,2.5258827,0.090979666,-9.334992,0.007941248,0.004276057,0.0,TONIC,80ca54b1d701
1775672120611,1062305961651998,2.5330653,0.107739076,-9.296685,0.0067195175,0.0061086523,0.0018325958,TONIC,80ca54b1d701
1775672120619,1062305969646149,2.528277,0.10295067,-9.277532,0.004886922,0.0030543262,6.1086525E-4,TONIC,80ca54b1d701
1775672120627,1062305977697607,2.5139117,0.095768064,-9.308656,0.0030543262,0.005497787,0.0012217305,TONIC,80ca54b1d701
1775672120635,1062305985637835,2.504335,0.09816227,-9.3182335,0.0036651916,0.004886922,0.002443461,TONIC,80ca54b1d701
1775672120643,1062305993633831,2.5258827,0.11252748,-9.330204,0.002443461,0.005497787,0.0018325958,TONIC,80ca54b1d701
1775672120651,1062306001628366,2.5067291,0.088585466,-9.346964,0.004276057,0.004276057,0.002443461,TONIC,80ca54b1d701
1775672120659,1062306009656671,2.5187001,0.09816227,-9.351752,0.0061086523,0.0012217305,0.002443461,TONIC,80ca54b1d701
1775672120667,1062306017651974,2.528277,0.090979666,-9.361329,0.004886922,-0.0012217305,0.0012217305,TONIC,80ca54b1d701
1775672120675,1062306025647356,2.5115175,0.095768064,-9.354146,0.002443461,-0.0018325958,0.0030543262,TONIC,80ca54b1d701
1775672120683,1062306033644352,2.540248,0.093373865,-9.349358,0.002443461,-0.0018325958,0.0018325958,TONIC,80ca54b1d701
1775672120691,1062306041636964,2.5210943,0.08379706,-9.323022,0.0018325958,-0.002443461,0.002443461,TONIC,80ca54b1d701
1775672120699,1062306049634500,2.5258827,0.074220255,-9.308656,-0.0012217305,-0.0018325958,0.0018325958,TONIC,80ca54b1d701
1775672120707,1062306057631034,2.5330653,0.06464344,-9.303867,-6.1086525E-4,-6.1086525E-4,0.0012217305,TONIC,80ca54b1d701
1775672120715,1062306065655031,2.5594015,0.055066638,-9.303867,0.002443461,0.0012217305,0.0,TONIC,80ca54b1d701
1775672120723,1062306073651335,2.552219,0.050278235,-9.299079,0.0030543262,0.0030543262,-0.0012217305,TONIC,80ca54b1d701
1775672120731,1062306081645871,2.5594015,0.04309563,-9.320627,0.005497787,0.005497787,-0.004886922,TONIC,80ca54b1d701
