epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775692263773,23134454229634,0.30406362,0.58897364,9.662998,0.16493362,-0.18570304,-0.35308012,FALLS,8e3acc476f00
1775692263809,23134474279683,0.24181437,0.45489833,9.490616,-0.10995574,-0.04520403,0.064751714,FALLS,8e3acc476f00
1775692263820,23134494299214,0.3184288,0.44532153,9.524135,-0.06841691,0.09040806,0.12217305,FALLS,8e3acc476f00
1775692263887,23134514318745,0.37588966,0.521936,9.607931,-0.032986723,-0.04153884,0.10629055,FALLS,8e3acc476f00
1775692263891,23134534368794,0.38067806,0.50517654,9.610326,-0.02076942,-0.04153884,0.08674286,FALLS,8e3acc476f00
1775692263893,23134554388325,0.45489833,0.51714754,9.672575,0.0036651916,-0.052534413,0.06963864,FALLS,8e3acc476f00
1775692263898,23134574407856,0.5506664,0.48123455,9.82341,0.02687807,-0.035430185,0.07819075,FALLS,8e3acc476f00
1775692263960,23134594457905,0.49559975,0.4309563,9.64145,0.028099801,-0.02443461,0.0720821,FALLS,8e3acc476f00
1775692263961,23134614538472,0.61770403,0.47644615,9.610326,0.042760566,-0.0061086523,0.07819075,FALLS,8e3acc476f00
1775692263965,23134634558003,0.5315128,0.50757074,9.622296,0.013439035,0.012217305,0.07452556,FALLS,8e3acc476f00
1775692263974,23134654577534,0.49320555,0.4333505,9.68694,0.017104227,0.013439035,0.07574729,FALLS,8e3acc476f00
1775692264003,23134674658101,0.50517654,0.62249243,9.543288,0.06841691,0.0061086523,0.04642576,FALLS,8e3acc476f00
1775692264012,23134694708149,0.48362875,0.6727707,9.469068,0.056199603,-0.010995574,0.035430185,FALLS,8e3acc476f00
1775692264047,23134714727681,0.5410896,0.33518824,9.514558,-0.004886922,-0.030543262,0.028099801,FALLS,8e3acc476f00
1775692264056,23134734777729,0.5434838,0.36870706,9.564836,-0.004886922,-0.013439035,0.018325957,FALLS,8e3acc476f00
1775692264084,23134754827778,0.5243302,0.58657944,9.583989,0.008552114,0.0012217305,0.002443461,FALLS,8e3acc476f00
1775692264095,23134774847310,0.59136784,0.46447513,9.576807,-0.008552114,-0.009773844,0.0061086523,FALLS,8e3acc476f00
1775692264142,23134794866841,0.62488663,0.4381389,9.490616,-0.004886922,-0.010995574,0.0036651916,FALLS,8e3acc476f00
1775692264144,23134814916890,0.6464345,0.48362875,9.662998,0.007330383,-0.007330383,-0.0012217305,FALLS,8e3acc476f00
1775692264153,23134834936421,0.557849,0.39983168,9.583989,-0.0012217305,-0.008552114,-0.0036651916,FALLS,8e3acc476f00
1775692264177,23134854986470,0.51954174,0.37588966,9.500193,-0.029321533,-0.028099801,-0.007330383,FALLS,8e3acc476f00
1775692264209,23134875006001,0.5746084,0.35673606,9.528923,-0.02687807,-0.030543262,-0.010995574,FALLS,8e3acc476f00
1775692264215,23134895086567,0.60573304,0.37110126,9.607931,0.0036651916,-0.03176499,-0.02076942,FALLS,8e3acc476f00
1775692264242,23134915106099,0.6488287,0.4405331,9.579201,-0.004886922,-0.029321533,-0.018325957,FALLS,8e3acc476f00
1775692264272,23134935156147,0.59615624,0.32321724,9.583989,-0.02443461,-0.009773844,-0.02076942,FALLS,8e3acc476f00
1775692264279,23134955206196,0.48362875,0.23223756,9.495404,-0.009773844,0.004886922,-0.028099801,FALLS,8e3acc476f00
1775692264303,23134975286763,0.5530606,0.29927522,9.526528,0.002443461,-0.010995574,-0.035430185,FALLS,8e3acc476f00
1775692264332,23134995336811,0.6775591,0.2777274,9.483433,-0.021991149,-0.034208454,-0.037873644,FALLS,8e3acc476f00
1775692264334,23135015386860,0.6703765,0.29927522,9.531317,-0.036651913,-0.047647487,-0.042760566,FALLS,8e3acc476f00
1775692264362,23135035406392,0.6344634,0.24660277,9.387665,-0.02565634,-0.047647487,-0.052534413,FALLS,8e3acc476f00
1775692264392,23135055425923,0.58897364,0.30645782,9.323022,-0.043982297,-0.03176499,-0.06352998,FALLS,8e3acc476f00
1775692264394,23135075445454,0.6392518,0.2681506,9.174581,-0.07941248,-0.02565634,-0.06963864,FALLS,8e3acc476f00
1775692264423,23135095495503,0.59136784,0.40701428,9.074024,-0.10262536,-0.02687807,-0.080634214,FALLS,8e3acc476f00
1775692264452,23135115515034,0.50038815,0.39025488,8.9040365,-0.12461651,-0.028099801,-0.105068825,FALLS,8e3acc476f00
1775692264454,23135135534565,0.45010993,0.25617957,8.813056,-0.1685988,-0.052534413,-0.11484267,FALLS,8e3acc476f00
1775692264483,23135155554097,0.58418524,0.25378537,8.722076,-0.24190263,-0.13927728,-0.15271631,FALLS,8e3acc476f00
1775692264512,23135175573628,0.6488287,0.39743748,8.860941,-0.22357668,-0.1160644,-0.14294247,FALLS,8e3acc476f00
1775692264541,23135195593159,0.6536171,0.2801216,8.815451,-0.21013765,-0.073303826,-0.15760323,FALLS,8e3acc476f00
1775692264543,23135215612690,0.533907,1.3670892,7.73806,-0.32498032,-0.16982053,-0.25045475,FALLS,8e3acc476f00
1775692264572,23135235662739,0.79487497,0.08619126,7.7452426,-0.50701815,-0.12217305,-0.23457226,FALLS,8e3acc476f00
1775692264581,23135255712788,0.6392518,-0.009576807,7.9726915,-0.47036624,0.030543262,-0.24801129,FALLS,8e3acc476f00
1775692264604,23135275762837,0.4213795,0.30406362,7.2568254,-0.41416663,-0.07696902,-0.22113322,FALLS,8e3acc476f00
1775692264635,23135295782368,0.14844051,0.80924016,7.28795,-0.77091193,-0.29565877,-0.28955013,FALLS,8e3acc476f00
1775692264637,23135315832417,0.2705448,-0.6943185,7.5680714,-0.9981538,-0.35185838,-0.05009095,FALLS,8e3acc476f00
1775692264666,23135335851948,0.39983168,-1.3838485,7.347805,-0.8368854,-0.44226643,-0.058643065,FALLS,8e3acc476f00
1775692264696,23135355932515,0.7637503,-0.48602295,6.217742,-0.3640757,-0.4642576,-0.040317107,FALLS,8e3acc476f00
1775692264698,23135375982563,0.45729253,-0.3184288,6.0525417,-0.10873401,-0.2724459,0.15027285,FALLS,8e3acc476f00
1775692264727,23135396063130,0.088585466,-0.7134721,6.2823853,-0.20769419,-0.20158553,0.2284636,FALLS,8e3acc476f00
1775692264756,23135416143696,0.24181437,-0.33039984,6.126762,-0.039095376,-0.2602286,0.25900686,FALLS,8e3acc476f00
1775692264758,23135436193745,0.49081135,-0.31124622,5.8083334,0.09040806,-0.28955013,0.2932153,FALLS,8e3acc476f00
1775692264786,23135456304829,0.7517793,-0.45010993,5.674258,0.172264,-0.22724187,0.33475417,FALLS,8e3acc476f00
1775692264840,23135476354878,0.92895025,-0.4429273,5.535394,0.21991149,-0.12095132,0.3567453,FALLS,8e3acc476f00
1775692264843,23135496404927,0.8643068,-0.32800564,5.559336,0.13683382,-0.021991149,0.36285394,FALLS,8e3acc476f00
1775692264846,23135516454976,0.94331545,-0.81402856,5.889736,0.05009095,0.02321288,0.40194935,FALLS,8e3acc476f00
1775692264876,23135536474507,1.2665327,-0.94092125,5.3941364,0.10995574,0.047647487,0.43493605,FALLS,8e3acc476f00
1775692264878,23135556494038,1.2186487,-0.59615624,4.819528,0.22479841,0.15515977,0.4373795,FALLS,8e3acc476f00
1775692264915,23135576513569,0.78290397,-0.89064306,4.709395,0.17470746,0.24190263,0.3921755,FALLS,8e3acc476f00
1775692264917,23135596563618,0.63206923,-1.5945383,5.121197,0.037873644,0.1441642,0.30665436,FALLS,8e3acc476f00
1775692264947,23135616613667,0.62488663,-2.3391352,6.4906807,-0.15882497,-0.17348573,0.09896017,FALLS,8e3acc476f00
1775692264975,23135636633198,1.2545617,-5.389348,11.659762,-0.23579398,-0.6792821,-0.119729586,FALLS,8e3acc476f00
1775692264977,23135656683247,3.845088,-8.626308,14.635755,-0.06841691,-1.4440855,-0.22357668,FALLS,8e3acc476f00
1775692265030,23135676702778,6.6103907,-8.719683,14.355634,0.5497787,-1.4049901,-0.28710666,FALLS,8e3acc476f00
1775692265032,23135696722310,6.6056023,-5.837064,14.398729,1.0323622,-0.64873886,-0.33841935,FALLS,8e3acc476f00
1775692265035,23135716741841,6.14831,-3.6104562,14.688427,0.593761,-0.0012217305,0.015882496,FALLS,8e3acc476f00
1775692265065,23135736761372,4.6710877,-2.7988217,13.757083,-0.64996064,0.36651915,0.2602286,FALLS,8e3acc476f00
1775692265121,23135756780903,3.181894,-2.9735985,13.108254,-1.2388347,0.59131753,0.39706242,FALLS,8e3acc476f00
1775692265123,23135776800435,2.2601264,-3.4261026,13.187263,-0.79779,0.64996064,0.30665436,FALLS,8e3acc476f00
1775692265125,23135796850483,2.1068976,-3.9935284,17.278954,-0.408058,0.2565634,-0.04886922,FALLS,8e3acc476f00
1775692265155,23135816870015,5.149928,-3.1675289,17.484856,-0.49968776,-0.3555236,-0.43004912,FALLS,8e3acc476f00
1775692265157,23135836889546,5.4420204,-1.8914193,15.868769,-0.9077458,-0.30176744,-0.66339964,FALLS,8e3acc476f00
1775692265213,23135856970112,2.0470424,0.079008654,17.621325,-1.5247196,0.3494149,-0.61819565,FALLS,8e3acc476f00
1775692265214,23135876989644,-0.22505496,0.545878,16.943766,-1.627345,0.6010914,-0.12217305,FALLS,8e3acc476f00
1775692265223,23135897039692,0.059855044,2.4995465,14.295778,-0.6450737,0.61819565,0.45204028,FALLS,8e3acc476f00
1775692265248,23135917059224,-0.1388637,3.5936968,11.853693,0.43004912,0.91874135,0.5534439,FALLS,8e3acc476f00
1775692265304,23135937109272,-1.2545617,3.6248214,11.252748,0.8185594,0.9456194,0.43127087,FALLS,8e3acc476f00
1775692265305,23135957159321,-1.5275006,3.6056678,10.608707,0.78801614,0.8038987,0.32986724,FALLS,8e3acc476f00
1775692265309,23135977239888,-1.3120226,3.2034419,10.156203,0.5143485,0.5522222,0.12705997,FALLS,8e3acc476f00
1775692265316,23135997259419,-1.436521,1.7286136,10.172963,0.2968805,0.37140608,0.015882496,FALLS,8e3acc476f00
1775692265347,23136017309468,-0.92655605,0.61291564,9.471462,0.9443977,0.18203785,-0.05009095,FALLS,8e3acc476f00
1775692265356,23136037390034,-0.51714754,1.6950948,8.279149,1.428203,0.058643065,-0.19058995,FALLS,8e3acc476f00
1775692265381,23136057440083,-0.34237084,1.3120226,9.581595,1.1227703,-0.037873644,-0.105068825,FALLS,8e3acc476f00
1775692265416,23136077490132,0.47165772,0.16759412,11.2312,0.6646214,-0.2125811,-0.07941248,FALLS,8e3acc476f00
1775692265418,23136097509663,1.5777789,-0.02633622,11.556811,0.5216789,-0.25167647,-0.009773844,FALLS,8e3acc476f00
1775692265471,23136117559712,1.0534488,0.9864111,11.116279,0.5522222,0.11484267,0.058643065,FALLS,8e3acc476f00
1775692265472,23136137579243,0.15801731,1.6783354,10.402806,0.52778757,0.22724187,0.17348573,FALLS,8e3acc476f00
1775692265503,23136157629292,0.35194764,1.9393034,9.876082,0.35918877,0.18448131,0.21624629,FALLS,8e3acc476f00
1775692265507,23136177679341,-0.35913026,2.5019407,8.506598,0.37995818,0.14294247,0.13561209,FALLS,8e3acc476f00
1775692265516,23136197698872,-0.5650316,3.4117374,8.063671,0.37751472,-0.034208454,0.1001819,FALLS,8e3acc476f00
1775692265563,23136217748921,0.60333884,0.8475474,7.9008656,-0.2565634,-0.12095132,0.0842994,FALLS,8e3acc476f00
1775692265565,23136237768452,0.5434838,-1.0079589,8.544906,0.11728613,0.06841691,-0.09896017,FALLS,8e3acc476f00
1775692265576,23136257818501,0.842759,-0.023942016,8.628703,0.96761054,-0.20158553,0.014660766,FALLS,8e3acc476f00
1775692265605,23136277838032,0.19393034,1.283292,8.980651,1.0567969,0.059864793,-0.13194689,FALLS,8e3acc476f00
1775692265615,23136297857563,0.11971009,0.81642276,9.459491,0.28099802,-0.15515977,-0.030543262,FALLS,8e3acc476f00
1775692265639,23136317877095,1.4676456,-0.46926352,9.200917,-0.13072516,-0.37140608,0.028099801,FALLS,8e3acc476f00
1775692265694,23136337896626,1.6879122,-0.25617957,9.294291,0.21746802,-0.09896017,0.02565634,FALLS,8e3acc476f00
1775692265697,23136357977192,0.581791,0.91458505,9.323022,0.548557,0.19181168,-0.012217305,FALLS,8e3acc476f00
1775692265699,23136378027241,0.22026655,1.3239936,9.260772,0.3286455,0.14172074,0.008552114,FALLS,8e3acc476f00
1775692265728,23136398077290,0.58897364,0.5291186,9.136273,0.009773844,-0.013439035,0.028099801,FALLS,8e3acc476f00
1775692265783,23136418157856,0.8714894,0.41180268,9.085996,0.09773844,0.04520403,0.02076942,FALLS,8e3acc476f00
1775692265785,23136438207905,0.39983168,0.90021986,9.196129,0.2443461,0.14782938,0.004886922,FALLS,8e3acc476f00
1775692265787,23136458288472,0.36631286,1.0175357,9.167398,0.09773844,0.080634214,0.015882496,FALLS,8e3acc476f00
1775692265821,23136478369038,0.6655881,0.7062895,9.291897,-0.036651913,-0.04153884,0.021991149,FALLS,8e3acc476f00
1775692265825,23136498419087,0.89543146,0.6440403,9.442732,0.036651913,-0.04153884,0.012217305,FALLS,8e3acc476f00
1775692265862,23136518469136,0.8403648,0.7757214,9.706094,0.09896017,0.03176499,-0.013439035,FALLS,8e3acc476f00
1775692265864,23136538580220,0.7445967,0.6991069,9.832987,0.017104227,0.039095376,-0.017104227,FALLS,8e3acc476f00
