# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775672040530,1062225881945778,2.3870192,-1.0055647,-9.320627,NaN,NaN,NaN,TONIC,9f98c645e3d7
1775672040539,1062225890030400,2.420538,-0.9768343,-9.337387,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040547,1062225898025561,2.4301147,-0.9744401,-9.339781,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040555,1062225906022413,2.4396915,-0.9816227,-9.344569,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040563,1062225914019112,2.4157495,-1.0007763,-9.349358,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040571,1062225922015734,2.4109612,-1.0079589,-9.339781,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040579,1062225930007663,2.4109612,-1.0055647,-9.344569,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040587,1062225938035439,2.4061728,-1.0007763,-9.339781,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040595,1062225946030830,2.4013844,-0.9959879,-9.330204,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040603,1062225954026220,2.4157495,-0.9959879,-9.306262,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040611,1062225962022843,2.396596,-1.0031705,-9.313444,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040619,1062225970110156,2.4181437,-0.9888053,-9.294291,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040627,1062225978014470,2.420538,-0.9959879,-9.31105,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040635,1062225986010246,2.4253263,-1.0079589,-9.303867,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040643,1062225994034252,2.4468741,-0.9959879,-9.31105,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040651,1062226002032412,2.4420857,-1.0055647,-9.31105,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040659,1062226010027496,2.4277205,-1.0223241,-9.313444,0.93034774,1.9101756,0.6114761,TONIC,9f98c645e3d7
1775672040667,1062226018046887,2.4396915,-1.0127473,-9.306262,0.004886922,-6.1086525E-4,0.014660766,TONIC,9f98c645e3d7
1775672040675,1062226026018201,2.44448,-1.0223241,-9.306262,0.004276057,0.0,0.015271631,TONIC,9f98c645e3d7
1775672040683,1062226034013054,2.4588451,-1.0199299,-9.31105,0.005497787,0.0,0.015271631,TONIC,9f98c645e3d7
1775672040691,1062226042008983,2.4516625,-1.0319009,-9.306262,0.004886922,0.0012217305,0.014049901,TONIC,9f98c645e3d7
