epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775692293812,23164493976928,1.2234371,-0.04309563,9.55047,0.13927728,-0.19058995,-0.33475417,FALLS,a91284986b97
1775692293862,23164514026977,1.1803415,-0.050278235,9.591172,-0.12583824,-0.029321533,0.047647487,FALLS,a91284986b97
1775692293864,23164534077026,1.0462662,-0.44771573,9.7324295,-0.065973446,0.14905111,0.05131268,FALLS,a91284986b97
1775692293875,23164554127074,1.2665327,-0.3854665,9.727641,0.02076942,-0.004886922,0.058643065,FALLS,a91284986b97
1775692293916,23164574177123,1.1659763,0.007182605,9.416395,0.07819075,0.029321533,0.058643065,FALLS,a91284986b97
1775692293919,23164594227172,0.90979666,0.19871874,9.437943,0.019547688,0.0842994,0.06719518,FALLS,a91284986b97
1775692293945,23164614246703,0.78050977,-0.05267244,9.646238,-0.103847094,0.040317107,0.09162979,FALLS,a91284986b97
1775692293954,23164634296752,1.0319009,-0.15562311,9.555259,-0.12217305,-0.03176499,0.1282817,FALLS,a91284986b97
1775692293979,23164654316283,1.2090719,0.08379706,9.344569,-0.042760566,-0.032986723,0.11728613,FALLS,a91284986b97
1775692294028,23164674335815,0.8858546,0.39983168,9.13388,-0.02076942,0.03176499,0.15027285,FALLS,a91284986b97
1775692294030,23164694416381,0.7589619,0.06943185,9.344569,-0.039095376,0.0061086523,0.13683382,FALLS,a91284986b97
1775692294031,23164714435912,0.9864111,-0.06943185,9.524135,0.0012217305,-0.06841691,0.15760323,FALLS,a91284986b97
1775692294062,23164734455443,0.80445176,-0.10055647,9.572019,-0.105068825,-0.19792034,0.015882496,FALLS,a91284986b97
1775692294108,23164754474975,1.1755531,-0.30166942,9.7324295,-0.105068825,-0.15393804,0.11362094,FALLS,a91284986b97
1775692294110,23164774525024,1.1444284,-0.24181437,9.785102,-0.021991149,-0.0720821,0.11728613,FALLS,a91284986b97
1775692294115,23164794575072,1.3024458,-0.37110126,9.5385,-0.004886922,-0.073303826,0.11484267,FALLS,a91284986b97
1775692294155,23164814625121,1.3000516,0.19393034,9.433155,-0.014660766,-0.10995574,0.015882496,FALLS,a91284986b97
1775692294159,23164834644652,1.3910311,-0.076614454,9.385271,-0.10995574,-0.07819075,0.05009095,FALLS,a91284986b97
1775692294186,23164854694701,1.4796166,-0.34715924,9.437943,-0.13683382,-0.02076942,-0.007330383,FALLS,a91284986b97
1775692294209,23164874714233,1.4221559,-0.4237737,9.464279,-0.089186326,-0.030543262,-0.019547688,FALLS,a91284986b97
1775692294231,23164894733764,1.4293385,-0.32800564,9.43076,-0.042760566,-0.008552114,-0.035430185,FALLS,a91284986b97
1775692294239,23164914783813,1.2856863,-0.31364042,9.394848,-0.05497787,0.02565634,-0.052534413,FALLS,a91284986b97
1775692294258,23164934803344,1.2425907,-0.4141969,9.361329,-0.09040806,0.032986723,-0.064751714,FALLS,a91284986b97
1775692294281,23164954853393,1.1803415,-0.48362875,9.3661175,-0.14538592,-0.012217305,-0.096516706,FALLS,a91284986b97
1775692294306,23164974903442,1.2497733,-0.6799533,9.337387,-0.1600467,-0.052534413,-0.10995574,FALLS,a91284986b97
1775692294313,23164994922973,1.352724,-0.6512229,9.174581,-0.12705997,-0.06841691,-0.111177474,FALLS,a91284986b97
1775692294337,23165014973022,1.4053963,-0.533907,9.066842,-0.13072516,-0.07574729,-0.12339478,FALLS,a91284986b97
1775692294353,23165035023070,1.3144168,-0.5626374,8.750807,-0.1881465,-0.0720821,-0.13561209,FALLS,a91284986b97
1775692294392,23165055042602,1.151611,-0.60333884,8.552089,-0.29077184,-0.06352998,-0.13927728,FALLS,a91284986b97
