# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775692158741,1082344091366602,-1.9800048,-9.725247,-0.47644615,NaN,NaN,NaN,FALLS,aa217a04d094
1775692158750,1082344100095547,-2.0925324,-9.622296,-0.2705448,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158758,1082344108090643,-2.4540567,-9.581595,-0.79726917,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158766,1082344116086125,-2.5833437,-9.392453,-1.4676456,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158774,1082344124081837,-1.6663644,-9.41879,-0.93134445,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158782,1082344132080548,-1.5298948,-9.576807,-1.0271125,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158790,1082344140074491,-1.2785037,-9.588778,-1.3383588,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158798,1082344148100665,-1.1013328,-9.423578,-1.4939818,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158806,1082344156097530,-1.0582372,-9.107543,-1.6950948,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158814,1082344164091089,-0.9911995,-8.659827,-1.7956513,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158822,1082344172087800,-0.91458505,-8.329428,-1.7741034,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158830,1082344180082820,-1.0007763,-8.015787,-1.5490485,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158838,1082344188078225,-1.0319009,-7.469909,-1.5059528,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158846,1082344196073013,-1.8195933,-7.0844426,-1.8219875,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158854,1082344204099264,-1.4532804,-7.1490865,-2.695871,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158862,1082344212096821,-1.5059528,-7.117962,-2.6982653,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158870,1082344220091918,-2.0685902,-6.9048777,-2.6479871,0.14538592,-0.30726522,-6.1086525E-4,FALLS,aa217a04d094
1775692158878,1082344228088785,-2.6719291,-6.50744,-2.6839,-2.973081,0.03970624,0.12950343,FALLS,aa217a04d094
1775692158886,1082344236082650,-2.4133554,-6.1626754,-2.813187,-3.023783,-0.13072516,0.17287487,FALLS,aa217a04d094
1775692158894,1082344244077824,-2.2385786,-5.8586116,-4.0342298,-3.023783,-0.55771995,0.2302962,FALLS,aa217a04d094
1775692158902,1082344252074458,-2.2816741,-5.801151,-6.033388,-3.0457742,-0.6933321,0.25961772,FALLS,aa217a04d094
1775692158910,1082344260071632,-2.2816741,-6.0597243,-5.7508726,-3.1300735,-0.5369505,0.29871312,FALLS,aa217a04d094
1775692158918,1082344268094806,-2.4995465,-5.9184666,-5.020641,-3.1251867,-0.34330627,0.32986724,FALLS,aa217a04d094
1775692158926,1082344276091363,-2.2050598,-5.686229,-4.8506527,-3.0329459,-0.15943582,0.38056904,FALLS,aa217a04d094
1775692158934,1082344284085614,-1.8674773,-5.451597,-5.389348,-2.888171,0.08002335,0.41355577,FALLS,aa217a04d094
1775692158942,1082344292084402,-1.8339585,-4.9823337,-6.227319,-2.8441887,0.13316862,0.40194935,FALLS,aa217a04d094
1775692158950,1082344300077961,-1.70946,-4.4005427,-7.4603324,-2.8539624,0.08124508,0.4098906,FALLS,aa217a04d094
1775692158958,1082344308073288,-1.7956513,-4.187459,-8.432379,-2.886949,-0.0421497,0.44043383,FALLS,aa217a04d094
1775692158966,1082344316098615,-1.6543933,-3.8738184,-8.336611,-2.9309313,-0.12950343,0.5235115,FALLS,aa217a04d094
1775692158974,1082344324094866,-1.1300632,-4.0414124,-6.9862804,-2.9046643,0.014049901,0.5858198,FALLS,aa217a04d094
1775692158982,1082344332091271,-0.6536171,-4.367024,-5.2600613,-2.8050933,0.38056904,0.61453044,FALLS,aa217a04d094
