epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775670831744,1702426587946,0.46447513,1.8052281,9.646238,0.14782938,-0.18081611,-0.35185838,JERKING,ac760cfc1489
1775670831765,1702446607477,0.45968673,1.70946,9.557653,-0.118507855,-0.052534413,0.028099801,JERKING,ac760cfc1489
1775670831835,1702466657526,0.6823475,1.5610195,9.507375,-0.073303826,0.103847094,0.018325957,JERKING,ac760cfc1489
1775670831837,1702486677057,0.59376204,1.4437037,9.581595,-0.037873644,-0.0036651916,-0.0061086523,JERKING,ac760cfc1489
1775670831839,1702506757623,0.5793968,1.5658079,9.516952,0.015882496,-0.012217305,-0.012217305,JERKING,ac760cfc1489
1775670831847,1702526807672,0.63206923,1.5658079,9.488221,0.019547688,-0.02321288,-0.019547688,JERKING,ac760cfc1489
1775670831877,1702546888238,0.5243302,1.532289,9.423578,-0.0061086523,-0.0036651916,-0.0061086523,JERKING,ac760cfc1489
1775670831916,1702566938287,0.49081135,1.5849615,9.461885,-0.017104227,-0.018325957,0.018325957,JERKING,ac760cfc1489
1775670831918,1702587049371,0.50517654,1.5035586,9.361329,-0.008552114,-0.05131268,0.030543262,JERKING,ac760cfc1489
1775670831926,1702607129938,0.58657944,1.4149733,9.435549,-0.02076942,-0.040317107,0.02687807,JERKING,ac760cfc1489
1775670831955,1702627179987,0.62488663,1.4460979,9.423578,-0.03176499,-0.02565634,0.008552114,JERKING,ac760cfc1489
1775670831991,1702647260553,0.6823475,1.5155296,9.583989,-0.02443461,-0.013439035,0.008552114,JERKING,ac760cfc1489
1775670831993,1702667341119,0.7398083,1.7262194,9.416395,-0.02443461,-0.009773844,0.037873644,JERKING,ac760cfc1489
1775670832027,1702687421686,1.364695,2.0590134,9.49301,-0.059864793,0.056199603,0.10140363,JERKING,ac760cfc1489
1775670832029,1702707241217,0.5434838,1.9871874,9.581595,-0.07819075,0.2406809,0.21013765,JERKING,ac760cfc1489
1775670832063,1702727060748,0.7350199,2.360683,9.356541,-0.15027285,0.1001819,0.23335053,JERKING,ac760cfc1489
1775670832071,1702747080279,1.970428,2.1643584,8.908825,-0.30787608,-0.04642576,0.004886922,JERKING,ac760cfc1489
1775670832135,1702766999811,1.9249382,2.1164744,9.0237465,-0.6365216,0.17959438,-0.48502702,JERKING,ac760cfc1489
1775670832138,1702787019342,1.9297266,1.9871874,8.202535,-1.070236,0.43249258,-0.59986967,JERKING,ac760cfc1489
1775670832140,1702807008356,1.8579005,2.348712,8.695741,-1.6749926,0.7819075,-1.0458013,JERKING,ac760cfc1489
1775670832149,1702827058404,0.1340753,3.0071173,9.703699,-2.506991,0.43004912,-1.001819,JERKING,ac760cfc1489
1775670832213,1702847077936,2.3774424,-0.5243302,10.395624,-2.8490756,0.04153884,-0.9419542,JERKING,ac760cfc1489
1775670832216,1702867097467,6.3589997,1.7717092,8.4587145,-3.0286698,-0.37873647,-1.6676621,JERKING,ac760cfc1489
1775670832218,1702887116998,3.8546648,0.260968,8.226477,-4.119675,0.94806284,-3.273016,JERKING,ac760cfc1489
1775670832225,1702907136529,1.1252748,-4.331111,9.035717,-4.401895,2.1087067,-1.505172,JERKING,ac760cfc1489
1775670832259,1702927156061,-0.30645782,-4.3143516,8.497022,-3.5992181,1.9462167,-1.9706513,JERKING,ac760cfc1489
1775670832265,1702947175592,-0.33279404,-4.027047,7.627927,-2.90161,1.5039502,-1.8863518,JERKING,ac760cfc1489
1775670832297,1702967225641,0.24181437,-3.916914,6.540959,-2.6865854,1.3243558,-1.7983873,JERKING,ac760cfc1489
1775670832306,1702987214654,-0.11971009,-4.3287168,5.437232,-2.6267207,1.3805555,-1.9449949,JERKING,ac760cfc1489
1775670832334,1703007264703,-0.24660277,-4.43885,5.5401826,-2.6535985,1.4049901,-2.0329595,JERKING,ac760cfc1489
1775670832369,1703027284235,-0.7278373,-5.116409,5.494693,-2.6914723,1.6310102,-2.07572,JERKING,ac760cfc1489
1775670832370,1703047303766,-1.1348516,-5.434838,5.3366756,-2.7635543,1.6676621,-2.1416936,JERKING,ac760cfc1489
1775670832404,1703067323297,-1.2330139,-5.9807158,5.1762643,-2.9553661,1.6285667,-2.225993,JERKING,ac760cfc1489
1775670832406,1703087342828,-1.2569559,-7.1849995,4.498705,-3.1630602,1.6249015,-2.2321017,JERKING,ac760cfc1489
1775670832441,1703107362360,-1.2473791,-8.231265,4.1252093,-3.4746015,1.6554449,-2.2064452,JERKING,ac760cfc1489
1775670832475,1703127381891,-1.3239936,-9.876082,3.8546648,-3.7665951,1.7715092,-2.1881194,JERKING,ac760cfc1489
1775670832477,1703147401422,-1.4269443,-10.896012,3.6894648,-3.8838813,1.8142698,-2.1282544,JERKING,ac760cfc1489
1775670832510,1703167420953,-1.5394717,-12.23437,4.050989,-3.5992181,1.8643607,-1.9743165,JERKING,ac760cfc1489
1775670832512,1703187440485,-1.3335704,-13.998898,4.0653543,-3.2424726,1.6945401,-1.7116444,JERKING,ac760cfc1489
1775670832547,1703207460016,-1.043872,-14.717158,3.8163576,-2.6829202,1.4465289,-1.3096951,JERKING,ac760cfc1489
1775670832549,1703227479547,-0.9624691,-14.800955,3.502717,-1.7800614,1.3891076,-0.8576548,JERKING,ac760cfc1489
1775670832583,1703247499078,-0.94092125,-14.1904335,2.8275523,-1.0885619,1.3536774,-0.40683624,JERKING,ac760cfc1489
1775670832585,1703267518610,-1.0271125,-13.891158,2.4995465,-0.79779,1.2547172,0.07086037,JERKING,ac760cfc1489
1775670832626,1703287507623,-1.2258313,-13.869611,2.5115175,-0.7648033,1.078788,0.44837508,JERKING,ac760cfc1489
1775670832628,1703307557672,-1.4676456,-13.548787,2.2050598,-0.57543504,0.91507614,0.71593404,JERKING,ac760cfc1489
1775670832699,1703327546686,-1.5921441,-13.204022,2.0685902,-0.24923302,0.8002335,1.0274754,JERKING,ac760cfc1489
1775670832704,1703347596735,-1.5442601,-12.476185,1.9608512,0.07819075,0.66950834,1.3390167,JERKING,ac760cfc1489
1775670832706,1703367616266,-1.6017209,-12.172121,1.6927006,0.2406809,0.5888741,1.613906,JERKING,ac760cfc1489
1775670832755,1703387635797,-1.6328455,-11.556811,1.9153614,0.19181168,0.45448375,1.817935,JERKING,ac760cfc1489
1775670832775,1703407555328,-1.6591818,-11.33894,1.769315,0.30543262,0.30543262,2.0280726,JERKING,ac760cfc1489
1775670832778,1703427574860,-1.7764976,-10.658986,1.7046716,0.5363397,0.22724187,2.1746802,JERKING,ac760cfc1489
1775670832791,1703447594391,-1.910573,-9.749189,1.7836803,0.83077675,0.18692477,2.2858577,JERKING,ac760cfc1489
1775670832792,1703467613922,-1.9800048,-9.437943,2.2002714,0.9272934,0.111177474,2.3371704,JERKING,ac760cfc1489
1775670832838,1703487633453,-1.8291701,-8.784326,2.3391352,1.0519099,-0.0012217305,2.3090706,JERKING,ac760cfc1489
1775670832840,1703507652985,-1.7645266,-7.9870567,2.3319526,1.2791518,-0.012217305,2.26631,JERKING,ac760cfc1489
1775670832846,1703527672516,-1.7956513,-7.6949644,2.5306711,1.2327261,0.061086524,2.1636846,JERKING,ac760cfc1489
1775670832867,1703547692047,-1.9776106,-7.326257,2.7246015,1.1044444,0.06719518,2.0830505,JERKING,ac760cfc1489
1775670832900,1703567711578,-2.231396,-6.8929067,2.621651,0.95172805,0.087964594,1.9401081,JERKING,ac760cfc1489
1775670832998,1703587731110,-2.6671407,-6.7133417,2.6551697,0.766025,0.17592919,1.8411479,JERKING,ac760cfc1489
1775670833000,1703607750641,-3.2034419,-6.6103907,2.9017725,0.5412266,0.24190263,1.6762142,JERKING,ac760cfc1489
1775670833004,1703627770172,-3.8019924,-6.4308257,3.1723173,0.27977628,0.2773328,1.4391985,JERKING,ac760cfc1489
1775670833006,1703647789703,-4.175488,-5.590461,3.1411927,0.25167647,0.28344148,1.3561208,JERKING,ac760cfc1489
1775670833012,1703667870270,-4.795586,-4.9775453,2.707842,0.24678956,0.35796702,1.2461652,JERKING,ac760cfc1489
1775670833014,1703687920319,-5.707777,-4.4125137,2.5187001,0.10140363,0.40317106,0.98349303,JERKING,ac760cfc1489
1775670833028,1703707970367,-5.9807158,-4.0701427,2.6671407,0.07574729,0.3005457,0.6951646,JERKING,ac760cfc1489
1775670833052,1703727989899,-6.090849,-4.0174704,2.801216,0.13561209,0.1685988,0.4361578,JERKING,ac760cfc1489
1775670833066,1703748039947,-6.129156,-3.7660792,2.3870192,0.11362094,0.062308256,0.16493362,JERKING,ac760cfc1489
1775670833086,1703768089996,-6.3206925,-3.1747115,2.0757728,0.15882497,0.015882496,-0.06352998,JERKING,ac760cfc1489
1775670833106,1703788140045,-6.4020953,-3.4380736,2.2481554,0.19303341,-0.096516706,-0.23090707,JERKING,ac760cfc1489
1775670833127,1703808190094,-6.1770406,-3.5913026,2.1787236,0.032986723,-0.312763,-0.46914452,JERKING,ac760cfc1489
1775670833147,1703828240143,-5.710171,-4.4580035,2.4947581,-0.13683382,-0.4605924,-0.6731735,JERKING,ac760cfc1489
1775670833168,1703848259674,-5.5042696,-4.8937483,2.8874073,-0.27000242,-0.5729916,-0.8686504,JERKING,ac760cfc1489
1775670833192,1703868309723,-5.2385135,-5.4563856,3.3159695,-0.1966986,-0.6536258,-1.0030408,JERKING,ac760cfc1489
1775670833214,1703888359772,-4.831499,-5.3701944,3.1675289,-0.052534413,-0.7098254,-1.142318,JERKING,ac760cfc1489
1775670833235,1703908409821,-4.6232033,-5.911284,3.359065,0.062308256,-0.68294734,-1.2583824,JERKING,ac760cfc1489
1775670833255,1703928490387,-4.1539397,-5.758055,3.1627405,-0.16126843,-0.75747293,-1.4123205,JERKING,ac760cfc1489
1775670833281,1703948540436,-3.6703112,-5.925649,3.1148565,-0.23090707,-0.7501425,-1.5589281,JERKING,ac760cfc1489
1775670833287,1703968559967,-3.4117374,-6.6103907,3.394978,-0.36041048,-0.74281216,-1.5833627,JERKING,ac760cfc1489
1775670833314,1703988579498,-2.8993783,-7.067683,3.2561142,-0.56199604,-0.79534656,-1.7837266,JERKING,ac760cfc1489
1775670833328,1704008568512,-2.3918076,-7.410054,3.2345665,-0.50701815,-0.7122689,-1.8020525,JERKING,ac760cfc1489
1775670833348,1704028618561,-2.2649148,-7.9032598,3.5122938,-0.5546656,-0.59742624,-1.8643607,JERKING,ac760cfc1489
1775670833380,1704048607574,-2.0159178,-8.379706,3.2034419,-0.73914695,-0.52412236,-1.91323,JERKING,ac760cfc1489
1775670833386,1704068657623,-1.5394717,-10.184934,3.7565024,-0.8943067,-0.52412236,-1.9205604,JERKING,ac760cfc1489
1775670833415,1704088677154,-1.0749966,-11.176133,4.1611223,-0.6243043,-0.59620446,-1.9511036,JERKING,ac760cfc1489
1775670833426,1704108696686,-0.9696517,-11.061212,3.4500446,0.06352998,-0.36651915,-1.6811012,JERKING,ac760cfc1489
1775670833447,1704128746735,-1.6998832,-9.531317,3.1842883,0.25411993,-0.0842994,-1.5564847,JERKING,ac760cfc1489
1775670833469,1704148766266,-2.0135236,-9.437943,3.1483753,-0.3359759,-0.15027285,-1.5332718,JERKING,ac760cfc1489
1775670833492,1704168785797,-1.3335704,-11.317391,3.9743748,-0.83077675,-0.35308012,-1.5222762,JERKING,ac760cfc1489
1775670833511,1704188835846,-0.46686932,-12.976573,4.2185836,-0.45814893,-0.45814893,-1.3658947,JERKING,ac760cfc1489
1775670833539,1704208855377,-0.16519992,-12.864046,3.9839516,-0.04520403,-0.3921755,-1.1154399,JERKING,ac760cfc1489
1775670833553,1704228874908,-0.94570965,-12.334928,4.3023806,0.103847094,-0.12950343,-0.7892379,JERKING,ac760cfc1489
1775670833571,1704248894440,-1.4508862,-12.488156,4.232949,0.15149458,-0.05009095,-0.5717699,JERKING,ac760cfc1489
1775670833610,1704268913971,-1.283292,-12.679692,4.307169,0.0061086523,-0.15393804,-0.31520647,JERKING,ac760cfc1489
1775670833614,1704288902985,-1.0510546,-13.13459,4.5561657,-0.16249016,-0.12217305,-0.034208454,JERKING,ac760cfc1489
1775670833628,1704308922516,-0.8571242,-13.496115,4.620809,-0.062308256,-0.021991149,0.2932153,JERKING,ac760cfc1489
1775670833650,1704328972565,-0.94331545,-12.72997,4.3287168,0.12339478,0.07819075,0.6267477,JERKING,ac760cfc1489
1775670833669,1704349022613,-1.2569559,-11.824963,4.235343,0.18448131,0.23579398,0.9236283,JERKING,ac760cfc1489
1775670833690,1704369011627,-1.4030021,-11.386824,4.220978,0.13683382,0.27855456,1.1178834,JERKING,ac760cfc1489
1775670833717,1704389061676,-1.1013328,-10.979809,4.0318356,0.14905111,0.24923302,1.2742649,JERKING,ac760cfc1489
1775670833733,1704409081207,-1.0893618,-10.635044,3.787627,0.29932398,0.28588495,1.4086553,JERKING,ac760cfc1489
1775670833777,1704429070221,-1.2425907,-9.921572,3.691859,0.42638394,0.33841935,1.5039502,JERKING,ac760cfc1489
1775670833779,1704449120270,-1.5107412,-9.198523,3.5051112,0.2932153,0.3848451,1.5735888,JERKING,ac760cfc1489
1775670833792,1704469139801,-1.8531121,-9.224859,3.787627,0.1160644,0.38973203,1.6212363,JERKING,ac760cfc1489
1775670833814,1704489159332,-1.9009962,-9.82341,3.6535518,0.09285152,0.32620203,1.7067575,JERKING,ac760cfc1489
1775670833828,1704509178863,-1.9776106,-9.524135,3.6655228,0.3359759,0.30665436,1.7666223,JERKING,ac760cfc1489
1775670833849,1704529167877,-2.3319526,-8.781932,3.620033,0.62796944,0.42638394,1.8106046,JERKING,ac760cfc1489
1775670833868,1704549248444,-2.8203697,-7.8146744,3.5913026,0.73426,0.535118,1.772731,JERKING,ac760cfc1489
1775670833898,1704569267975,-3.13401,-6.943185,3.632004,0.6731735,0.5338962,1.7006488,JERKING,ac760cfc1489
1775670833906,1704589287506,-3.466804,-6.622362,3.739743,0.41050145,0.5571091,1.6468927,JERKING,ac760cfc1489
1775670833928,1704609307037,-3.7588966,-6.619968,3.4261026,0.14049901,0.5742133,1.5723672,JERKING,ac760cfc1489
1775670833952,1704629296051,-4.048595,-6.9120603,3.4404678,0.004886922,0.58276546,1.5112807,JERKING,ac760cfc1489
1775670833973,1704649376617,-4.2401314,-6.8761473,3.7205894,0.032986723,0.51923543,1.4086553,JERKING,ac760cfc1489
1775670833992,1704669396149,-4.4675803,-6.325481,3.5482068,0.204029,0.4801401,1.3365731,JERKING,ac760cfc1489
1775670834011,1704689415680,-4.867412,-5.645528,3.4213142,0.32375857,0.51068336,1.2461652,JERKING,ac760cfc1489
1775670834036,1704709435211,-5.267244,-6.009446,3.4165258,0.2687807,0.48502702,1.1704178,JERKING,ac760cfc1489
1775670834052,1704729454742,-5.2887917,-6.5936313,3.6248214,0.073303826,0.33841935,1.0690142,JERKING,ac760cfc1489
1775670834073,1704749474274,-5.279215,-6.5816603,3.6128504,0.10629055,0.29932398,1.0262536,JERKING,ac760cfc1489
1775670834107,1704769493805,-5.583278,-5.9400144,3.265691,0.12950343,0.40317106,1.0042624,JERKING,ac760cfc1489
1775670834111,1704789513336,-6.3326635,-5.497087,2.9999347,-0.034208454,0.49968776,0.9236283,JERKING,ac760cfc1489
1775670834128,1704809532867,-6.588843,-5.542577,3.028665,-0.2284636,0.44104472,0.8222246,JERKING,ac760cfc1489
1775670834150,1704829552399,-6.459556,-5.3438582,3.1411927,-0.07941248,0.312763,0.73426,JERKING,ac760cfc1489
1775670834168,1704849571930,-6.4380083,-4.9176903,2.9352913,0.2773328,0.28221974,0.6780604,JERKING,ac760cfc1489
1775670834192,1704869591461,-6.658275,-4.3885717,2.6120741,0.4654793,0.2846632,0.5522222,JERKING,ac760cfc1489
1775670834213,1704889610992,-6.88333,-4.486734,2.7461493,0.37751472,0.2284636,0.41050145,JERKING,ac760cfc1489
1775670834229,1704909630524,-6.9288197,-4.4101195,2.6647465,0.15271631,0.14172074,0.28955013,JERKING,ac760cfc1489
1775670834250,1704929619537,-6.9838862,-4.367024,2.5594015,-0.16982053,0.08674286,0.19303341,JERKING,ac760cfc1489
1775670834268,1704949669586,-7.1059904,-5.1379566,2.7724855,-0.38240165,0.056199603,0.12095132,JERKING,ac760cfc1489
1775670834294,1704969750153,-6.9503675,-5.159505,2.7605145,-0.13439035,-0.010995574,0.04520403,JERKING,ac760cfc1489
1775670834311,1704989800201,-6.9120603,-4.5633483,2.813187,0.43982297,-0.002443461,0.02321288,JERKING,ac760cfc1489
1775670834343,1705009819733,-6.895301,-3.5242648,2.5330653,0.67073005,0.004886922,-0.07941248,JERKING,ac760cfc1489
1775670834356,1705029839264,-6.95755,-2.9640217,2.4253263,0.37140608,-0.010995574,-0.25778514,JERKING,ac760cfc1489
1775670835021,1705049919830,-6.8091097,-3.655946,2.669535,-0.07086037,-0.1001819,-0.5131268,JERKING,ac760cfc1489
1775670835027,1705069939362,-6.2249246,-4.232949,2.7820623,-0.19303341,-0.22724187,-0.7367035,JERKING,ac760cfc1489
1775670835034,1705090019928,-5.973533,-4.5441947,2.7365725,-0.16126843,-0.29077184,-0.8918633,JERKING,ac760cfc1489
1775670835041,1705753924664,-1.0247183,-11.190498,3.9671922,0.2565634,0.2724459,1.0103711,JERKING,ac760cfc1489
1775670835043,1705773313678,-1.0486604,-11.051635,4.1036615,0.14049901,0.33108896,1.1838568,JERKING,ac760cfc1489
1775670835049,1705792763727,-1.3335704,-10.666168,3.7373488,0.13561209,0.3933972,1.328021,JERKING,ac760cfc1489
1775670835076,1705812152740,-1.6184803,-10.398018,3.7565024,0.089186326,0.4605924,1.4660766,JERKING,ac760cfc1489
1775670835090,1705831602789,-1.8674773,-10.230424,3.572149,0.015882496,0.47158796,1.5748106,JERKING,ac760cfc1489
1775670835109,1705851022321,-1.9536686,-10.06283,3.58412,-0.06352998,0.45814893,1.6945401,JERKING,ac760cfc1489
1775670835131,1705870441852,-2.0398598,-9.306262,3.2800562,-0.0036651916,0.48380527,1.8081611,JERKING,ac760cfc1489
1775670836030,1705889861383,-2.4061728,-8.432379,2.906561,0.008552114,0.54000485,1.91323,JERKING,ac760cfc1489
1775670836032,1705909280914,-3.016694,-7.704541,3.0334535,-0.13927728,0.5448918,1.9046779,JERKING,ac760cfc1489
1775670836035,1705928700446,-3.5003228,-7.2328835,2.7222073,-0.23335053,0.4642576,1.8423696,JERKING,ac760cfc1489
1775670836039,1706958515778,-1.1204864,-10.54167,2.566584,0.15271631,0.10873401,0.9944886,JERKING,ac760cfc1489
1775670836041,1706977935309,-1.1061212,-10.34774,2.5498247,0.112399206,0.11484267,1.0751228,JERKING,ac760cfc1489
1775670836047,1706997354840,-1.1923125,-10.328587,2.360683,0.064751714,0.14660765,1.1533136,JERKING,ac760cfc1489
1775670836076,1707016743854,-1.3623008,-9.962274,2.6791117,0.02076942,0.16371189,1.210735,JERKING,ac760cfc1489
1775670836089,1707036193903,-1.6639702,-9.844957,2.633622,0.13316862,0.21502456,1.2669345,JERKING,ac760cfc1489
1775670836104,1707055643951,-1.8986019,-9.0716305,2.693477,0.32986724,0.25411993,1.2864822,JERKING,ac760cfc1489
1775670837016,1707075063483,-2.1140802,-8.42759,2.4013844,0.41905355,0.28344148,1.2632693,JERKING,ac760cfc1489
1775670837025,1707094483014,-2.327164,-8.590396,2.7030537,0.42149702,0.33108896,1.2070698,JERKING,ac760cfc1489
1775670837028,1707113902545,-2.420538,-8.528147,2.6647465,0.3640757,0.32498032,1.1569787,JERKING,ac760cfc1489
1775670837030,1707133383112,-2.5953147,-8.511387,2.980781,0.12339478,0.37507126,1.1349876,JERKING,ac760cfc1489
1775670837035,1708163259479,-1.721431,-11.051635,2.741361,0.6010914,0.2687807,1.1496484,JERKING,ac760cfc1489
1775670837037,1708182679010,-1.99437,-10.709264,2.9520507,0.52534413,0.32498032,1.2669345,JERKING,ac760cfc1489
1775670837043,1708202098541,-1.8746599,-10.295067,2.873042,0.37873647,0.28344148,1.3732251,JERKING,ac760cfc1489
1775670837063,1708221518072,-2.078167,-9.303867,2.870648,0.344528,0.3494149,1.4807373,JERKING,ac760cfc1489
1775670837087,1708240937604,-2.7030537,-8.724471,2.7389667,0.32620203,0.46914452,1.5601498,JERKING,ac760cfc1489
1775670837106,1708260357135,-3.0334535,-8.082825,2.9975405,0.3921755,0.45814893,1.5259414,JERKING,ac760cfc1489
1775670837143,1708279776666,-3.1004913,-7.632715,2.504335,0.47158796,0.41050145,1.5063937,JERKING,ac760cfc1489
1775670837145,1708299196197,-3.2704794,-7.1945763,2.7844565,0.45081854,0.4129449,1.4257594,JERKING,ac760cfc1489
1775670837249,1708318615729,-3.5984852,-7.062895,2.4971523,0.36285394,0.44348818,1.3695599,JERKING,ac760cfc1489
1775670837251,1708338065778,-3.8019924,-7.0844426,2.7868507,0.10873401,0.36774087,1.251052,JERKING,ac760cfc1489
1775670837254,1708357485309,-3.9815574,-7.180211,2.6647465,0.057421334,0.3286455,1.1508701,JERKING,ac760cfc1489
1775670837255,1707172613727,-3.0597897,-8.549694,2.7485435,0.21502456,0.5009095,1.0665708,JERKING,ac760cfc1489
1775670837257,1708376904840,-4.4220905,-6.8689647,2.5474305,0.19058995,0.34330627,1.0910053,JERKING,ac760cfc1489
1775670837259,1708396354889,-4.6279917,-7.103596,2.6719291,0.14538592,0.312763,0.9969321,JERKING,ac760cfc1489
