# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775671885604,1062070954072281,2.779668,-1.2354081,-9.244013,NaN,NaN,NaN,TONIC,d99ec9cbd257
1775671885612,1062070962801133,2.7868507,-1.2449849,-9.251195,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885620,1062070970796523,2.7988217,-1.2425907,-9.258378,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885628,1062070978792913,2.8060043,-1.2593501,-9.248801,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885636,1062070986785765,2.815581,-1.2665327,-9.23683,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885644,1062070994783001,2.813187,-1.2569559,-9.229648,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885652,1062071002777853,2.7988217,-1.2569559,-9.222465,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885660,1062071010803089,2.8203697,-1.2761095,-9.200917,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885668,1062071018801479,2.822764,-1.2761095,-9.210494,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885676,1062071026794485,2.8179753,-1.2904748,-9.188946,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885684,1062071034792567,2.8395233,-1.2737153,-9.196129,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885692,1062071042788035,2.837129,-1.271321,-9.172187,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885700,1062071050780963,2.8395233,-1.2880806,-9.193734,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885708,1062071058777815,2.8203697,-1.2808979,-9.215282,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885716,1062071066773512,2.813187,-1.2904748,-9.205706,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885724,1062071074799441,2.8323407,-1.30484,-9.215282,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885732,1062071082795677,2.8179753,-1.2880806,-9.217676,0.002443461,-0.01038471,0.01282817,TONIC,d99ec9cbd257
1775671885740,1062071090792914,2.846706,-1.3000516,-9.220071,-6.1086525E-4,0.0018325958,0.005497787,TONIC,d99ec9cbd257
1775671885748,1062071098785842,2.834735,-1.283292,-9.220071,-6.1086525E-4,0.002443461,0.004276057,TONIC,d99ec9cbd257
1775671885756,1062071106780694,2.8323407,-1.2952632,-9.208099,-6.1086525E-4,0.0018325958,0.0036651916,TONIC,d99ec9cbd257
1775671885764,1062071114776699,2.8395233,-1.3000516,-9.224859,-0.0012217305,0.002443461,0.004886922,TONIC,d99ec9cbd257
1775671885772,1062071122805551,2.8275523,-1.3072342,-9.215282,-0.0018325958,6.1086525E-4,0.0036651916,TONIC,d99ec9cbd257
1775671885780,1062071130799479,2.837129,-1.30484,-9.200917,-0.002443461,-6.1086525E-4,0.002443461,TONIC,d99ec9cbd257
1775671885788,1062071138794562,2.8299465,-1.3096284,-9.203311,-0.0030543262,6.1086525E-4,0.002443461,TONIC,d99ec9cbd257
1775671885796,1062071146789875,2.8419175,-1.2976574,-9.220071,-0.004886922,-0.0012217305,0.0012217305,TONIC,d99ec9cbd257
1775671885804,1062071154786573,2.8538885,-1.30484,-9.198523,-0.005497787,-0.0018325958,0.0,TONIC,d99ec9cbd257
1775671885812,1062071162781963,2.8323407,-1.2880806,-9.188946,-0.005497787,-6.1086525E-4,-6.1086525E-4,TONIC,d99ec9cbd257
