epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775670732165,1602841510374,0.9672575,1.1109096,9.610326,-0.07574729,-0.017104227,0.010995574,JERKING,d9b383297ba6
1775670732180,1602861560423,0.93373865,1.0654198,9.509769,0.03176499,0.04520403,-0.059864793,JERKING,d9b383297ba6
1775670732226,1602881610472,0.9959879,1.2378023,9.411607,-0.03176499,0.17837265,0.052534413,JERKING,d9b383297ba6
1775670732228,1602901660520,0.94092125,1.2689269,9.351752,0.014660766,-0.017104227,0.04520403,JERKING,d9b383297ba6
1775670732244,1602921680052,1.0223241,1.1372458,9.466674,-0.002443461,-0.030543262,0.035430185,JERKING,d9b383297ba6
1775670732340,1602941730100,1.0103531,1.1540052,9.49301,-0.015882496,-0.02076942,0.02321288,JERKING,d9b383297ba6
1775670732341,1602961749632,0.9816227,1.2234371,9.495404,0.0,-0.030543262,0.007330383,JERKING,d9b383297ba6
1775670732343,1602981799681,1.0151415,1.271321,9.507375,-0.007330383,-0.04153884,0.028099801,JERKING,d9b383297ba6
1775670732347,1603001849729,1.1013328,1.1707647,9.557653,-0.02076942,-0.034208454,0.029321533,JERKING,d9b383297ba6
1775670732350,1603021899778,1.0462662,1.1133038,9.545682,-0.014660766,-0.017104227,0.017104227,JERKING,d9b383297ba6
1775670732441,1603041980345,1.0199299,1.127669,9.569624,-0.014660766,-0.021991149,-0.0061086523,JERKING,d9b383297ba6
1775670732443,1603062091429,1.0007763,1.1252748,9.555259,-0.018325957,-0.02443461,-0.002443461,JERKING,d9b383297ba6
1775670732445,1603082171995,0.9576807,1.1923125,9.476251,-0.002443461,-0.056199603,0.028099801,JERKING,d9b383297ba6
1775670732447,1603102222044,1.0295067,1.13964,9.445126,-0.0036651916,-0.05009095,0.034208454,JERKING,d9b383297ba6
1775670732449,1603122302610,0.9983821,1.2569559,9.435549,0.0061086523,-0.03176499,0.030543262,JERKING,d9b383297ba6
1775670732464,1603142322141,0.92655605,1.1587936,9.485827,-0.02076942,-0.017104227,0.02321288,JERKING,d9b383297ba6
1775670732509,1603162433225,0.9552865,1.2162545,9.579201,-0.05009095,-0.028099801,0.002443461,JERKING,d9b383297ba6
1775670732512,1603182513792,1.0175357,1.1180922,9.545682,-0.065973446,-0.030543262,0.017104227,JERKING,d9b383297ba6
1775670732523,1603202594358,1.1372458,1.0654198,9.485827,-0.052534413,-0.047647487,0.036651913,JERKING,d9b383297ba6
1775670732571,1603222644407,1.1444284,1.1444284,9.466674,-0.036651913,-0.047647487,0.047647487,JERKING,d9b383297ba6
1775670732572,1603242724974,1.1540052,1.2042835,9.440337,-0.037873644,-0.05131268,0.028099801,JERKING,d9b383297ba6
1775670732586,1603262836057,1.1707647,1.1947067,9.495404,-0.062308256,-0.017104227,0.040317107,JERKING,d9b383297ba6
1775670732627,1603282916624,1.1468226,1.1827357,9.6845455,-0.07574729,-0.009773844,0.04886922,JERKING,d9b383297ba6
1775670732629,1603302966673,1.1133038,1.2425907,9.600749,-0.07086037,-0.010995574,0.06841691,JERKING,d9b383297ba6
1775670732641,1603322986204,1.1468226,1.3239936,9.603143,-0.013439035,-0.047647487,0.10751228,JERKING,d9b383297ba6
1775670732684,1603343036253,1.3718776,1.2282255,9.55047,0.039095376,-0.096516706,0.12217305,JERKING,d9b383297ba6
1775670732686,1603363055784,1.5729905,1.2330139,9.595961,0.029321533,-0.042760566,0.13439035,JERKING,d9b383297ba6
1775670732739,1603383044798,1.4820108,1.3814543,9.643845,0.0036651916,0.012217305,0.058643065,JERKING,d9b383297ba6
