epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775692991877,23862559846960,-1.1851299,3.9671922,8.463503,0.14660765,-0.1881465,-0.36774087,TREMOR,ebc4738c5deb
1775692991897,23862579866491,-1.7190368,4.19943,8.664616,-0.1001819,0.017104227,0.0036651916,TREMOR,ebc4738c5deb
1775692991920,23862599947057,-1.8315643,4.3263226,8.53054,-0.065973446,0.22113322,-0.056199603,TREMOR,ebc4738c5deb
1775692991940,23862619997106,-1.6903064,4.3406878,8.329428,-0.096516706,-0.02565634,-0.06719518,TREMOR,ebc4738c5deb
1775692991961,23862640077673,-1.3599066,4.548983,8.030152,-0.19058995,-0.058643065,-0.0720821,TREMOR,ebc4738c5deb
1775692991978,23862660158239,-1.4053963,4.618415,7.8027034,-0.3323107,0.013439035,-0.09040806,TREMOR,ebc4738c5deb
1775692992004,23862680238805,-1.6352397,4.975151,7.5441294,-0.5412266,0.10873401,-0.14294247,TREMOR,ebc4738c5deb
1775692992020,23862700319372,-1.7310078,4.594473,8.465898,-0.9224065,0.04642576,-0.25411993,TREMOR,ebc4738c5deb
1775692992045,23862720399938,-1.532289,4.1611223,8.810662,-1.3805555,-0.019547688,-0.30176744,TREMOR,ebc4738c5deb
1775692992063,23862740480505,-1.460463,4.711789,8.195353,-1.7507398,-0.05131268,-0.37995818,TREMOR,ebc4738c5deb
1775692992079,23862760561071,-1.4772224,5.121197,7.8146744,-2.3970351,0.002443461,-0.45937067,TREMOR,ebc4738c5deb
1775692992098,23862780580602,-1.4101849,3.6391866,7.967903,-3.8411207,0.062308256,-0.54000485,TREMOR,ebc4738c5deb
1775692992127,23862800661169,-1.2785037,0.8858546,8.7125,-5.3609533,0.12583824,-0.68539083,TREMOR,ebc4738c5deb
1775692992144,23862820741735,-1.3359646,-0.6775591,8.640674,-5.7726765,0.22724187,-0.75869465,TREMOR,ebc4738c5deb
1775692992160,23862840330749,-1.7381904,-2.822764,8.702923,-5.797111,0.54733527,-0.86376345,TREMOR,ebc4738c5deb
1775692992178,23862860050280,-2.2840683,-4.268862,8.504205,-3.9144244,0.7122689,-0.71959925,TREMOR,ebc4738c5deb
1775692992197,23862879900329,-2.5785553,-4.010288,10.43872,-3.1117475,0.657291,-0.67073005,TREMOR,ebc4738c5deb
1775692992217,23862899850378,-2.408567,-4.987122,9.964667,-1.2351695,0.32620203,-0.63407815,TREMOR,ebc4738c5deb
1775692992248,23862919869909,-1.7956513,-4.8482585,9.916783,0.17104226,0.06719518,-0.37140608,TREMOR,ebc4738c5deb
1775692992257,23862939889440,-1.3814543,-3.3901896,9.61272,1.0616838,0.008552114,-0.24312437,TREMOR,ebc4738c5deb
1775692992283,23862959908971,-1.8411411,-0.32321724,8.887277,0.2932153,0.12095132,-0.13927728,TREMOR,ebc4738c5deb
1775692992297,23862979959020,-2.504335,0.58657944,6.847417,-1.9804251,0.14905111,-0.09896017,TREMOR,ebc4738c5deb
1775692992326,23863000009069,-2.6168625,-3.016694,7.0221934,-4.7720795,0.1600467,-0.03176499,TREMOR,ebc4738c5deb
1775692992337,23863020028600,-2.5019407,-7.374141,6.5457473,-5.6285124,0.07696902,-0.06352998,TREMOR,ebc4738c5deb
1775692992360,23863039978649,-2.4277205,-10.0508585,8.683769,-3.8276815,-0.15393804,-0.043982297,TREMOR,ebc4738c5deb
