# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775670367688,1060553038874150,-0.7086837,-10.04607,0.7086837,NaN,NaN,NaN,JERKING,ef92c3e4ea98
1775670367697,1060553047601159,-0.7110779,-10.055647,0.7326257,-0.9114109,0.6377433,-0.5693264,JERKING,ef92c3e4ea98
1775670367705,1060553055598090,-0.7015011,-10.031705,0.7374141,-0.9114109,0.6377433,-0.5693264,JERKING,ef92c3e4ea98
1775670367713,1060553063592560,-0.6919243,-10.010158,0.79248077,-0.9114109,0.6377433,-0.5693264,JERKING,ef92c3e4ea98
1775670367721,1060553071588953,-0.6775591,-9.993398,0.8283938,-0.9114109,0.6377433,-0.5693264,JERKING,ef92c3e4ea98
1775670367729,1060553079584653,-0.6727707,-9.995792,0.8499416,-0.9114109,0.6377433,-0.5693264,JERKING,ef92c3e4ea98
1775670367737,1060553087581507,-0.6703765,-9.993398,0.8714894,-0.9114109,0.6377433,-0.5693264,JERKING,ef92c3e4ea98
1775670367745,1060553095578207,-0.6895301,-9.981427,0.878672,-0.9114109,0.6377433,-0.5693264,JERKING,ef92c3e4ea98
1775670367753,1060553103602831,-0.6943185,-9.974244,0.8690952,-0.9114109,0.6377433,-0.5693264,JERKING,ef92c3e4ea98
1775670367761,1060553111596993,-0.7206547,-9.962274,0.8571242,-0.9114109,0.6377433,-0.5693264,JERKING,ef92c3e4ea98
1775670367769,1060553119592924,-0.7230489,-9.9550905,0.8619126,-0.9114109,0.6377433,-0.5693264,JERKING,ef92c3e4ea98
1775670367777,1060553127588624,-0.7350199,-9.976639,0.8690952,-0.9114109,0.6377433,-0.5693264,JERKING,ef92c3e4ea98
1775670367785,1060553135639709,-0.7398083,-9.969456,0.8834604,-0.9114109,0.6377433,-0.5693264,JERKING,ef92c3e4ea98
1775670367793,1060553143610179,-0.7565677,-9.976639,0.89303726,-0.9114109,0.6377433,-0.5693264,JERKING,ef92c3e4ea98
